Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Trae Young (14013450),Trae Young,14013450,CPT,18900,ATL@BKN 12/21/2019 06:00PM ET,ATL,48.77
PG,Kyrie Irving (14013451),Kyrie Irving,14013451,CPT,18600,ATL@BKN 12/21/2019 06:00PM ET,BKN,50.07
PG/SG,Spencer Dinwiddie (14013452),Spencer Dinwiddie,14013452,CPT,16500,ATL@BKN 12/21/2019 06:00PM ET,BKN,37.19
C,Jarrett Allen (14013453),Jarrett Allen,14013453,CPT,15000,ATL@BKN 12/21/2019 06:00PM ET,BKN,32.17
PF/C,John Collins (14013454),John Collins,14013454,CPT,14400,ATL@BKN 12/21/2019 06:00PM ET,ATL,36.9
SF/PF,Jabari Parker (14013455),Jabari Parker,14013455,CPT,13500,ATL@BKN 12/21/2019 06:00PM ET,ATL,30.28
PG/SF,Caris LeVert (14013456),Caris LeVert,14013456,CPT,12900,ATL@BKN 12/21/2019 06:00PM ET,BKN,29.58
PG,Trae Young (14013417),Trae Young,14013417,UTIL,12600,ATL@BKN 12/21/2019 06:00PM ET,ATL,48.77
PG,Kyrie Irving (14013418),Kyrie Irving,14013418,UTIL,12400,ATL@BKN 12/21/2019 06:00PM ET,BKN,50.07
SF/PF,Taurean Prince (14013457),Taurean Prince,14013457,CPT,12300,ATL@BKN 12/21/2019 06:00PM ET,BKN,26.99
SG/SF,Joe Harris (14013458),Joe Harris,14013458,CPT,11100,ATL@BKN 12/21/2019 06:00PM ET,BKN,25.24
PG/SG,Spencer Dinwiddie (14013419),Spencer Dinwiddie,14013419,UTIL,11000,ATL@BKN 12/21/2019 06:00PM ET,BKN,37.19
SG/SF,Kevin Huerter (14013459),Kevin Huerter,14013459,CPT,10200,ATL@BKN 12/21/2019 06:00PM ET,ATL,20.75
C,Jarrett Allen (14013420),Jarrett Allen,14013420,UTIL,10000,ATL@BKN 12/21/2019 06:00PM ET,BKN,32.17
PF/C,John Collins (14013421),John Collins,14013421,UTIL,9600,ATL@BKN 12/21/2019 06:00PM ET,ATL,36.9
SF/PF,De'Andre Hunter (14013460),De'Andre Hunter,14013460,CPT,9600,ATL@BKN 12/21/2019 06:00PM ET,ATL,22.39
SF/PF,Jabari Parker (14013422),Jabari Parker,14013422,UTIL,9000,ATL@BKN 12/21/2019 06:00PM ET,ATL,30.28
C,DeAndre Jordan (14013461),DeAndre Jordan,14013461,CPT,9000,ATL@BKN 12/21/2019 06:00PM ET,BKN,25.65
SG/SF,Garrett Temple (14013462),Garrett Temple,14013462,CPT,8700,ATL@BKN 12/21/2019 06:00PM ET,BKN,21.39
PG/SF,Caris LeVert (14013423),Caris LeVert,14013423,UTIL,8600,ATL@BKN 12/21/2019 06:00PM ET,BKN,29.58
SF/PF,Taurean Prince (14013424),Taurean Prince,14013424,UTIL,8200,ATL@BKN 12/21/2019 06:00PM ET,BKN,26.99
