Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Trae Young (14110650),Trae Young,14110650,CPT,17400,ATL@WAS 01/10/2020 07:00PM ET,ATL,50.14
SG/SF,Bradley Beal (14110651),Bradley Beal,14110651,CPT,15300,ATL@WAS 01/10/2020 07:00PM ET,WAS,46.46
PF/C,John Collins (14110652),John Collins,14110652,CPT,14700,ATL@WAS 01/10/2020 07:00PM ET,ATL,38.58
SF/PF,Troy Brown Jr. (14110653),Troy Brown Jr.,14110653,CPT,12900,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.85
PG/SG,Jordan McRae (14110654),Jordan McRae,14110654,CPT,12000,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.66
PG,Trae Young (14110616),Trae Young,14110616,UTIL,11600,ATL@WAS 01/10/2020 07:00PM ET,ATL,50.14
PG/SG,Kevin Huerter (14110655),Kevin Huerter,14110655,CPT,11100,ATL@WAS 01/10/2020 07:00PM ET,ATL,24.21
SF/PF,Davis Bertans (14110656),Davis Bertans,14110656,CPT,10500,ATL@WAS 01/10/2020 07:00PM ET,WAS,28.23
SG/SF,Bradley Beal (14110617),Bradley Beal,14110617,UTIL,10200,ATL@WAS 01/10/2020 07:00PM ET,WAS,46.46
PG,Ish Smith (14110657),Ish Smith,14110657,CPT,10200,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.71
C,Thomas Bryant (14110658),Thomas Bryant,14110658,CPT,9900,ATL@WAS 01/10/2020 07:00PM ET,WAS,31.49
PF/C,John Collins (14110618),John Collins,14110618,UTIL,9800,ATL@WAS 01/10/2020 07:00PM ET,ATL,38.58
C,Alex Len (14110659),Alex Len,14110659,CPT,9600,ATL@WAS 01/10/2020 07:00PM ET,ATL,20.25
PF/C,Rui Hachimura (14110660),Rui Hachimura,14110660,CPT,9300,ATL@WAS 01/10/2020 07:00PM ET,WAS,25.17
PF/C,Moritz Wagner (14110661),Moritz Wagner,14110661,CPT,9000,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.49
SF/PF,Troy Brown Jr. (14110619),Troy Brown Jr.,14110619,UTIL,8600,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.85
SF/PF,De'Andre Hunter (14110662),De'Andre Hunter,14110662,CPT,8400,ATL@WAS 01/10/2020 07:00PM ET,ATL,21.17
SF/PF,Admiral Schofield (14110663),Admiral Schofield,14110663,CPT,8100,ATL@WAS 01/10/2020 07:00PM ET,WAS,7.18
PG/SG,Jordan McRae (14110620),Jordan McRae,14110620,UTIL,8000,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.66
C,Anzejs Pasecniks (14110664),Anzejs Pasecniks,14110664,CPT,7800,ATL@WAS 01/10/2020 07:00PM ET,WAS,18.88
SF/PF,Jabari Parker (14110665),Jabari Parker,14110665,CPT,7500,ATL@WAS 01/10/2020 07:00PM ET,ATL,28.38
PG/SG,Kevin Huerter (14110621),Kevin Huerter,14110621,UTIL,7400,ATL@WAS 01/10/2020 07:00PM ET,ATL,24.21
PG/SG,Gary Payton II (14110666),Gary Payton II,14110666,CPT,7200,ATL@WAS 01/10/2020 07:00PM ET,WAS,21.39
SF/PF,Davis Bertans (14110622),Davis Bertans,14110622,UTIL,7000,ATL@WAS 01/10/2020 07:00PM ET,WAS,28.23
C,Ian Mahinmi (14110667),Ian Mahinmi,14110667,CPT,6900,ATL@WAS 01/10/2020 07:00PM ET,WAS,19.87
PG,Ish Smith (14110623),Ish Smith,14110623,UTIL,6800,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.71
C,Thomas Bryant (14110624),Thomas Bryant,14110624,UTIL,6600,ATL@WAS 01/10/2020 07:00PM ET,WAS,31.49
SF/PF,Isaac Bonga (14110668),Isaac Bonga,14110668,CPT,6600,ATL@WAS 01/10/2020 07:00PM ET,WAS,11.06
C,Alex Len (14110625),Alex Len,14110625,UTIL,6400,ATL@WAS 01/10/2020 07:00PM ET,ATL,20.25
PG,Isaiah Thomas (14110669),Isaiah Thomas,14110669,CPT,6300,ATL@WAS 01/10/2020 07:00PM ET,WAS,22.11
PF/C,Rui Hachimura (14110626),Rui Hachimura,14110626,UTIL,6200,ATL@WAS 01/10/2020 07:00PM ET,WAS,25.17
PF/C,Moritz Wagner (14110627),Moritz Wagner,14110627,UTIL,6000,ATL@WAS 01/10/2020 07:00PM ET,WAS,23.49
SF/PF,De'Andre Hunter (14110628),De'Andre Hunter,14110628,UTIL,5600,ATL@WAS 01/10/2020 07:00PM ET,ATL,21.17
SF/PF,Admiral Schofield (14110629),Admiral Schofield,14110629,UTIL,5400,ATL@WAS 01/10/2020 07:00PM ET,WAS,7.18
C,Anzejs Pasecniks (14110630),Anzejs Pasecniks,14110630,UTIL,5200,ATL@WAS 01/10/2020 07:00PM ET,WAS,18.88
SF/PF,Jabari Parker (14110631),Jabari Parker,14110631,UTIL,5000,ATL@WAS 01/10/2020 07:00PM ET,ATL,28.38
PG/SG,Gary Payton II (14110632),Gary Payton II,14110632,UTIL,4800,ATL@WAS 01/10/2020 07:00PM ET,WAS,21.39
SG/SF,Cam Reddish (14110670),Cam Reddish,14110670,CPT,4800,ATL@WAS 01/10/2020 07:00PM ET,ATL,17.40
C,Ian Mahinmi (14110633),Ian Mahinmi,14110633,UTIL,4600,ATL@WAS 01/10/2020 07:00PM ET,WAS,19.87
SG/SF,Allen Crabbe (14110671),Allen Crabbe,14110671,CPT,4500,ATL@WAS 01/10/2020 07:00PM ET,ATL,11.73
SF/PF,Isaac Bonga (14110634),Isaac Bonga,14110634,UTIL,4400,ATL@WAS 01/10/2020 07:00PM ET,WAS,11.06
PG,Isaiah Thomas (14110635),Isaiah Thomas,14110635,UTIL,4200,ATL@WAS 01/10/2020 07:00PM ET,WAS,22.11
SG/SF,Garrison Mathews (14110672),Garrison Mathews,14110672,CPT,3900,ATL@WAS 01/10/2020 07:00PM ET,WAS,10.02
SG/SF,Cam Reddish (14110636),Cam Reddish,14110636,UTIL,3200,ATL@WAS 01/10/2020 07:00PM ET,ATL,17.40
SG/SF,Allen Crabbe (14110637),Allen Crabbe,14110637,UTIL,3000,ATL@WAS 01/10/2020 07:00PM ET,ATL,11.73
PG/SG,Brandon Goodwin (14110673),Brandon Goodwin,14110673,CPT,3000,ATL@WAS 01/10/2020 07:00PM ET,ATL,12.47
SG/SF,DeAndre' Bembry (14110674),DeAndre' Bembry,14110674,CPT,2700,ATL@WAS 01/10/2020 07:00PM ET,ATL,16.38
SG/SF,Garrison Mathews (14110638),Garrison Mathews,14110638,UTIL,2600,ATL@WAS 01/10/2020 07:00PM ET,WAS,10.02
PG/SG,Brandon Goodwin (14110639),Brandon Goodwin,14110639,UTIL,2000,ATL@WAS 01/10/2020 07:00PM ET,ATL,12.47
SG/SF,DeAndre' Bembry (14110640),DeAndre' Bembry,14110640,UTIL,1800,ATL@WAS 01/10/2020 07:00PM ET,ATL,16.38
SG/SF,C.J. Miles (14110675),C.J. Miles,14110675,CPT,1800,ATL@WAS 01/10/2020 07:00PM ET,WAS,12.85
C,Bruno Fernando (14110676),Bruno Fernando,14110676,CPT,1800,ATL@WAS 01/10/2020 07:00PM ET,ATL,9.89
SF/PF,Chandler Parsons (14110677),Chandler Parsons,14110677,CPT,1800,ATL@WAS 01/10/2020 07:00PM ET,ATL,7.55
PG/SF,Evan Turner (14110678),Evan Turner,14110678,CPT,1500,ATL@WAS 01/10/2020 07:00PM ET,ATL,9.92
C,Damian Jones (14110679),Damian Jones,14110679,CPT,1500,ATL@WAS 01/10/2020 07:00PM ET,ATL,13.93
SG/SF,Charlie Brown (14110680),Charlie Brown,14110680,CPT,1500,ATL@WAS 01/10/2020 07:00PM ET,ATL,3.31
SF/PF,Vince Carter (14110681),Vince Carter,14110681,CPT,1500,ATL@WAS 01/10/2020 07:00PM ET,ATL,10.29
PG,John Wall (14110682),John Wall,14110682,CPT,1500,ATL@WAS 01/10/2020 07:00PM ET,WAS,0
SG/SF,Paul Watson (14110683),Paul Watson,14110683,CPT,1500,ATL@WAS 01/10/2020 07:00PM ET,ATL,0
SG/SF,C.J. Miles (14110641),C.J. Miles,14110641,UTIL,1200,ATL@WAS 01/10/2020 07:00PM ET,WAS,12.85
C,Bruno Fernando (14110642),Bruno Fernando,14110642,UTIL,1200,ATL@WAS 01/10/2020 07:00PM ET,ATL,9.89
SF/PF,Chandler Parsons (14110643),Chandler Parsons,14110643,UTIL,1200,ATL@WAS 01/10/2020 07:00PM ET,ATL,7.55
PG/SF,Evan Turner (14110644),Evan Turner,14110644,UTIL,1000,ATL@WAS 01/10/2020 07:00PM ET,ATL,9.92
C,Damian Jones (14110645),Damian Jones,14110645,UTIL,1000,ATL@WAS 01/10/2020 07:00PM ET,ATL,13.93
SG/SF,Charlie Brown (14110646),Charlie Brown,14110646,UTIL,1000,ATL@WAS 01/10/2020 07:00PM ET,ATL,3.31
SF/PF,Vince Carter (14110647),Vince Carter,14110647,UTIL,1000,ATL@WAS 01/10/2020 07:00PM ET,ATL,10.29
PG,John Wall (14110648),John Wall,14110648,UTIL,1000,ATL@WAS 01/10/2020 07:00PM ET,WAS,0
SG/SF,Paul Watson (14110649),Paul Watson,14110649,UTIL,1000,ATL@WAS 01/10/2020 07:00PM ET,ATL,0
