Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (14160570),Giannis Antetokounmpo,14160570,PF/F/UTIL,11200,CHI@MIL 01/20/2020 05:00PM ET,MIL,59.29
PG/SG,James Harden (14160333),James Harden,14160333,PG/SG/G/UTIL,11000,OKC@HOU 01/20/2020 05:00PM ET,HOU,61.86
PG,Russell Westbrook (14160321),Russell Westbrook,14160321,PG/G/UTIL,9800,OKC@HOU 01/20/2020 05:00PM ET,HOU,49.05
SF/PF,Brandon Ingram (14160758),Brandon Ingram,14160758,SF/PF/F/UTIL,8800,NO@MEM 01/20/2020 05:00PM ET,NO,44.05
SG,Zach LaVine (14160596),Zach LaVine,14160596,SG/G/UTIL,8700,CHI@MIL 01/20/2020 05:00PM ET,CHI,40.61
PG,De'Aaron Fox (14160845),De'Aaron Fox,14160845,PG/G/UTIL,8600,SAC@MIA 01/20/2020 05:00PM ET,SAC,38.64
C,Bam Adebayo (14160843),Bam Adebayo,14160843,C/UTIL,8500,SAC@MIA 01/20/2020 05:00PM ET,MIA,40.54
C,Nikola Vucevic (14160370),Nikola Vucevic,14160370,C/UTIL,8400,ORL@CHA 01/20/2020 05:00PM ET,ORL,42.40
SG/SF,Jimmy Butler (14160375),Jimmy Butler,14160375,SG/SF/F/G/UTIL,8300,SAC@MIA 01/20/2020 05:00PM ET,MIA,43.12
PG,Ja Morant (14160881),Ja Morant,14160881,PG/G/UTIL,8200,NO@MEM 01/20/2020 05:00PM ET,MEM,34.54
C,Clint Capela (14160644),Clint Capela,14160644,C/UTIL,8100,OKC@HOU 01/20/2020 05:00PM ET,HOU,40.10
PF,Kevin Love (14160330),Kevin Love,14160330,PF/F/UTIL,7900,NY@CLE 01/20/2020 05:00PM ET,CLE,36.90
PF/C,Julius Randle (14160620),Julius Randle,14160620,PF/C/F/UTIL,7700,NY@CLE 01/20/2020 05:00PM ET,NY,37.10
PG/SG,Shai Gilgeous-Alexander (14160892),Shai Gilgeous-Alexander,14160892,PG/SG/G/UTIL,7400,OKC@HOU 01/20/2020 05:00PM ET,OKC,34.98
PG/SG,Jrue Holiday (14160366),Jrue Holiday,14160366,PG/SG/G/UTIL,7200,NO@MEM 01/20/2020 05:00PM ET,NO,39.90
PF/C,Zion Williamson (14160914),Zion Williamson,14160914,PF/C/F/UTIL,7200,NO@MEM 01/20/2020 05:00PM ET,NO,0
PG,Devonte' Graham (14160686),Devonte' Graham,14160686,PG/G/UTIL,7100,ORL@CHA 01/20/2020 05:00PM ET,CHA,37.97
C,Jonas Valanciunas (14160457),Jonas Valanciunas,14160457,C/UTIL,7100,NO@MEM 01/20/2020 05:00PM ET,MEM,33.48
PG/SG,Terry Rozier (14160611),Terry Rozier,14160611,PG/SG/G/UTIL,7000,ORL@CHA 01/20/2020 05:00PM ET,CHA,33.01
PG,Lonzo Ball (14160818),Lonzo Ball,14160818,PG/G/UTIL,7000,NO@MEM 01/20/2020 05:00PM ET,NO,32.25
PF,Nemanja Bjelica (14160425),Nemanja Bjelica,14160425,PF/F/UTIL,6800,SAC@MIA 01/20/2020 05:00PM ET,SAC,27.40
SF,Khris Middleton (14160401),Khris Middleton,14160401,SF/F/UTIL,6800,CHI@MIL 01/20/2020 05:00PM ET,MIL,34.74
PG,Chris Paul (14160277),Chris Paul,14160277,PG/G/UTIL,6800,OKC@HOU 01/20/2020 05:00PM ET,OKC,36.04
SF/PF,Danilo Gallinari (14160356),Danilo Gallinari,14160356,SF/PF/F/UTIL,6600,OKC@HOU 01/20/2020 05:00PM ET,OKC,31.90
PF/C,Derrick Favors (14160388),Derrick Favors,14160388,PF/C/F/UTIL,6600,NO@MEM 01/20/2020 05:00PM ET,NO,28.96
C,Steven Adams (14160512),Steven Adams,14160512,C/UTIL,6500,OKC@HOU 01/20/2020 05:00PM ET,OKC,31.53
SG/SF,Buddy Hield (14160533),Buddy Hield,14160533,SG/SF/F/G/UTIL,6400,SAC@MIA 01/20/2020 05:00PM ET,SAC,33.84
C,Tristan Thompson (14160448),Tristan Thompson,14160448,C/UTIL,6400,NY@CLE 01/20/2020 05:00PM ET,CLE,31.88
PG/SG,Dennis Schroder (14160573),Dennis Schroder,14160573,PG/SG/G/UTIL,6300,OKC@HOU 01/20/2020 05:00PM ET,OKC,29.98
PG/SG,Markelle Fultz (14160825),Markelle Fultz,14160825,PG/SG/G/UTIL,6300,ORL@CHA 01/20/2020 05:00PM ET,ORL,25.41
PG,Eric Bledsoe (14160398),Eric Bledsoe,14160398,PG/G/UTIL,6200,CHI@MIL 01/20/2020 05:00PM ET,MIL,30.83
PF/C,Jaren Jackson Jr. (14160908),Jaren Jackson Jr.,14160908,PF/C/F/UTIL,6200,NO@MEM 01/20/2020 05:00PM ET,MEM,30.68
PG/SG,Collin Sexton (14160875),Collin Sexton,14160875,PG/SG/G/UTIL,6100,NY@CLE 01/20/2020 05:00PM ET,CLE,28.36
PF/C,Lauri Markkanen (14160832),Lauri Markkanen,14160832,PF/C/F/UTIL,6000,CHI@MIL 01/20/2020 05:00PM ET,CHI,28.63
SF/PF,Aaron Gordon (14160603),Aaron Gordon,14160603,SF/PF/F/UTIL,6000,ORL@CHA 01/20/2020 05:00PM ET,ORL,29.40
SF/PF,Jonathan Isaac (14160802),Jonathan Isaac,14160802,SF/PF/F/UTIL,6000,ORL@CHA 01/20/2020 05:00PM ET,ORL,30.70
PG/SG,Kendrick Nunn (14160592),Kendrick Nunn,14160592,PG/SG/G/UTIL,5800,SAC@MIA 01/20/2020 05:00PM ET,MIA,27.16
SG,RJ Barrett (14160918),RJ Barrett,14160918,SG/G/UTIL,5800,NY@CLE 01/20/2020 05:00PM ET,NY,26.76
SG/SF,Dillon Brooks (14160727),Dillon Brooks,14160727,SG/SF/F/G/UTIL,5800,NO@MEM 01/20/2020 05:00PM ET,MEM,25.54
SF/PF,Harrison Barnes (14160438),Harrison Barnes,14160438,SF/PF/F/UTIL,5700,SAC@MIA 01/20/2020 05:00PM ET,SAC,26.32
C,Richaun Holmes (14160523),Richaun Holmes,14160523,C/UTIL,5700,SAC@MIA 01/20/2020 05:00PM ET,SAC,30.01
C,Wendell Carter Jr. (14160869),Wendell Carter Jr.,14160869,C/UTIL,5700,CHI@MIL 01/20/2020 05:00PM ET,CHI,29.16
SG/SF,Evan Fournier (14160504),Evan Fournier,14160504,SG/SF/F/G/UTIL,5600,ORL@CHA 01/20/2020 05:00PM ET,ORL,29.80
SF/PF,Marcus Morris Sr. (14160380),Marcus Morris Sr.,14160380,SF/PF/F/UTIL,5600,NY@CLE 01/20/2020 05:00PM ET,NY,31.34
PF/C,Marvin Bagley III (14160902),Marvin Bagley III,14160902,PF/C/F/UTIL,5400,SAC@MIA 01/20/2020 05:00PM ET,SAC,26.29
SG/SF,Terrence Ross (14160417),Terrence Ross,14160417,SG/SF/F/G/UTIL,5400,ORL@CHA 01/20/2020 05:00PM ET,ORL,21.73
PF/C,PJ Washington (14160896),PJ Washington,14160896,PF/C/F/UTIL,5400,ORL@CHA 01/20/2020 05:00PM ET,CHA,26.12
PG,Goran Dragic (14160363),Goran Dragic,14160363,PG/G/UTIL,5300,SAC@MIA 01/20/2020 05:00PM ET,MIA,28.03
PG,Elfrid Payton (14160490),Elfrid Payton,14160490,PG/G/UTIL,5300,NY@CLE 01/20/2020 05:00PM ET,NY,25.14
PF/C,Luke Kornet (14160599),Luke Kornet,14160599,PF/C/F/UTIL,5200,CHI@MIL 01/20/2020 05:00PM ET,CHI,9.86
SG/SF,Bogdan Bogdanovic (14160646),Bogdan Bogdanovic,14160646,SG/SF/F/G/UTIL,5100,SAC@MIA 01/20/2020 05:00PM ET,SAC,26.48
C,Mitchell Robinson (14160906),Mitchell Robinson,14160906,C/UTIL,5100,NY@CLE 01/20/2020 05:00PM ET,NY,23.90
SF/PF,Otto Porter Jr. (14160493),Otto Porter Jr.,14160493,SF/PF/F/UTIL,5000,CHI@MIL 01/20/2020 05:00PM ET,CHI,21.03
PG,Tomas Satoransky (14160509),Tomas Satoransky,14160509,PG/G/UTIL,5000,CHI@MIL 01/20/2020 05:00PM ET,CHI,25.22
PG,Darius Garland (14160927),Darius Garland,14160927,PG/G/UTIL,5000,NY@CLE 01/20/2020 05:00PM ET,CLE,21.35
