Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Andre Drummond (14184080),Andre Drummond,14184080,CPT,16500,BKN@DET 01/25/2020 07:00PM ET,DET,48.24
PG,Kyrie Irving (14184081),Kyrie Irving,14184081,CPT,15900,BKN@DET 01/25/2020 07:00PM ET,BKN,47.23
PG/SG,Derrick Rose (14184082),Derrick Rose,14184082,CPT,13800,BKN@DET 01/25/2020 07:00PM ET,DET,32.39
PG/SG,Spencer Dinwiddie (14184083),Spencer Dinwiddie,14184083,CPT,13200,BKN@DET 01/25/2020 07:00PM ET,BKN,37.19
C,Jarrett Allen (14184084),Jarrett Allen,14184084,CPT,12000,BKN@DET 01/25/2020 07:00PM ET,BKN,29.49
C,Andre Drummond (14184046),Andre Drummond,14184046,UTIL,11000,BKN@DET 01/25/2020 07:00PM ET,DET,48.24
SG,Luke Kennard (14184085),Luke Kennard,14184085,CPT,10800,BKN@DET 01/25/2020 07:00PM ET,DET,28.14
PG,Kyrie Irving (14184047),Kyrie Irving,14184047,UTIL,10600,BKN@DET 01/25/2020 07:00PM ET,BKN,47.23
PF/C,Markieff Morris (14184086),Markieff Morris,14184086,CPT,10200,BKN@DET 01/25/2020 07:00PM ET,DET,19.95
PF,Taurean Prince (14184087),Taurean Prince,14184087,CPT,9600,BKN@DET 01/25/2020 07:00PM ET,BKN,26.86
C,DeAndre Jordan (14184088),DeAndre Jordan,14184088,CPT,9300,BKN@DET 01/25/2020 07:00PM ET,BKN,25.43
PG/SG,Derrick Rose (14184048),Derrick Rose,14184048,UTIL,9200,BKN@DET 01/25/2020 07:00PM ET,DET,32.39
PG/SG,Spencer Dinwiddie (14184049),Spencer Dinwiddie,14184049,UTIL,8800,BKN@DET 01/25/2020 07:00PM ET,BKN,37.19
SG/SF,Svi Mykhailiuk (14184089),Svi Mykhailiuk,14184089,CPT,8700,BKN@DET 01/25/2020 07:00PM ET,DET,14.79
PG/SF,Caris LeVert (14184090),Caris LeVert,14184090,CPT,8100,BKN@DET 01/25/2020 07:00PM ET,BKN,26.14
C,Jarrett Allen (14184050),Jarrett Allen,14184050,UTIL,8000,BKN@DET 01/25/2020 07:00PM ET,BKN,29.49
PF/C,Christian Wood (14184091),Christian Wood,14184091,CPT,7800,BKN@DET 01/25/2020 07:00PM ET,DET,20.12
PG,Reggie Jackson (14184092),Reggie Jackson,14184092,CPT,7500,BKN@DET 01/25/2020 07:00PM ET,DET,23.94
SG,Luke Kennard (14184051),Luke Kennard,14184051,UTIL,7200,BKN@DET 01/25/2020 07:00PM ET,DET,28.14
SF/PF,Sekou Doumbouya (14184093),Sekou Doumbouya,14184093,CPT,7200,BKN@DET 01/25/2020 07:00PM ET,DET,13.96
PF/C,Thon Maker (14184094),Thon Maker,14184094,CPT,6900,BKN@DET 01/25/2020 07:00PM ET,DET,9.24
PF/C,Markieff Morris (14184052),Markieff Morris,14184052,UTIL,6800,BKN@DET 01/25/2020 07:00PM ET,DET,19.95
SG/SF,Joe Harris (14184095),Joe Harris,14184095,CPT,6600,BKN@DET 01/25/2020 07:00PM ET,BKN,24.48
PF,Taurean Prince (14184053),Taurean Prince,14184053,UTIL,6400,BKN@DET 01/25/2020 07:00PM ET,BKN,26.86
PG/SF,Bruce Brown (14184096),Bruce Brown,14184096,CPT,6300,BKN@DET 01/25/2020 07:00PM ET,DET,22.63
C,DeAndre Jordan (14184054),DeAndre Jordan,14184054,UTIL,6200,BKN@DET 01/25/2020 07:00PM ET,BKN,25.43
SG,Garrett Temple (14184097),Garrett Temple,14184097,CPT,6000,BKN@DET 01/25/2020 07:00PM ET,BKN,21.40
SG/SF,Svi Mykhailiuk (14184055),Svi Mykhailiuk,14184055,UTIL,5800,BKN@DET 01/25/2020 07:00PM ET,DET,14.79
PF,Wilson Chandler (14184098),Wilson Chandler,14184098,CPT,5700,BKN@DET 01/25/2020 07:00PM ET,BKN,16.38
PG/SF,Caris LeVert (14184056),Caris LeVert,14184056,UTIL,5400,BKN@DET 01/25/2020 07:00PM ET,BKN,26.14
SG/SF,Tony Snell (14184099),Tony Snell,14184099,CPT,5400,BKN@DET 01/25/2020 07:00PM ET,DET,14.42
PF/C,Christian Wood (14184057),Christian Wood,14184057,UTIL,5200,BKN@DET 01/25/2020 07:00PM ET,DET,20.12
SG,Langston Galloway (14184100),Langston Galloway,14184100,CPT,5100,BKN@DET 01/25/2020 07:00PM ET,DET,17.87
PG,Reggie Jackson (14184058),Reggie Jackson,14184058,UTIL,5000,BKN@DET 01/25/2020 07:00PM ET,DET,23.94
SF/PF,Sekou Doumbouya (14184059),Sekou Doumbouya,14184059,UTIL,4800,BKN@DET 01/25/2020 07:00PM ET,DET,13.96
PF/C,Thon Maker (14184060),Thon Maker,14184060,UTIL,4600,BKN@DET 01/25/2020 07:00PM ET,DET,9.24
SG/SF,Joe Harris (14184061),Joe Harris,14184061,UTIL,4400,BKN@DET 01/25/2020 07:00PM ET,BKN,24.48
PG/SF,Bruce Brown (14184062),Bruce Brown,14184062,UTIL,4200,BKN@DET 01/25/2020 07:00PM ET,DET,22.63
SG,Garrett Temple (14184063),Garrett Temple,14184063,UTIL,4000,BKN@DET 01/25/2020 07:00PM ET,BKN,21.40
C,Nicolas Claxton (14184101),Nicolas Claxton,14184101,CPT,3900,BKN@DET 01/25/2020 07:00PM ET,BKN,11
PF,Wilson Chandler (14184064),Wilson Chandler,14184064,UTIL,3800,BKN@DET 01/25/2020 07:00PM ET,BKN,16.38
SG/SF,Tony Snell (14184065),Tony Snell,14184065,UTIL,3600,BKN@DET 01/25/2020 07:00PM ET,DET,14.42
SG,Langston Galloway (14184066),Langston Galloway,14184066,UTIL,3400,BKN@DET 01/25/2020 07:00PM ET,DET,17.87
SF/PF,Rodions Kurucs (14184102),Rodions Kurucs,14184102,CPT,3300,BKN@DET 01/25/2020 07:00PM ET,BKN,9.62
SG/SF,Timothe Luwawu-Cabarrot (14184103),Timothe Luwawu-Cabarrot,14184103,CPT,3000,BKN@DET 01/25/2020 07:00PM ET,BKN,9.83
PF/C,Blake Griffin (14184104),Blake Griffin,14184104,CPT,2700,BKN@DET 01/25/2020 07:00PM ET,DET,27.61
C,Nicolas Claxton (14184067),Nicolas Claxton,14184067,UTIL,2600,BKN@DET 01/25/2020 07:00PM ET,BKN,11
SF/PF,Rodions Kurucs (14184068),Rodions Kurucs,14184068,UTIL,2200,BKN@DET 01/25/2020 07:00PM ET,BKN,9.62
PG,Tim Frazier (14184105),Tim Frazier,14184105,CPT,2100,BKN@DET 01/25/2020 07:00PM ET,DET,11.29
SG/SF,Timothe Luwawu-Cabarrot (14184069),Timothe Luwawu-Cabarrot,14184069,UTIL,2000,BKN@DET 01/25/2020 07:00PM ET,BKN,9.83
PF/C,Blake Griffin (14184070),Blake Griffin,14184070,UTIL,1800,BKN@DET 01/25/2020 07:00PM ET,DET,27.61
PG/SG,Theo Pinson (14184106),Theo Pinson,14184106,CPT,1800,BKN@DET 01/25/2020 07:00PM ET,BKN,10.39
PG,Chris Chiozza (14184107),Chris Chiozza,14184107,CPT,1500,BKN@DET 01/25/2020 07:00PM ET,BKN,9.85
PF,Dzanan Musa (14184108),Dzanan Musa,14184108,CPT,1500,BKN@DET 01/25/2020 07:00PM ET,BKN,9.14
SF/PF,Louis King (14184109),Louis King,14184109,CPT,1500,BKN@DET 01/25/2020 07:00PM ET,DET,4.88
SG,Khyri Thomas (14184110),Khyri Thomas,14184110,CPT,1500,BKN@DET 01/25/2020 07:00PM ET,DET,0.5
PG,Jordan Bone (14184111),Jordan Bone,14184111,CPT,1500,BKN@DET 01/25/2020 07:00PM ET,DET,1.5
PG,Jeremiah Martin (14184112),Jeremiah Martin,14184112,CPT,1500,BKN@DET 01/25/2020 07:00PM ET,BKN,0
PF,Kevin Durant (14184113),Kevin Durant,14184113,CPT,1500,BKN@DET 01/25/2020 07:00PM ET,BKN,0
PG,Tim Frazier (14184071),Tim Frazier,14184071,UTIL,1400,BKN@DET 01/25/2020 07:00PM ET,DET,11.29
PG/SG,Theo Pinson (14184072),Theo Pinson,14184072,UTIL,1200,BKN@DET 01/25/2020 07:00PM ET,BKN,10.39
PG,Chris Chiozza (14184073),Chris Chiozza,14184073,UTIL,1000,BKN@DET 01/25/2020 07:00PM ET,BKN,9.85
PF,Dzanan Musa (14184074),Dzanan Musa,14184074,UTIL,1000,BKN@DET 01/25/2020 07:00PM ET,BKN,9.14
SF/PF,Louis King (14184075),Louis King,14184075,UTIL,1000,BKN@DET 01/25/2020 07:00PM ET,DET,4.88
SG,Khyri Thomas (14184076),Khyri Thomas,14184076,UTIL,1000,BKN@DET 01/25/2020 07:00PM ET,DET,0.5
PG,Jordan Bone (14184077),Jordan Bone,14184077,UTIL,1000,BKN@DET 01/25/2020 07:00PM ET,DET,1.5
PG,Jeremiah Martin (14184078),Jeremiah Martin,14184078,UTIL,1000,BKN@DET 01/25/2020 07:00PM ET,BKN,0
PF,Kevin Durant (14184079),Kevin Durant,14184079,UTIL,1000,BKN@DET 01/25/2020 07:00PM ET,BKN,0
