Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kyrie Irving (13978580),Kyrie Irving,13978580,CPT,18000,BKN@NO 12/17/2019 08:00PM ET,BKN,50.07
SF/PF,Brandon Ingram (13978581),Brandon Ingram,13978581,CPT,15300,BKN@NO 12/17/2019 08:00PM ET,NO,42.42
PG/SG,Jrue Holiday (13978582),Jrue Holiday,13978582,CPT,14400,BKN@NO 12/17/2019 08:00PM ET,NO,40.37
PG/SG,Spencer Dinwiddie (13978583),Spencer Dinwiddie,13978583,CPT,13500,BKN@NO 12/17/2019 08:00PM ET,BKN,36.38
PF/C,Zion Williamson (13978584),Zion Williamson,13978584,CPT,12900,BKN@NO 12/17/2019 08:00PM ET,NO,0
C,Jarrett Allen (13978585),Jarrett Allen,13978585,CPT,12300,BKN@NO 12/17/2019 08:00PM ET,BKN,31.16
PG,Kyrie Irving (13978546),Kyrie Irving,13978546,UTIL,12000,BKN@NO 12/17/2019 08:00PM ET,BKN,50.07
PG/SF,Caris LeVert (13978586),Caris LeVert,13978586,CPT,11400,BKN@NO 12/17/2019 08:00PM ET,BKN,29.58
SG/SF,JJ Redick (13978587),JJ Redick,13978587,CPT,10800,BKN@NO 12/17/2019 08:00PM ET,NO,25.35
SF/PF,Taurean Prince (13978588),Taurean Prince,13978588,CPT,10500,BKN@NO 12/17/2019 08:00PM ET,BKN,27.36
SF/PF,Brandon Ingram (13978547),Brandon Ingram,13978547,UTIL,10200,BKN@NO 12/17/2019 08:00PM ET,NO,42.42
C,DeAndre Jordan (13978589),DeAndre Jordan,13978589,CPT,10200,BKN@NO 12/17/2019 08:00PM ET,BKN,26
PG,Lonzo Ball (13978590),Lonzo Ball,13978590,CPT,9900,BKN@NO 12/17/2019 08:00PM ET,NO,26.79
PG/SG,Jrue Holiday (13978548),Jrue Holiday,13978548,UTIL,9600,BKN@NO 12/17/2019 08:00PM ET,NO,40.37
SG/SF,Joe Harris (13978591),Joe Harris,13978591,CPT,9300,BKN@NO 12/17/2019 08:00PM ET,BKN,24.98
PG/SG,Spencer Dinwiddie (13978549),Spencer Dinwiddie,13978549,UTIL,9000,BKN@NO 12/17/2019 08:00PM ET,BKN,36.38
