Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14136466),Joel Embiid,14136466,CPT,17700,BKN@PHI 01/15/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14136467),Ben Simmons,14136467,CPT,16500,BKN@PHI 01/15/2020 07:00PM ET,PHI,42.33
PG,Kyrie Irving (14136468),Kyrie Irving,14136468,CPT,15000,BKN@PHI 01/15/2020 07:00PM ET,BKN,49.69
SF/PF,Tobias Harris (14136469),Tobias Harris,14136469,CPT,13800,BKN@PHI 01/15/2020 07:00PM ET,PHI,35.10
PF/C,Al Horford (14136470),Al Horford,14136470,CPT,13500,BKN@PHI 01/15/2020 07:00PM ET,PHI,30.64
PG/SG,Spencer Dinwiddie (14136471),Spencer Dinwiddie,14136471,CPT,12900,BKN@PHI 01/15/2020 07:00PM ET,BKN,37.47
SG/SF,Josh Richardson (14136472),Josh Richardson,14136472,CPT,12600,BKN@PHI 01/15/2020 07:00PM ET,PHI,28.03
C,Joel Embiid (14136432),Joel Embiid,14136432,UTIL,11800,BKN@PHI 01/15/2020 07:00PM ET,PHI,48.26
C,Jarrett Allen (14136473),Jarrett Allen,14136473,CPT,11400,BKN@PHI 01/15/2020 07:00PM ET,BKN,29.51
PG/SF,Ben Simmons (14136433),Ben Simmons,14136433,UTIL,11000,BKN@PHI 01/15/2020 07:00PM ET,PHI,42.33
SF/PF,Taurean Prince (14136474),Taurean Prince,14136474,CPT,10800,BKN@PHI 01/15/2020 07:00PM ET,BKN,26.69
PG/SF,Caris LeVert (14136475),Caris LeVert,14136475,CPT,10200,BKN@PHI 01/15/2020 07:00PM ET,BKN,26.75
PG,Kyrie Irving (14136434),Kyrie Irving,14136434,UTIL,10000,BKN@PHI 01/15/2020 07:00PM ET,BKN,49.69
SF/PF,Tobias Harris (14136435),Tobias Harris,14136435,UTIL,9200,BKN@PHI 01/15/2020 07:00PM ET,PHI,35.10
PF/C,Al Horford (14136436),Al Horford,14136436,UTIL,9000,BKN@PHI 01/15/2020 07:00PM ET,PHI,30.64
SG/SF,Joe Harris (14136476),Joe Harris,14136476,CPT,9000,BKN@PHI 01/15/2020 07:00PM ET,BKN,25.19
PG/SG,Spencer Dinwiddie (14136437),Spencer Dinwiddie,14136437,UTIL,8600,BKN@PHI 01/15/2020 07:00PM ET,BKN,37.47
SG/SF,Josh Richardson (14136438),Josh Richardson,14136438,UTIL,8400,BKN@PHI 01/15/2020 07:00PM ET,PHI,28.03
C,DeAndre Jordan (14136477),DeAndre Jordan,14136477,CPT,8100,BKN@PHI 01/15/2020 07:00PM ET,BKN,25.76
C,Jarrett Allen (14136439),Jarrett Allen,14136439,UTIL,7600,BKN@PHI 01/15/2020 07:00PM ET,BKN,29.51
SF/PF,Taurean Prince (14136440),Taurean Prince,14136440,UTIL,7200,BKN@PHI 01/15/2020 07:00PM ET,BKN,26.69
PF/C,Kyle O'Quinn (14136478),Kyle O'Quinn,14136478,CPT,6900,BKN@PHI 01/15/2020 07:00PM ET,PHI,11.67
PG/SF,Caris LeVert (14136441),Caris LeVert,14136441,UTIL,6800,BKN@PHI 01/15/2020 07:00PM ET,BKN,26.75
SG/SF,Joe Harris (14136442),Joe Harris,14136442,UTIL,6000,BKN@PHI 01/15/2020 07:00PM ET,BKN,25.19
SG/SF,Matisse Thybulle (14136479),Matisse Thybulle,14136479,CPT,5700,BKN@PHI 01/15/2020 07:00PM ET,PHI,12.37
C,DeAndre Jordan (14136443),DeAndre Jordan,14136443,UTIL,5400,BKN@PHI 01/15/2020 07:00PM ET,BKN,25.76
PG/SG,Garrett Temple (14136480),Garrett Temple,14136480,CPT,5400,BKN@PHI 01/15/2020 07:00PM ET,BKN,21.74
SF/PF,Mike Scott (14136481),Mike Scott,14136481,CPT,4800,BKN@PHI 01/15/2020 07:00PM ET,PHI,12.24
PF/C,Kyle O'Quinn (14136444),Kyle O'Quinn,14136444,UTIL,4600,BKN@PHI 01/15/2020 07:00PM ET,PHI,11.67
SF/PF,Rodions Kurucs (14136482),Rodions Kurucs,14136482,CPT,4200,BKN@PHI 01/15/2020 07:00PM ET,BKN,9.79
SF/PF,Wilson Chandler (14136483),Wilson Chandler,14136483,CPT,3900,BKN@PHI 01/15/2020 07:00PM ET,BKN,15.58
SG/SF,Matisse Thybulle (14136445),Matisse Thybulle,14136445,UTIL,3800,BKN@PHI 01/15/2020 07:00PM ET,PHI,12.37
PG/SG,Garrett Temple (14136446),Garrett Temple,14136446,UTIL,3600,BKN@PHI 01/15/2020 07:00PM ET,BKN,21.74
SF/PF,James Ennis III (14136484),James Ennis III,14136484,CPT,3600,BKN@PHI 01/15/2020 07:00PM ET,PHI,13.84
C,Norvel Pelle (14136485),Norvel Pelle,14136485,CPT,3300,BKN@PHI 01/15/2020 07:00PM ET,PHI,10.04
SF/PF,Mike Scott (14136447),Mike Scott,14136447,UTIL,3200,BKN@PHI 01/15/2020 07:00PM ET,PHI,12.24
SG/SF,Furkan Korkmaz (14136486),Furkan Korkmaz,14136486,CPT,3000,BKN@PHI 01/15/2020 07:00PM ET,PHI,13.92
SF/PF,Rodions Kurucs (14136448),Rodions Kurucs,14136448,UTIL,2800,BKN@PHI 01/15/2020 07:00PM ET,BKN,9.79
SF/PF,Wilson Chandler (14136449),Wilson Chandler,14136449,UTIL,2600,BKN@PHI 01/15/2020 07:00PM ET,BKN,15.58
SF/PF,James Ennis III (14136450),James Ennis III,14136450,UTIL,2400,BKN@PHI 01/15/2020 07:00PM ET,PHI,13.84
PG/SG,Chris Chiozza (14136487),Chris Chiozza,14136487,CPT,2400,BKN@PHI 01/15/2020 07:00PM ET,BKN,11.08
C,Norvel Pelle (14136451),Norvel Pelle,14136451,UTIL,2200,BKN@PHI 01/15/2020 07:00PM ET,PHI,10.04
SG/SF,Furkan Korkmaz (14136452),Furkan Korkmaz,14136452,UTIL,2000,BKN@PHI 01/15/2020 07:00PM ET,PHI,13.92
PG,Raul Neto (14136488),Raul Neto,14136488,CPT,1800,BKN@PHI 01/15/2020 07:00PM ET,PHI,8.15
SF/PF,Dzanan Musa (14136489),Dzanan Musa,14136489,CPT,1800,BKN@PHI 01/15/2020 07:00PM ET,BKN,9.21
PG/SG,Chris Chiozza (14136453),Chris Chiozza,14136453,UTIL,1600,BKN@PHI 01/15/2020 07:00PM ET,BKN,11.08
SG/SF,Timothe Luwawu-Cabarrot (14136490),Timothe Luwawu-Cabarrot,14136490,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,BKN,9.76
PG/SG,Theo Pinson (14136491),Theo Pinson,14136491,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,BKN,10.66
PG/SG,Shake Milton (14136492),Shake Milton,14136492,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,PHI,6.60
SF/PF,Justin Anderson (14136493),Justin Anderson,14136493,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,BKN,2.5
PF/C,Nicolas Claxton (14136494),Nicolas Claxton,14136494,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,BKN,8
PG/SG,Trey Burke (14136495),Trey Burke,14136495,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,PHI,12.69
PF/C,Jonah Bolden (14136496),Jonah Bolden,14136496,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,PHI,1.75
SG/SF,Zhaire Smith (14136497),Zhaire Smith,14136497,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,PHI,0
SG/SF,Marial Shayok (14136498),Marial Shayok,14136498,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,PHI,0
SF/PF,Kevin Durant (14136499),Kevin Durant,14136499,CPT,1500,BKN@PHI 01/15/2020 07:00PM ET,BKN,0
PG,Raul Neto (14136454),Raul Neto,14136454,UTIL,1200,BKN@PHI 01/15/2020 07:00PM ET,PHI,8.15
SF/PF,Dzanan Musa (14136455),Dzanan Musa,14136455,UTIL,1200,BKN@PHI 01/15/2020 07:00PM ET,BKN,9.21
SG/SF,Timothe Luwawu-Cabarrot (14136456),Timothe Luwawu-Cabarrot,14136456,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,BKN,9.76
PG/SG,Theo Pinson (14136457),Theo Pinson,14136457,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,BKN,10.66
PG/SG,Shake Milton (14136458),Shake Milton,14136458,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,PHI,6.60
SF/PF,Justin Anderson (14136459),Justin Anderson,14136459,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,BKN,2.5
PF/C,Nicolas Claxton (14136460),Nicolas Claxton,14136460,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,BKN,8
PG/SG,Trey Burke (14136461),Trey Burke,14136461,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,PHI,12.69
PF/C,Jonah Bolden (14136462),Jonah Bolden,14136462,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,PHI,1.75
SG/SF,Zhaire Smith (14136463),Zhaire Smith,14136463,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,PHI,0
SG/SF,Marial Shayok (14136464),Marial Shayok,14136464,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,PHI,0
SF/PF,Kevin Durant (14136465),Kevin Durant,14136465,UTIL,1000,BKN@PHI 01/15/2020 07:00PM ET,BKN,0
