Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (14141144),Giannis Antetokounmpo,14141144,CPT,18900,BOS@MIL 01/16/2020 08:00PM ET,MIL,59.31
PF,Jayson Tatum (14141145),Jayson Tatum,14141145,CPT,13800,BOS@MIL 01/16/2020 08:00PM ET,BOS,38.88
SF,Khris Middleton (14141146),Khris Middleton,14141146,CPT,13500,BOS@MIL 01/16/2020 08:00PM ET,MIL,34.49
PF,Giannis Antetokounmpo (14141110),Giannis Antetokounmpo,14141110,UTIL,12600,BOS@MIL 01/16/2020 08:00PM ET,MIL,59.31
PG,Kemba Walker (14141147),Kemba Walker,14141147,CPT,12600,BOS@MIL 01/16/2020 08:00PM ET,BOS,37.46
SG/SF,Jaylen Brown (14141148),Jaylen Brown,14141148,CPT,11700,BOS@MIL 01/16/2020 08:00PM ET,BOS,34.89
SF/PF,Gordon Hayward (14141149),Gordon Hayward,14141149,CPT,11400,BOS@MIL 01/16/2020 08:00PM ET,BOS,32.49
PG,Eric Bledsoe (14141150),Eric Bledsoe,14141150,CPT,11100,BOS@MIL 01/16/2020 08:00PM ET,MIL,31.48
C,Enes Kanter (14141151),Enes Kanter,14141151,CPT,10500,BOS@MIL 01/16/2020 08:00PM ET,BOS,23.74
PG/SG,Marcus Smart (14141152),Marcus Smart,14141152,CPT,9900,BOS@MIL 01/16/2020 08:00PM ET,BOS,26.65
PF,Jayson Tatum (14141111),Jayson Tatum,14141111,UTIL,9200,BOS@MIL 01/16/2020 08:00PM ET,BOS,38.88
SF,Khris Middleton (14141112),Khris Middleton,14141112,UTIL,9000,BOS@MIL 01/16/2020 08:00PM ET,MIL,34.49
C,Brook Lopez (14141153),Brook Lopez,14141153,CPT,8700,BOS@MIL 01/16/2020 08:00PM ET,MIL,24.96
PG,Kemba Walker (14141113),Kemba Walker,14141113,UTIL,8400,BOS@MIL 01/16/2020 08:00PM ET,BOS,37.46
SG/SF,Jaylen Brown (14141114),Jaylen Brown,14141114,UTIL,7800,BOS@MIL 01/16/2020 08:00PM ET,BOS,34.89
PG/SG,Donte DiVincenzo (14141154),Donte DiVincenzo,14141154,CPT,7800,BOS@MIL 01/16/2020 08:00PM ET,MIL,21.32
SF/PF,Gordon Hayward (14141115),Gordon Hayward,14141115,UTIL,7600,BOS@MIL 01/16/2020 08:00PM ET,BOS,32.49
PG,Eric Bledsoe (14141116),Eric Bledsoe,14141116,UTIL,7400,BOS@MIL 01/16/2020 08:00PM ET,MIL,31.48
C,Daniel Theis (14141155),Daniel Theis,14141155,CPT,7200,BOS@MIL 01/16/2020 08:00PM ET,BOS,21.1
C,Enes Kanter (14141117),Enes Kanter,14141117,UTIL,7000,BOS@MIL 01/16/2020 08:00PM ET,BOS,23.74
PG/SG,Marcus Smart (14141118),Marcus Smart,14141118,UTIL,6600,BOS@MIL 01/16/2020 08:00PM ET,BOS,26.65
PF/C,Ersan Ilyasova (14141156),Ersan Ilyasova,14141156,CPT,6300,BOS@MIL 01/16/2020 08:00PM ET,MIL,18.10
PG,George Hill (14141157),George Hill,14141157,CPT,6000,BOS@MIL 01/16/2020 08:00PM ET,MIL,20.53
