Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kemba Walker (14188471),Kemba Walker,14188471,CPT,14400,BOS@NO 01/26/2020 06:00PM ET,BOS,38.42
SF/PF,Brandon Ingram (14188472),Brandon Ingram,14188472,CPT,13800,BOS@NO 01/26/2020 06:00PM ET,NO,43.26
SF/PF,Jayson Tatum (14188473),Jayson Tatum,14188473,CPT,13200,BOS@NO 01/26/2020 06:00PM ET,BOS,39.19
SF/PF,Gordon Hayward (14188474),Gordon Hayward,14188474,CPT,12600,BOS@NO 01/26/2020 06:00PM ET,BOS,32.64
PG/SG,Jrue Holiday (14188475),Jrue Holiday,14188475,CPT,12300,BOS@NO 01/26/2020 06:00PM ET,NO,39.81
PG,Lonzo Ball (14188476),Lonzo Ball,14188476,CPT,11700,BOS@NO 01/26/2020 06:00PM ET,NO,32.5
SG/SF,Jaylen Brown (14188477),Jaylen Brown,14188477,CPT,11400,BOS@NO 01/26/2020 06:00PM ET,BOS,35.04
PF/C,Zion Williamson (14188478),Zion Williamson,14188478,CPT,10800,BOS@NO 01/26/2020 06:00PM ET,NO,30.38
PG/SG,Marcus Smart (14188479),Marcus Smart,14188479,CPT,10500,BOS@NO 01/26/2020 06:00PM ET,BOS,28.28
PG,Kemba Walker (14188437),Kemba Walker,14188437,UTIL,9600,BOS@NO 01/26/2020 06:00PM ET,BOS,38.42
C,Daniel Theis (14188480),Daniel Theis,14188480,CPT,9600,BOS@NO 01/26/2020 06:00PM ET,BOS,22.03
SF/PF,Brandon Ingram (14188438),Brandon Ingram,14188438,UTIL,9200,BOS@NO 01/26/2020 06:00PM ET,NO,43.26
SF/PF,Jayson Tatum (14188439),Jayson Tatum,14188439,UTIL,8800,BOS@NO 01/26/2020 06:00PM ET,BOS,39.19
C,Derrick Favors (14188481),Derrick Favors,14188481,CPT,8700,BOS@NO 01/26/2020 06:00PM ET,NO,28.68
SF/PF,Gordon Hayward (14188440),Gordon Hayward,14188440,UTIL,8400,BOS@NO 01/26/2020 06:00PM ET,BOS,32.64
PG/SG,Jrue Holiday (14188441),Jrue Holiday,14188441,UTIL,8200,BOS@NO 01/26/2020 06:00PM ET,NO,39.81
PG,Lonzo Ball (14188442),Lonzo Ball,14188442,UTIL,7800,BOS@NO 01/26/2020 06:00PM ET,NO,32.5
C,Enes Kanter (14188482),Enes Kanter,14188482,CPT,7800,BOS@NO 01/26/2020 06:00PM ET,BOS,23.72
SG/SF,Jaylen Brown (14188443),Jaylen Brown,14188443,UTIL,7600,BOS@NO 01/26/2020 06:00PM ET,BOS,35.04
PF/C,Zion Williamson (14188444),Zion Williamson,14188444,UTIL,7200,BOS@NO 01/26/2020 06:00PM ET,NO,30.38
PG/SG,Marcus Smart (14188445),Marcus Smart,14188445,UTIL,7000,BOS@NO 01/26/2020 06:00PM ET,BOS,28.28
SG/SF,Josh Hart (14188483),Josh Hart,14188483,CPT,6900,BOS@NO 01/26/2020 06:00PM ET,NO,24.20
C,Daniel Theis (14188446),Daniel Theis,14188446,UTIL,6400,BOS@NO 01/26/2020 06:00PM ET,BOS,22.03
C,Jahlil Okafor (14188484),Jahlil Okafor,14188484,CPT,6000,BOS@NO 01/26/2020 06:00PM ET,NO,17.43
C,Derrick Favors (14188447),Derrick Favors,14188447,UTIL,5800,BOS@NO 01/26/2020 06:00PM ET,NO,28.68
SF/PF,Grant Williams (14188485),Grant Williams,14188485,CPT,5400,BOS@NO 01/26/2020 06:00PM ET,BOS,9.33
C,Enes Kanter (14188448),Enes Kanter,14188448,UTIL,5200,BOS@NO 01/26/2020 06:00PM ET,BOS,23.72
SG/SF,JJ Redick (14188486),JJ Redick,14188486,CPT,5100,BOS@NO 01/26/2020 06:00PM ET,NO,23.77
PF/C,Nicolo Melli (14188487),Nicolo Melli,14188487,CPT,4800,BOS@NO 01/26/2020 06:00PM ET,NO,11.72
SG/SF,Josh Hart (14188449),Josh Hart,14188449,UTIL,4600,BOS@NO 01/26/2020 06:00PM ET,NO,24.20
C,Jaxson Hayes (14188488),Jaxson Hayes,14188488,CPT,4500,BOS@NO 01/26/2020 06:00PM ET,NO,18.86
C,Jahlil Okafor (14188450),Jahlil Okafor,14188450,UTIL,4000,BOS@NO 01/26/2020 06:00PM ET,NO,17.43
SG/SF,E'Twaun Moore (14188489),E'Twaun Moore,14188489,CPT,3900,BOS@NO 01/26/2020 06:00PM ET,NO,18.22
SF/PF,Grant Williams (14188451),Grant Williams,14188451,UTIL,3600,BOS@NO 01/26/2020 06:00PM ET,BOS,9.33
SG,Javonte Green (14188490),Javonte Green,14188490,CPT,3600,BOS@NO 01/26/2020 06:00PM ET,BOS,7.29
SG/SF,JJ Redick (14188452),JJ Redick,14188452,UTIL,3400,BOS@NO 01/26/2020 06:00PM ET,NO,23.77
PG/SG,Brad Wanamaker (14188491),Brad Wanamaker,14188491,CPT,3300,BOS@NO 01/26/2020 06:00PM ET,BOS,14.25
PF/C,Nicolo Melli (14188453),Nicolo Melli,14188453,UTIL,3200,BOS@NO 01/26/2020 06:00PM ET,NO,11.72
C,Jaxson Hayes (14188454),Jaxson Hayes,14188454,UTIL,3000,BOS@NO 01/26/2020 06:00PM ET,NO,18.86
PF,Semi Ojeleye (14188492),Semi Ojeleye,14188492,CPT,3000,BOS@NO 01/26/2020 06:00PM ET,BOS,6.57
PG,Tremont Waters (14188493),Tremont Waters,14188493,CPT,2700,BOS@NO 01/26/2020 06:00PM ET,BOS,9.33
