Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14105739),Joel Embiid,14105739,CPT,17100,BOS@PHI 01/09/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14105740),Ben Simmons,14105740,CPT,16200,BOS@PHI 01/09/2020 07:00PM ET,PHI,42.33
SF/PF,Tobias Harris (14105741),Tobias Harris,14105741,CPT,13800,BOS@PHI 01/09/2020 07:00PM ET,PHI,35.08
SF/PF,Jayson Tatum (14105742),Jayson Tatum,14105742,CPT,12900,BOS@PHI 01/09/2020 07:00PM ET,BOS,38.18
SF/PF,Gordon Hayward (14105743),Gordon Hayward,14105743,CPT,12600,BOS@PHI 01/09/2020 07:00PM ET,BOS,33.41
PG,Kemba Walker (14105744),Kemba Walker,14105744,CPT,12300,BOS@PHI 01/09/2020 07:00PM ET,BOS,38.18
SG/SF,Jaylen Brown (14105745),Jaylen Brown,14105745,CPT,11700,BOS@PHI 01/09/2020 07:00PM ET,BOS,35.71
C,Joel Embiid (14105705),Joel Embiid,14105705,UTIL,11400,BOS@PHI 01/09/2020 07:00PM ET,PHI,48.26
PF/C,Al Horford (14105746),Al Horford,14105746,CPT,11100,BOS@PHI 01/09/2020 07:00PM ET,PHI,30.02
PG/SF,Ben Simmons (14105706),Ben Simmons,14105706,UTIL,10800,BOS@PHI 01/09/2020 07:00PM ET,PHI,42.33
SG/SF,Josh Richardson (14105747),Josh Richardson,14105747,CPT,10500,BOS@PHI 01/09/2020 07:00PM ET,PHI,27.72
C,Enes Kanter (14105748),Enes Kanter,14105748,CPT,10200,BOS@PHI 01/09/2020 07:00PM ET,BOS,23.13
PG/SG,Marcus Smart (14105749),Marcus Smart,14105749,CPT,9900,BOS@PHI 01/09/2020 07:00PM ET,BOS,26.62
SF/PF,Tobias Harris (14105707),Tobias Harris,14105707,UTIL,9200,BOS@PHI 01/09/2020 07:00PM ET,PHI,35.08
PF/C,Kyle O'Quinn (14105750),Kyle O'Quinn,14105750,CPT,8700,BOS@PHI 01/09/2020 07:00PM ET,PHI,11.67
SF/PF,Jayson Tatum (14105708),Jayson Tatum,14105708,UTIL,8600,BOS@PHI 01/09/2020 07:00PM ET,BOS,38.18
SF/PF,Gordon Hayward (14105709),Gordon Hayward,14105709,UTIL,8400,BOS@PHI 01/09/2020 07:00PM ET,BOS,33.41
PG,Kemba Walker (14105710),Kemba Walker,14105710,UTIL,8200,BOS@PHI 01/09/2020 07:00PM ET,BOS,38.18
SG/SF,Jaylen Brown (14105711),Jaylen Brown,14105711,UTIL,7800,BOS@PHI 01/09/2020 07:00PM ET,BOS,35.71
PF/C,Daniel Theis (14105751),Daniel Theis,14105751,CPT,7500,BOS@PHI 01/09/2020 07:00PM ET,BOS,20.92
