Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Pascal Siakam (14027360),Pascal Siakam,14027360,CPT,15900,BOS@TOR 12/25/2019 12:00PM ET,TOR,44.77
PG,Kyle Lowry (14027361),Kyle Lowry,14027361,CPT,15000,BOS@TOR 12/25/2019 12:00PM ET,TOR,41.95
PG,Kemba Walker (14027362),Kemba Walker,14027362,CPT,14100,BOS@TOR 12/25/2019 12:00PM ET,BOS,39.39
SF/PF,Jayson Tatum (14027363),Jayson Tatum,14027363,CPT,13800,BOS@TOR 12/25/2019 12:00PM ET,BOS,39.46
PF/C,Serge Ibaka (14027364),Serge Ibaka,14027364,CPT,13200,BOS@TOR 12/25/2019 12:00PM ET,TOR,27.78
PG/SG,Fred VanVleet (14027365),Fred VanVleet,14027365,CPT,12900,BOS@TOR 12/25/2019 12:00PM ET,TOR,37.57
SG/SF,Jaylen Brown (14027366),Jaylen Brown,14027366,CPT,12300,BOS@TOR 12/25/2019 12:00PM ET,BOS,35.27
SF/PF,Gordon Hayward (14027367),Gordon Hayward,14027367,CPT,11400,BOS@TOR 12/25/2019 12:00PM ET,BOS,33.34
SG/SF,Norman Powell (14027368),Norman Powell,14027368,CPT,10800,BOS@TOR 12/25/2019 12:00PM ET,TOR,24.97
PF/C,Pascal Siakam (14027326),Pascal Siakam,14027326,UTIL,10600,BOS@TOR 12/25/2019 12:00PM ET,TOR,44.77
PG/SG,Marcus Smart (14027369),Marcus Smart,14027369,CPT,10500,BOS@TOR 12/25/2019 12:00PM ET,BOS,26.69
SF/PF,OG Anunoby (14027370),OG Anunoby,14027370,CPT,10200,BOS@TOR 12/25/2019 12:00PM ET,TOR,25.75
PG,Kyle Lowry (14027327),Kyle Lowry,14027327,UTIL,10000,BOS@TOR 12/25/2019 12:00PM ET,TOR,41.95
SF/PF,Rondae Hollis-Jefferson (14027371),Rondae Hollis-Jefferson,14027371,CPT,9900,BOS@TOR 12/25/2019 12:00PM ET,TOR,20.10
C,Enes Kanter (14027372),Enes Kanter,14027372,CPT,9600,BOS@TOR 12/25/2019 12:00PM ET,BOS,20.5
PG,Kemba Walker (14027328),Kemba Walker,14027328,UTIL,9400,BOS@TOR 12/25/2019 12:00PM ET,BOS,39.39
SF/PF,Jayson Tatum (14027329),Jayson Tatum,14027329,UTIL,9200,BOS@TOR 12/25/2019 12:00PM ET,BOS,39.46
C,Marc Gasol (14027373),Marc Gasol,14027373,CPT,9000,BOS@TOR 12/25/2019 12:00PM ET,TOR,23.93
PF/C,Serge Ibaka (14027330),Serge Ibaka,14027330,UTIL,8800,BOS@TOR 12/25/2019 12:00PM ET,TOR,27.78
PG/SG,Fred VanVleet (14027331),Fred VanVleet,14027331,UTIL,8600,BOS@TOR 12/25/2019 12:00PM ET,TOR,37.57
SG/SF,Jaylen Brown (14027332),Jaylen Brown,14027332,UTIL,8200,BOS@TOR 12/25/2019 12:00PM ET,BOS,35.27
PF/C,Chris Boucher (14027374),Chris Boucher,14027374,CPT,8100,BOS@TOR 12/25/2019 12:00PM ET,TOR,13.93
SF/PF,Gordon Hayward (14027333),Gordon Hayward,14027333,UTIL,7600,BOS@TOR 12/25/2019 12:00PM ET,BOS,33.34
SG/SF,Norman Powell (14027334),Norman Powell,14027334,UTIL,7200,BOS@TOR 12/25/2019 12:00PM ET,TOR,24.97
PG/SG,Marcus Smart (14027335),Marcus Smart,14027335,UTIL,7000,BOS@TOR 12/25/2019 12:00PM ET,BOS,26.69
SF/PF,OG Anunoby (14027336),OG Anunoby,14027336,UTIL,6800,BOS@TOR 12/25/2019 12:00PM ET,TOR,25.75
SF/PF,Rondae Hollis-Jefferson (14027337),Rondae Hollis-Jefferson,14027337,UTIL,6600,BOS@TOR 12/25/2019 12:00PM ET,TOR,20.10
PG/SF,Patrick McCaw (14027375),Patrick McCaw,14027375,CPT,6600,BOS@TOR 12/25/2019 12:00PM ET,TOR,11.25
C,Enes Kanter (14027338),Enes Kanter,14027338,UTIL,6400,BOS@TOR 12/25/2019 12:00PM ET,BOS,20.5
PF/C,Daniel Theis (14027376),Daniel Theis,14027376,CPT,6300,BOS@TOR 12/25/2019 12:00PM ET,BOS,20.56
C,Marc Gasol (14027339),Marc Gasol,14027339,UTIL,6000,BOS@TOR 12/25/2019 12:00PM ET,TOR,23.93
PG/SG,Terence Davis (14027377),Terence Davis,14027377,CPT,5700,BOS@TOR 12/25/2019 12:00PM ET,TOR,14.22
PF/C,Chris Boucher (14027340),Chris Boucher,14027340,UTIL,5400,BOS@TOR 12/25/2019 12:00PM ET,TOR,13.93
PG/SG,Brad Wanamaker (14027378),Brad Wanamaker,14027378,CPT,5400,BOS@TOR 12/25/2019 12:00PM ET,BOS,15.58
SF/PF,Grant Williams (14027379),Grant Williams,14027379,CPT,5100,BOS@TOR 12/25/2019 12:00PM ET,BOS,9.06
SG/SF,Malcolm Miller (14027380),Malcolm Miller,14027380,CPT,4800,BOS@TOR 12/25/2019 12:00PM ET,TOR,3.59
SG/SF,Romeo Langford (14027381),Romeo Langford,14027381,CPT,4500,BOS@TOR 12/25/2019 12:00PM ET,BOS,9
PG/SF,Patrick McCaw (14027341),Patrick McCaw,14027341,UTIL,4400,BOS@TOR 12/25/2019 12:00PM ET,TOR,11.25
PF/C,Daniel Theis (14027342),Daniel Theis,14027342,UTIL,4200,BOS@TOR 12/25/2019 12:00PM ET,BOS,20.56
PG/SG,Terence Davis (14027343),Terence Davis,14027343,UTIL,3800,BOS@TOR 12/25/2019 12:00PM ET,TOR,14.22
