Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,D'Angelo Russell (13856874),D'Angelo Russell,13856874,CPT,15300,CHI@GS 11/27/2019 10:30PM ET,GS,41.2
SG,Zach LaVine (13856875),Zach LaVine,13856875,CPT,13200,CHI@GS 11/27/2019 10:30PM ET,CHI,34.71
C,Wendell Carter Jr. (13856876),Wendell Carter Jr.,13856876,CPT,12900,CHI@GS 11/27/2019 10:30PM ET,CHI,29.39
PG,Ky Bowman (13856877),Ky Bowman,13856877,CPT,12300,CHI@GS 11/27/2019 10:30PM ET,GS,18.17
PF,Eric Paschall (13856878),Eric Paschall,13856878,CPT,12000,CHI@GS 11/27/2019 10:30PM ET,GS,26.84
SG,Alec Burks (13856879),Alec Burks,13856879,CPT,11700,CHI@GS 11/27/2019 10:30PM ET,GS,25.98
SG,Glenn Robinson III (13856880),Glenn Robinson III,13856880,CPT,11400,CHI@GS 11/27/2019 10:30PM ET,GS,23.93
PF,Lauri Markkanen (13856881),Lauri Markkanen,13856881,CPT,11100,CHI@GS 11/27/2019 10:30PM ET,CHI,27.81
PF,Draymond Green (13856882),Draymond Green,13856882,CPT,10800,CHI@GS 11/27/2019 10:30PM ET,GS,29.75
PG,Coby White (13856883),Coby White,13856883,CPT,10500,CHI@GS 11/27/2019 10:30PM ET,CHI,23.60
PG,D'Angelo Russell (13856841),D'Angelo Russell,13856841,UTIL,10200,CHI@GS 11/27/2019 10:30PM ET,GS,41.2
SF,Otto Porter Jr. (13856884),Otto Porter Jr.,13856884,CPT,10200,CHI@GS 11/27/2019 10:30PM ET,CHI,21.03
PF,Marquese Chriss (13856885),Marquese Chriss,13856885,CPT,9900,CHI@GS 11/27/2019 10:30PM ET,GS,18.93
PG,Tomas Satoransky (13856886),Tomas Satoransky,13856886,CPT,9300,CHI@GS 11/27/2019 10:30PM ET,CHI,22.93
PF,Omari Spellman (13856887),Omari Spellman,13856887,CPT,9000,CHI@GS 11/27/2019 10:30PM ET,GS,18.06
SG,Zach LaVine (13856842),Zach LaVine,13856842,UTIL,8800,CHI@GS 11/27/2019 10:30PM ET,CHI,34.71
C,Wendell Carter Jr. (13856843),Wendell Carter Jr.,13856843,UTIL,8600,CHI@GS 11/27/2019 10:30PM ET,CHI,29.39
PG,Ky Bowman (13856844),Ky Bowman,13856844,UTIL,8200,CHI@GS 11/27/2019 10:30PM ET,GS,18.17
C,Willie Cauley-Stein (13856888),Willie Cauley-Stein,13856888,CPT,8100,CHI@GS 11/27/2019 10:30PM ET,GS,21.55
PF,Eric Paschall (13856845),Eric Paschall,13856845,UTIL,8000,CHI@GS 11/27/2019 10:30PM ET,GS,26.84
SG,Alec Burks (13856846),Alec Burks,13856846,UTIL,7800,CHI@GS 11/27/2019 10:30PM ET,GS,25.98
SG,Glenn Robinson III (13856847),Glenn Robinson III,13856847,UTIL,7600,CHI@GS 11/27/2019 10:30PM ET,GS,23.93
SG,Jordan Poole (13856889),Jordan Poole,13856889,CPT,7500,CHI@GS 11/27/2019 10:30PM ET,GS,17.53
PF,Lauri Markkanen (13856848),Lauri Markkanen,13856848,UTIL,7400,CHI@GS 11/27/2019 10:30PM ET,CHI,27.81
PF,Draymond Green (13856849),Draymond Green,13856849,UTIL,7200,CHI@GS 11/27/2019 10:30PM ET,GS,29.75
PG,Shaquille Harrison (13856890),Shaquille Harrison,13856890,CPT,7200,CHI@GS 11/27/2019 10:30PM ET,CHI,10.41
PG,Coby White (13856850),Coby White,13856850,UTIL,7000,CHI@GS 11/27/2019 10:30PM ET,CHI,23.60
PF,Thaddeus Young (13856891),Thaddeus Young,13856891,CPT,6900,CHI@GS 11/27/2019 10:30PM ET,CHI,19.42
SF,Otto Porter Jr. (13856851),Otto Porter Jr.,13856851,UTIL,6800,CHI@GS 11/27/2019 10:30PM ET,CHI,21.03
PF,Marquese Chriss (13856852),Marquese Chriss,13856852,UTIL,6600,CHI@GS 11/27/2019 10:30PM ET,GS,18.93
PG,Kris Dunn (13856892),Kris Dunn,13856892,CPT,6600,CHI@GS 11/27/2019 10:30PM ET,CHI,19.01
SG,Damion Lee (13856893),Damion Lee,13856893,CPT,6300,CHI@GS 11/27/2019 10:30PM ET,GS,19.16
PG,Tomas Satoransky (13856853),Tomas Satoransky,13856853,UTIL,6200,CHI@GS 11/27/2019 10:30PM ET,CHI,22.93
PF,Omari Spellman (13856854),Omari Spellman,13856854,UTIL,6000,CHI@GS 11/27/2019 10:30PM ET,GS,18.06
C,Willie Cauley-Stein (13856855),Willie Cauley-Stein,13856855,UTIL,5400,CHI@GS 11/27/2019 10:30PM ET,GS,21.55
PG,Ryan Arcidiacono (13856894),Ryan Arcidiacono,13856894,CPT,5400,CHI@GS 11/27/2019 10:30PM ET,CHI,11.40
SG,Jordan Poole (13856856),Jordan Poole,13856856,UTIL,5000,CHI@GS 11/27/2019 10:30PM ET,GS,17.53
PG,Shaquille Harrison (13856857),Shaquille Harrison,13856857,UTIL,4800,CHI@GS 11/27/2019 10:30PM ET,CHI,10.41
PF,Thaddeus Young (13856858),Thaddeus Young,13856858,UTIL,4600,CHI@GS 11/27/2019 10:30PM ET,CHI,19.42
PG,Kris Dunn (13856859),Kris Dunn,13856859,UTIL,4400,CHI@GS 11/27/2019 10:30PM ET,CHI,19.01
SG,Damion Lee (13856860),Damion Lee,13856860,UTIL,4200,CHI@GS 11/27/2019 10:30PM ET,GS,19.16
SG,Chandler Hutchison (13856895),Chandler Hutchison,13856895,CPT,4200,CHI@GS 11/27/2019 10:30PM ET,CHI,15.97
PG,Ryan Arcidiacono (13856861),Ryan Arcidiacono,13856861,UTIL,3600,CHI@GS 11/27/2019 10:30PM ET,CHI,11.40
PF,Daniel Gafford (13856896),Daniel Gafford,13856896,CPT,3600,CHI@GS 11/27/2019 10:30PM ET,CHI,8.06
