Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Domantas Sabonis (14202352),Domantas Sabonis,14202352,CPT,17100,CHI@IND 01/29/2020 07:00PM ET,IND,43.80
SG,Zach LaVine (14202353),Zach LaVine,14202353,CPT,15900,CHI@IND 01/29/2020 07:00PM ET,CHI,40.86
PG,Malcolm Brogdon (14202354),Malcolm Brogdon,14202354,CPT,12600,CHI@IND 01/29/2020 07:00PM ET,IND,35.02
PF/C,Domantas Sabonis (14202318),Domantas Sabonis,14202318,UTIL,11400,CHI@IND 01/29/2020 07:00PM ET,IND,43.80
PF/C,Lauri Markkanen (14202355),Lauri Markkanen,14202355,CPT,11400,CHI@IND 01/29/2020 07:00PM ET,CHI,28.46
PG/SG,Victor Oladipo (14202356),Victor Oladipo,14202356,CPT,11100,CHI@IND 01/29/2020 07:00PM ET,IND,0
SF/PF,T.J. Warren (14202357),T.J. Warren,14202357,CPT,10800,CHI@IND 01/29/2020 07:00PM ET,IND,28.14
SG,Zach LaVine (14202319),Zach LaVine,14202319,UTIL,10600,CHI@IND 01/29/2020 07:00PM ET,CHI,40.86
C,Wendell Carter Jr. (14202358),Wendell Carter Jr.,14202358,CPT,10500,CHI@IND 01/29/2020 07:00PM ET,CHI,29.16
PG/SF,Kris Dunn (14202359),Kris Dunn,14202359,CPT,10200,CHI@IND 01/29/2020 07:00PM ET,CHI,21.78
C,Myles Turner (14202360),Myles Turner,14202360,CPT,9900,CHI@IND 01/29/2020 07:00PM ET,IND,26.99
PF,Thaddeus Young (14202361),Thaddeus Young,14202361,CPT,9600,CHI@IND 01/29/2020 07:00PM ET,CHI,20.36
SG/SF,Jeremy Lamb (14202362),Jeremy Lamb,14202362,CPT,9300,CHI@IND 01/29/2020 07:00PM ET,IND,25.81
PF/C,Luke Kornet (14202363),Luke Kornet,14202363,CPT,9000,CHI@IND 01/29/2020 07:00PM ET,CHI,11.18
