Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Zach LaVine (14100399),Zach LaVine,14100399,CPT,17100,CHI@NO 01/08/2020 08:00PM ET,CHI,38.90
SF/PF,Brandon Ingram (14100400),Brandon Ingram,14100400,CPT,16500,CHI@NO 01/08/2020 08:00PM ET,NO,43.09
PG/SG,Jrue Holiday (14100401),Jrue Holiday,14100401,CPT,15000,CHI@NO 01/08/2020 08:00PM ET,NO,39.90
PG,Lonzo Ball (14100402),Lonzo Ball,14100402,CPT,14700,CHI@NO 01/08/2020 08:00PM ET,NO,29.90
PF/C,Derrick Favors (14100403),Derrick Favors,14100403,CPT,14100,CHI@NO 01/08/2020 08:00PM ET,NO,28.16
PF/C,Lauri Markkanen (14100404),Lauri Markkanen,14100404,CPT,13200,CHI@NO 01/08/2020 08:00PM ET,CHI,29.43
PG/SF,Tomas Satoransky (14100405),Tomas Satoransky,14100405,CPT,12600,CHI@NO 01/08/2020 08:00PM ET,CHI,25.90
PF/C,Zion Williamson (14100406),Zion Williamson,14100406,CPT,12300,CHI@NO 01/08/2020 08:00PM ET,NO,0
PF/C,Wendell Carter Jr. (14100407),Wendell Carter Jr.,14100407,CPT,12000,CHI@NO 01/08/2020 08:00PM ET,CHI,29.16
PG/SG,Zach LaVine (14100365),Zach LaVine,14100365,UTIL,11400,CHI@NO 01/08/2020 08:00PM ET,CHI,38.90
SF/PF,Thaddeus Young (14100408),Thaddeus Young,14100408,CPT,11100,CHI@NO 01/08/2020 08:00PM ET,CHI,19.63
SF/PF,Brandon Ingram (14100366),Brandon Ingram,14100366,UTIL,11000,CHI@NO 01/08/2020 08:00PM ET,NO,43.09
SG/SF,JJ Redick (14100409),JJ Redick,14100409,CPT,10800,CHI@NO 01/08/2020 08:00PM ET,NO,24.11
SF/PF,Otto Porter Jr. (14100410),Otto Porter Jr.,14100410,CPT,10500,CHI@NO 01/08/2020 08:00PM ET,CHI,21.03
PG/SG,Jrue Holiday (14100367),Jrue Holiday,14100367,UTIL,10000,CHI@NO 01/08/2020 08:00PM ET,NO,39.90
PG,Lonzo Ball (14100368),Lonzo Ball,14100368,UTIL,9800,CHI@NO 01/08/2020 08:00PM ET,NO,29.90
PF/C,Derrick Favors (14100369),Derrick Favors,14100369,UTIL,9400,CHI@NO 01/08/2020 08:00PM ET,NO,28.16
SG/SF,E'Twaun Moore (14100411),E'Twaun Moore,14100411,CPT,9300,CHI@NO 01/08/2020 08:00PM ET,NO,18.43
