Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14146391),Joel Embiid,14146391,CPT,17700,CHI@PHI 01/17/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14146392),Ben Simmons,14146392,CPT,17100,CHI@PHI 01/17/2020 07:00PM ET,PHI,42.46
SG,Zach LaVine (14146393),Zach LaVine,14146393,CPT,16200,CHI@PHI 01/17/2020 07:00PM ET,CHI,40.10
SF/PF,Tobias Harris (14146394),Tobias Harris,14146394,CPT,15600,CHI@PHI 01/17/2020 07:00PM ET,PHI,35.61
PF/C,Al Horford (14146395),Al Horford,14146395,CPT,14100,CHI@PHI 01/17/2020 07:00PM ET,PHI,30.87
SG/SF,Josh Richardson (14146396),Josh Richardson,14146396,CPT,12600,CHI@PHI 01/17/2020 07:00PM ET,PHI,28.14
C,Joel Embiid (14146357),Joel Embiid,14146357,UTIL,11800,CHI@PHI 01/17/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14146358),Ben Simmons,14146358,UTIL,11400,CHI@PHI 01/17/2020 07:00PM ET,PHI,42.46
PF/C,Lauri Markkanen (14146397),Lauri Markkanen,14146397,CPT,11400,CHI@PHI 01/17/2020 07:00PM ET,CHI,28.74
C,Wendell Carter Jr. (14146398),Wendell Carter Jr.,14146398,CPT,11100,CHI@PHI 01/17/2020 07:00PM ET,CHI,29.16
SG,Zach LaVine (14146359),Zach LaVine,14146359,UTIL,10800,CHI@PHI 01/17/2020 07:00PM ET,CHI,40.10
PG,Tomas Satoransky (14146399),Tomas Satoransky,14146399,CPT,10500,CHI@PHI 01/17/2020 07:00PM ET,CHI,25.46
SF/PF,Tobias Harris (14146360),Tobias Harris,14146360,UTIL,10400,CHI@PHI 01/17/2020 07:00PM ET,PHI,35.61
PF,Thaddeus Young (14146400),Thaddeus Young,14146400,CPT,9900,CHI@PHI 01/17/2020 07:00PM ET,CHI,20.11
PG/SF,Kris Dunn (14146401),Kris Dunn,14146401,CPT,9600,CHI@PHI 01/17/2020 07:00PM ET,CHI,20.90
PF/C,Al Horford (14146361),Al Horford,14146361,UTIL,9400,CHI@PHI 01/17/2020 07:00PM ET,PHI,30.87
SF/PF,Otto Porter Jr. (14146402),Otto Porter Jr.,14146402,CPT,9300,CHI@PHI 01/17/2020 07:00PM ET,CHI,21.03
PF/C,Luke Kornet (14146403),Luke Kornet,14146403,CPT,9000,CHI@PHI 01/17/2020 07:00PM ET,CHI,8.51
C,Daniel Gafford (14146404),Daniel Gafford,14146404,CPT,8700,CHI@PHI 01/17/2020 07:00PM ET,CHI,11.40
SG/SF,Josh Richardson (14146362),Josh Richardson,14146362,UTIL,8400,CHI@PHI 01/17/2020 07:00PM ET,PHI,28.14
PF/C,Lauri Markkanen (14146363),Lauri Markkanen,14146363,UTIL,7600,CHI@PHI 01/17/2020 07:00PM ET,CHI,28.74
PG/SG,Coby White (14146405),Coby White,14146405,CPT,7500,CHI@PHI 01/17/2020 07:00PM ET,CHI,20.89
C,Wendell Carter Jr. (14146364),Wendell Carter Jr.,14146364,UTIL,7400,CHI@PHI 01/17/2020 07:00PM ET,CHI,29.16
PG,Tomas Satoransky (14146365),Tomas Satoransky,14146365,UTIL,7000,CHI@PHI 01/17/2020 07:00PM ET,CHI,25.46
SG/SF,Matisse Thybulle (14146406),Matisse Thybulle,14146406,CPT,6900,CHI@PHI 01/17/2020 07:00PM ET,PHI,12.68
