Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kemba Walker (13931928),Kemba Walker,13931928,CPT,16800,CLE@BOS 12/09/2019 07:30PM ET,BOS,38.75
SF,Jayson Tatum (13931929),Jayson Tatum,13931929,CPT,15900,CLE@BOS 12/09/2019 07:30PM ET,BOS,38.80
SF,Jaylen Brown (13931930),Jaylen Brown,13931930,CPT,14700,CLE@BOS 12/09/2019 07:30PM ET,BOS,34.99
PF,Kevin Love (13931931),Kevin Love,13931931,CPT,13500,CLE@BOS 12/09/2019 07:30PM ET,CLE,35.76
C,Tristan Thompson (13931932),Tristan Thompson,13931932,CPT,12900,CLE@BOS 12/09/2019 07:30PM ET,CLE,33.98
PG,Marcus Smart (13931933),Marcus Smart,13931933,CPT,11700,CLE@BOS 12/09/2019 07:30PM ET,BOS,26.69
PG,Kemba Walker (13931895),Kemba Walker,13931895,UTIL,11200,CLE@BOS 12/09/2019 07:30PM ET,BOS,38.75
SG,Collin Sexton (13931934),Collin Sexton,13931934,CPT,10800,CLE@BOS 12/09/2019 07:30PM ET,CLE,26.68
SF,Jayson Tatum (13931896),Jayson Tatum,13931896,UTIL,10600,CLE@BOS 12/09/2019 07:30PM ET,BOS,38.80
SF,Jaylen Brown (13931897),Jaylen Brown,13931897,UTIL,9800,CLE@BOS 12/09/2019 07:30PM ET,BOS,34.99
PF,Larry Nance Jr. (13931935),Larry Nance Jr.,13931935,CPT,9600,CLE@BOS 12/09/2019 07:30PM ET,CLE,24.74
PF,Kevin Love (13931898),Kevin Love,13931898,UTIL,9000,CLE@BOS 12/09/2019 07:30PM ET,CLE,35.76
C,Tristan Thompson (13931899),Tristan Thompson,13931899,UTIL,8600,CLE@BOS 12/09/2019 07:30PM ET,CLE,33.98
PG,Darius Garland (13931936),Darius Garland,13931936,CPT,8400,CLE@BOS 12/09/2019 07:30PM ET,CLE,18.54
PG,Marcus Smart (13931900),Marcus Smart,13931900,UTIL,7800,CLE@BOS 12/09/2019 07:30PM ET,BOS,26.69
