Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Andre Drummond (14190665),Andre Drummond,14190665,CPT,16200,CLE@DET 01/27/2020 07:00PM ET,DET,48.38
PF,Kevin Love (14190666),Kevin Love,14190666,CPT,14400,CLE@DET 01/27/2020 07:00PM ET,CLE,36.72
PG/SG,Derrick Rose (14190667),Derrick Rose,14190667,CPT,13800,CLE@DET 01/27/2020 07:00PM ET,DET,32.71
PG/SG,Collin Sexton (14190668),Collin Sexton,14190668,CPT,12600,CLE@DET 01/27/2020 07:00PM ET,CLE,28.74
SG,Luke Kennard (14190669),Luke Kennard,14190669,CPT,11700,CLE@DET 01/27/2020 07:00PM ET,DET,28.14
C,Tristan Thompson (14190670),Tristan Thompson,14190670,CPT,11400,CLE@DET 01/27/2020 07:00PM ET,CLE,31.53
C,Andre Drummond (14190631),Andre Drummond,14190631,UTIL,10800,CLE@DET 01/27/2020 07:00PM ET,DET,48.38
PF/C,Larry Nance Jr. (14190671),Larry Nance Jr.,14190671,CPT,10200,CLE@DET 01/27/2020 07:00PM ET,CLE,22.78
PF,Kevin Love (14190632),Kevin Love,14190632,UTIL,9600,CLE@DET 01/27/2020 07:00PM ET,CLE,36.72
SG/SF,Svi Mykhailiuk (14190672),Svi Mykhailiuk,14190672,CPT,9300,CLE@DET 01/27/2020 07:00PM ET,DET,15.21
PG/SG,Derrick Rose (14190633),Derrick Rose,14190633,UTIL,9200,CLE@DET 01/27/2020 07:00PM ET,DET,32.71
SF/PF,Cedi Osman (14190673),Cedi Osman,14190673,CPT,9000,CLE@DET 01/27/2020 07:00PM ET,CLE,21.21
PF/C,Markieff Morris (14190674),Markieff Morris,14190674,CPT,8700,CLE@DET 01/27/2020 07:00PM ET,DET,19.85
PG/SG,Collin Sexton (14190634),Collin Sexton,14190634,UTIL,8400,CLE@DET 01/27/2020 07:00PM ET,CLE,28.74
PF/C,Christian Wood (14190675),Christian Wood,14190675,CPT,8400,CLE@DET 01/27/2020 07:00PM ET,DET,20.06
PG,Darius Garland (14190676),Darius Garland,14190676,CPT,8100,CLE@DET 01/27/2020 07:00PM ET,CLE,21.17
SG,Luke Kennard (14190635),Luke Kennard,14190635,UTIL,7800,CLE@DET 01/27/2020 07:00PM ET,DET,28.14
PG/SF,Bruce Brown (14190677),Bruce Brown,14190677,CPT,7800,CLE@DET 01/27/2020 07:00PM ET,DET,22.84
C,Tristan Thompson (14190636),Tristan Thompson,14190636,UTIL,7600,CLE@DET 01/27/2020 07:00PM ET,CLE,31.53
PG,Reggie Jackson (14190678),Reggie Jackson,14190678,CPT,7200,CLE@DET 01/27/2020 07:00PM ET,DET,23.94
SG,Langston Galloway (14190679),Langston Galloway,14190679,CPT,6900,CLE@DET 01/27/2020 07:00PM ET,DET,17.96
PF/C,Larry Nance Jr. (14190637),Larry Nance Jr.,14190637,UTIL,6800,CLE@DET 01/27/2020 07:00PM ET,CLE,22.78
SF,Kevin Porter Jr. (14190680),Kevin Porter Jr.,14190680,CPT,6600,CLE@DET 01/27/2020 07:00PM ET,CLE,17.12
PF/C,Thon Maker (14190681),Thon Maker,14190681,CPT,6300,CLE@DET 01/27/2020 07:00PM ET,DET,9.24
SG/SF,Svi Mykhailiuk (14190638),Svi Mykhailiuk,14190638,UTIL,6200,CLE@DET 01/27/2020 07:00PM ET,DET,15.21
SF/PF,Cedi Osman (14190639),Cedi Osman,14190639,UTIL,6000,CLE@DET 01/27/2020 07:00PM ET,CLE,21.21
SF/PF,Sekou Doumbouya (14190682),Sekou Doumbouya,14190682,CPT,6000,CLE@DET 01/27/2020 07:00PM ET,DET,13.36
PF/C,Markieff Morris (14190640),Markieff Morris,14190640,UTIL,5800,CLE@DET 01/27/2020 07:00PM ET,DET,19.85
PF/C,Christian Wood (14190641),Christian Wood,14190641,UTIL,5600,CLE@DET 01/27/2020 07:00PM ET,DET,20.06
PG,Darius Garland (14190642),Darius Garland,14190642,UTIL,5400,CLE@DET 01/27/2020 07:00PM ET,CLE,21.17
PG/SF,Bruce Brown (14190643),Bruce Brown,14190643,UTIL,5200,CLE@DET 01/27/2020 07:00PM ET,DET,22.84
PG,Reggie Jackson (14190644),Reggie Jackson,14190644,UTIL,4800,CLE@DET 01/27/2020 07:00PM ET,DET,23.94
SG/SF,Tony Snell (14190683),Tony Snell,14190683,CPT,4800,CLE@DET 01/27/2020 07:00PM ET,DET,14.42
SG,Langston Galloway (14190645),Langston Galloway,14190645,UTIL,4600,CLE@DET 01/27/2020 07:00PM ET,DET,17.96
SF,Kevin Porter Jr. (14190646),Kevin Porter Jr.,14190646,UTIL,4400,CLE@DET 01/27/2020 07:00PM ET,CLE,17.12
PF/C,Thon Maker (14190647),Thon Maker,14190647,UTIL,4200,CLE@DET 01/27/2020 07:00PM ET,DET,9.24
