Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14125895),LeBron James,14125895,CPT,18300,CLE@LAL 01/13/2020 10:30PM ET,LAL,56.30
PF/C,Anthony Davis (14125896),Anthony Davis,14125896,CPT,17100,CLE@LAL 01/13/2020 10:30PM ET,LAL,51.98
C,Tristan Thompson (14125897),Tristan Thompson,14125897,CPT,15300,CLE@LAL 01/13/2020 10:30PM ET,CLE,32.82
PF/C,Kevin Love (14125898),Kevin Love,14125898,CPT,14100,CLE@LAL 01/13/2020 10:30PM ET,CLE,36.57
SF/PF,Kyle Kuzma (14125899),Kyle Kuzma,14125899,CPT,12900,CLE@LAL 01/13/2020 10:30PM ET,LAL,20.78
PG/SF,LeBron James (14125861),LeBron James,14125861,UTIL,12200,CLE@LAL 01/13/2020 10:30PM ET,LAL,56.30
PG/SG,Collin Sexton (14125900),Collin Sexton,14125900,CPT,11700,CLE@LAL 01/13/2020 10:30PM ET,CLE,27.76
PF/C,Anthony Davis (14125862),Anthony Davis,14125862,UTIL,11400,CLE@LAL 01/13/2020 10:30PM ET,LAL,51.98
PG,Darius Garland (14125901),Darius Garland,14125901,CPT,10500,CLE@LAL 01/13/2020 10:30PM ET,CLE,20.82
C,Tristan Thompson (14125863),Tristan Thompson,14125863,UTIL,10200,CLE@LAL 01/13/2020 10:30PM ET,CLE,32.82
C,Dwight Howard (14125902),Dwight Howard,14125902,CPT,9600,CLE@LAL 01/13/2020 10:30PM ET,LAL,20.44
PF/C,Kevin Love (14125864),Kevin Love,14125864,UTIL,9400,CLE@LAL 01/13/2020 10:30PM ET,CLE,36.57
C,JaVale McGee (14125903),JaVale McGee,14125903,CPT,8700,CLE@LAL 01/13/2020 10:30PM ET,LAL,19.24
SF/PF,Kyle Kuzma (14125865),Kyle Kuzma,14125865,UTIL,8600,CLE@LAL 01/13/2020 10:30PM ET,LAL,20.78
SG/SF,Danny Green (14125904),Danny Green,14125904,CPT,8400,CLE@LAL 01/13/2020 10:30PM ET,LAL,18.95
PG/SG,Collin Sexton (14125866),Collin Sexton,14125866,UTIL,7800,CLE@LAL 01/13/2020 10:30PM ET,CLE,27.76
SF/PF,Cedi Osman (14125905),Cedi Osman,14125905,CPT,7500,CLE@LAL 01/13/2020 10:30PM ET,CLE,20.75
PG,Darius Garland (14125867),Darius Garland,14125867,UTIL,7000,CLE@LAL 01/13/2020 10:30PM ET,CLE,20.82
PG,Rajon Rondo (14125906),Rajon Rondo,14125906,CPT,6900,CLE@LAL 01/13/2020 10:30PM ET,LAL,22.06
SG/SF,Kevin Porter Jr. (14125907),Kevin Porter Jr.,14125907,CPT,6600,CLE@LAL 01/13/2020 10:30PM ET,CLE,17.12
C,Dwight Howard (14125868),Dwight Howard,14125868,UTIL,6400,CLE@LAL 01/13/2020 10:30PM ET,LAL,20.44
SG/SF,Kentavious Caldwell-Pope (14125908),Kentavious Caldwell-Pope,14125908,CPT,6300,CLE@LAL 01/13/2020 10:30PM ET,LAL,16.70
C,JaVale McGee (14125869),JaVale McGee,14125869,UTIL,5800,CLE@LAL 01/13/2020 10:30PM ET,LAL,19.24
SG/SF,Danny Green (14125870),Danny Green,14125870,UTIL,5600,CLE@LAL 01/13/2020 10:30PM ET,LAL,18.95
