Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (14085719),Karl-Anthony Towns,14085719,CPT,16800,MIN@CLE 01/05/2020 07:30PM ET,MIN,53.74
PF/C,Kevin Love (14085720),Kevin Love,14085720,CPT,14400,MIN@CLE 01/05/2020 07:30PM ET,CLE,36.02
SG/SF,Andrew Wiggins (14085721),Andrew Wiggins,14085721,CPT,13200,MIN@CLE 01/05/2020 07:30PM ET,MIN,39.96
SF/PF,Robert Covington (14085722),Robert Covington,14085722,CPT,12300,MIN@CLE 01/05/2020 07:30PM ET,MIN,26.58
PG/SG,Shabazz Napier (14085723),Shabazz Napier,14085723,CPT,11400,MIN@CLE 01/05/2020 07:30PM ET,MIN,20.96
C,Karl-Anthony Towns (14085686),Karl-Anthony Towns,14085686,UTIL,11200,MIN@CLE 01/05/2020 07:30PM ET,MIN,53.74
C,Tristan Thompson (14085724),Tristan Thompson,14085724,CPT,11100,MIN@CLE 01/05/2020 07:30PM ET,CLE,31.57
C,Gorgui Dieng (14085725),Gorgui Dieng,14085725,CPT,10800,MIN@CLE 01/05/2020 07:30PM ET,MIN,19.57
PG/SG,Collin Sexton (14085726),Collin Sexton,14085726,CPT,10200,MIN@CLE 01/05/2020 07:30PM ET,CLE,27.39
PG,Jeff Teague (14085727),Jeff Teague,14085727,CPT,9900,MIN@CLE 01/05/2020 07:30PM ET,MIN,28.87
PF/C,Kevin Love (14085687),Kevin Love,14085687,UTIL,9600,MIN@CLE 01/05/2020 07:30PM ET,CLE,36.02
PG/SG,Jarrett Culver (14085728),Jarrett Culver,14085728,CPT,9300,MIN@CLE 01/05/2020 07:30PM ET,MIN,18.51
SG/SF,Andrew Wiggins (14085688),Andrew Wiggins,14085688,UTIL,8800,MIN@CLE 01/05/2020 07:30PM ET,MIN,39.96
PG,Darius Garland (14085729),Darius Garland,14085729,CPT,8400,MIN@CLE 01/05/2020 07:30PM ET,CLE,20.03
SF/PF,Robert Covington (14085689),Robert Covington,14085689,UTIL,8200,MIN@CLE 01/05/2020 07:30PM ET,MIN,26.58
PG/SG,Shabazz Napier (14085690),Shabazz Napier,14085690,UTIL,7600,MIN@CLE 01/05/2020 07:30PM ET,MIN,20.96
SG/SF,Kevin Porter Jr. (14085730),Kevin Porter Jr.,14085730,CPT,7500,MIN@CLE 01/05/2020 07:30PM ET,CLE,17.24
C,Tristan Thompson (14085691),Tristan Thompson,14085691,UTIL,7400,MIN@CLE 01/05/2020 07:30PM ET,CLE,31.57
C,Gorgui Dieng (14085692),Gorgui Dieng,14085692,UTIL,7200,MIN@CLE 01/05/2020 07:30PM ET,MIN,19.57
SF/PF,Cedi Osman (14085731),Cedi Osman,14085731,CPT,7200,MIN@CLE 01/05/2020 07:30PM ET,CLE,20.66
SF,Kelan Martin (14085732),Kelan Martin,14085732,CPT,6900,MIN@CLE 01/05/2020 07:30PM ET,MIN,12.22
PG/SG,Collin Sexton (14085693),Collin Sexton,14085693,UTIL,6800,MIN@CLE 01/05/2020 07:30PM ET,CLE,27.39
PG,Jeff Teague (14085694),Jeff Teague,14085694,UTIL,6600,MIN@CLE 01/05/2020 07:30PM ET,MIN,28.87
PF/C,Naz Reid (14085733),Naz Reid,14085733,CPT,6600,MIN@CLE 01/05/2020 07:30PM ET,MIN,14.25
SG/SF,Josh Okogie (14085734),Josh Okogie,14085734,CPT,6300,MIN@CLE 01/05/2020 07:30PM ET,MIN,17.95
PG/SG,Jarrett Culver (14085695),Jarrett Culver,14085695,UTIL,6200,MIN@CLE 01/05/2020 07:30PM ET,MIN,18.51
PF/C,Larry Nance Jr. (14085735),Larry Nance Jr.,14085735,CPT,5700,MIN@CLE 01/05/2020 07:30PM ET,CLE,21.77
PG,Darius Garland (14085696),Darius Garland,14085696,UTIL,5600,MIN@CLE 01/05/2020 07:30PM ET,CLE,20.03
SF/PF,Jake Layman (14085736),Jake Layman,14085736,CPT,5100,MIN@CLE 01/05/2020 07:30PM ET,MIN,18.52
SG/SF,Kevin Porter Jr. (14085697),Kevin Porter Jr.,14085697,UTIL,5000,MIN@CLE 01/05/2020 07:30PM ET,CLE,17.24
SF/PF,Cedi Osman (14085698),Cedi Osman,14085698,UTIL,4800,MIN@CLE 01/05/2020 07:30PM ET,CLE,20.66
SF/PF,Keita Bates-Diop (14085737),Keita Bates-Diop,14085737,CPT,4800,MIN@CLE 01/05/2020 07:30PM ET,MIN,13.81
SF,Kelan Martin (14085699),Kelan Martin,14085699,UTIL,4600,MIN@CLE 01/05/2020 07:30PM ET,MIN,12.22
PF/C,Naz Reid (14085700),Naz Reid,14085700,UTIL,4400,MIN@CLE 01/05/2020 07:30PM ET,MIN,14.25
SG/SF,Josh Okogie (14085701),Josh Okogie,14085701,UTIL,4200,MIN@CLE 01/05/2020 07:30PM ET,MIN,17.95
C,John Henson (14085738),John Henson,14085738,CPT,4200,MIN@CLE 01/05/2020 07:30PM ET,CLE,13.74
PF/C,Noah Vonleh (14085739),Noah Vonleh,14085739,CPT,3900,MIN@CLE 01/05/2020 07:30PM ET,MIN,11.75
PF/C,Larry Nance Jr. (14085702),Larry Nance Jr.,14085702,UTIL,3800,MIN@CLE 01/05/2020 07:30PM ET,CLE,21.77
SF/PF,Jake Layman (14085703),Jake Layman,14085703,UTIL,3400,MIN@CLE 01/05/2020 07:30PM ET,MIN,18.52
PG/SG,Dante Exum (14085740),Dante Exum,14085740,CPT,3300,MIN@CLE 01/05/2020 07:30PM ET,CLE,7
SF/PF,Keita Bates-Diop (14085704),Keita Bates-Diop,14085704,UTIL,3200,MIN@CLE 01/05/2020 07:30PM ET,MIN,13.81
SF/PF,Treveon Graham (14085741),Treveon Graham,14085741,CPT,3000,MIN@CLE 01/05/2020 07:30PM ET,MIN,12.09
C,John Henson (14085705),John Henson,14085705,UTIL,2800,MIN@CLE 01/05/2020 07:30PM ET,CLE,13.74
PG/SG,Matthew Dellavedova (14085742),Matthew Dellavedova,14085742,CPT,2700,MIN@CLE 01/05/2020 07:30PM ET,CLE,9.01
PF/C,Noah Vonleh (14085706),Noah Vonleh,14085706,UTIL,2600,MIN@CLE 01/05/2020 07:30PM ET,MIN,11.75
PF/C,Jordan Bell (14085743),Jordan Bell,14085743,CPT,2400,MIN@CLE 01/05/2020 07:30PM ET,MIN,9.08
PG/SG,Dante Exum (14085707),Dante Exum,14085707,UTIL,2200,MIN@CLE 01/05/2020 07:30PM ET,CLE,7
PG,Jordan McLaughlin (14085744),Jordan McLaughlin,14085744,CPT,2100,MIN@CLE 01/05/2020 07:30PM ET,MIN,12.67
SF/PF,Treveon Graham (14085708),Treveon Graham,14085708,UTIL,2000,MIN@CLE 01/05/2020 07:30PM ET,MIN,12.09
PG/SG,Matthew Dellavedova (14085709),Matthew Dellavedova,14085709,UTIL,1800,MIN@CLE 01/05/2020 07:30PM ET,CLE,9.01
PF,Dean Wade (14085745),Dean Wade,14085745,CPT,1800,MIN@CLE 01/05/2020 07:30PM ET,CLE,3
PF/C,Jordan Bell (14085710),Jordan Bell,14085710,UTIL,1600,MIN@CLE 01/05/2020 07:30PM ET,MIN,9.08
PG/SG,Brandon Knight (14085746),Brandon Knight,14085746,CPT,1500,MIN@CLE 01/05/2020 07:30PM ET,CLE,9.3
PG/SG,Jaylen Nowell (14085747),Jaylen Nowell,14085747,CPT,1500,MIN@CLE 01/05/2020 07:30PM ET,MIN,6.82
