Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,DeMar DeRozan (13952749),DeMar DeRozan,13952749,CPT,15600,CLE@SA 12/12/2019 08:30PM ET,SA,37.52
PF/C,LaMarcus Aldridge (13952750),LaMarcus Aldridge,13952750,CPT,14700,CLE@SA 12/12/2019 08:30PM ET,SA,35.70
PF/C,Kevin Love (13952751),Kevin Love,13952751,CPT,13500,CLE@SA 12/12/2019 08:30PM ET,CLE,35.12
C,Tristan Thompson (13952752),Tristan Thompson,13952752,CPT,12900,CLE@SA 12/12/2019 08:30PM ET,CLE,33.54
PG,Dejounte Murray (13952753),Dejounte Murray,13952753,CPT,11700,CLE@SA 12/12/2019 08:30PM ET,SA,26.32
PG/SG,Collin Sexton (13952754),Collin Sexton,13952754,CPT,11400,CLE@SA 12/12/2019 08:30PM ET,CLE,26.20
C,Jakob Poeltl (13952755),Jakob Poeltl,13952755,CPT,10800,CLE@SA 12/12/2019 08:30PM ET,SA,19.49
SG/SF,DeMar DeRozan (13952716),DeMar DeRozan,13952716,UTIL,10400,CLE@SA 12/12/2019 08:30PM ET,SA,37.52
SF/PF,Rudy Gay (13952756),Rudy Gay,13952756,CPT,9900,CLE@SA 12/12/2019 08:30PM ET,SA,23.30
PF/C,LaMarcus Aldridge (13952717),LaMarcus Aldridge,13952717,UTIL,9800,CLE@SA 12/12/2019 08:30PM ET,SA,35.70
PF/C,Kevin Love (13952718),Kevin Love,13952718,UTIL,9000,CLE@SA 12/12/2019 08:30PM ET,CLE,35.12
SG/SF,Jordan Clarkson (13952757),Jordan Clarkson,13952757,CPT,8700,CLE@SA 12/12/2019 08:30PM ET,CLE,22.38
C,Tristan Thompson (13952719),Tristan Thompson,13952719,UTIL,8600,CLE@SA 12/12/2019 08:30PM ET,CLE,33.54
PG,Darius Garland (13952758),Darius Garland,13952758,CPT,8100,CLE@SA 12/12/2019 08:30PM ET,CLE,18.18
PG,Dejounte Murray (13952720),Dejounte Murray,13952720,UTIL,7800,CLE@SA 12/12/2019 08:30PM ET,SA,26.32
SG/SF,Lonnie Walker IV (13952759),Lonnie Walker IV,13952759,CPT,7800,CLE@SA 12/12/2019 08:30PM ET,SA,7.17
PG/SG,Collin Sexton (13952721),Collin Sexton,13952721,UTIL,7600,CLE@SA 12/12/2019 08:30PM ET,CLE,26.20
PG/SG,Patty Mills (13952760),Patty Mills,13952760,CPT,7500,CLE@SA 12/12/2019 08:30PM ET,SA,19
C,Jakob Poeltl (13952722),Jakob Poeltl,13952722,UTIL,7200,CLE@SA 12/12/2019 08:30PM ET,SA,19.49
PF/C,Larry Nance Jr. (13952761),Larry Nance Jr.,13952761,CPT,7200,CLE@SA 12/12/2019 08:30PM ET,CLE,23.80
PG/SG,Derrick White (13952762),Derrick White,13952762,CPT,6900,CLE@SA 12/12/2019 08:30PM ET,SA,18.96
SF/PF,Rudy Gay (13952723),Rudy Gay,13952723,UTIL,6600,CLE@SA 12/12/2019 08:30PM ET,SA,23.30
PG/SG,Bryn Forbes (13952763),Bryn Forbes,13952763,CPT,6600,CLE@SA 12/12/2019 08:30PM ET,SA,20.86
PF/C,Trey Lyles (13952764),Trey Lyles,13952764,CPT,6300,CLE@SA 12/12/2019 08:30PM ET,SA,15.02
SG/SF,Jordan Clarkson (13952724),Jordan Clarkson,13952724,UTIL,5800,CLE@SA 12/12/2019 08:30PM ET,CLE,22.38
SF/PF,Cedi Osman (13952765),Cedi Osman,13952765,CPT,5700,CLE@SA 12/12/2019 08:30PM ET,CLE,19.38
PG,Darius Garland (13952725),Darius Garland,13952725,UTIL,5400,CLE@SA 12/12/2019 08:30PM ET,CLE,18.18
SG/SF,Lonnie Walker IV (13952726),Lonnie Walker IV,13952726,UTIL,5200,CLE@SA 12/12/2019 08:30PM ET,SA,7.17
PG/SG,Patty Mills (13952727),Patty Mills,13952727,UTIL,5000,CLE@SA 12/12/2019 08:30PM ET,SA,19
PF/C,Larry Nance Jr. (13952728),Larry Nance Jr.,13952728,UTIL,4800,CLE@SA 12/12/2019 08:30PM ET,CLE,23.80
SG/SF,Kevin Porter Jr. (13952766),Kevin Porter Jr.,13952766,CPT,4800,CLE@SA 12/12/2019 08:30PM ET,CLE,16.55
PG/SG,Derrick White (13952729),Derrick White,13952729,UTIL,4600,CLE@SA 12/12/2019 08:30PM ET,SA,18.96
PG/SG,Bryn Forbes (13952730),Bryn Forbes,13952730,UTIL,4400,CLE@SA 12/12/2019 08:30PM ET,SA,20.86
PF/C,Trey Lyles (13952731),Trey Lyles,13952731,UTIL,4200,CLE@SA 12/12/2019 08:30PM ET,SA,15.02
SF/PF,Cedi Osman (13952732),Cedi Osman,13952732,UTIL,3800,CLE@SA 12/12/2019 08:30PM ET,CLE,19.38
SG/SF,Marco Belinelli (13952767),Marco Belinelli,13952767,CPT,3600,CLE@SA 12/12/2019 08:30PM ET,SA,10.56
SG/SF,Kevin Porter Jr. (13952733),Kevin Porter Jr.,13952733,UTIL,3200,CLE@SA 12/12/2019 08:30PM ET,CLE,16.55
PG/SG,Matthew Dellavedova (13952768),Matthew Dellavedova,13952768,CPT,3000,CLE@SA 12/12/2019 08:30PM ET,CLE,8.11
SG/SF,Marco Belinelli (13952734),Marco Belinelli,13952734,UTIL,2400,CLE@SA 12/12/2019 08:30PM ET,SA,10.56
C,John Henson (13952769),John Henson,13952769,CPT,2100,CLE@SA 12/12/2019 08:30PM ET,CLE,13.21
PG/SG,Matthew Dellavedova (13952735),Matthew Dellavedova,13952735,UTIL,2000,CLE@SA 12/12/2019 08:30PM ET,CLE,8.11
PG/SG,Brandon Knight (13952770),Brandon Knight,13952770,CPT,1800,CLE@SA 12/12/2019 08:30PM ET,CLE,10.31
PF,Dean Wade (13952771),Dean Wade,13952771,CPT,1800,CLE@SA 12/12/2019 08:30PM ET,CLE,2.67
PF/C,Drew Eubanks (13952772),Drew Eubanks,13952772,CPT,1800,CLE@SA 12/12/2019 08:30PM ET,SA,7.56
SF,DeMarre Carroll (13952773),DeMarre Carroll,13952773,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,SA,7.57
SF/PF,Alfonzo McKinnie (13952774),Alfonzo McKinnie,13952774,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,CLE,6.85
PF/C,Chimezie Metu (13952775),Chimezie Metu,13952775,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,SA,6.12
C,Ante Zizic (13952776),Ante Zizic,13952776,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,CLE,8.25
PF/C,Tyler Cook (13952777),Tyler Cook,13952777,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,CLE,3.29
SG/SF,Keldon Johnson (13952778),Keldon Johnson,13952778,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,SA,0
SF/PF,Luka Samanic (13952779),Luka Samanic,13952779,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,SA,0
PG,Quinndary Weatherspoon (13952780),Quinndary Weatherspoon,13952780,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,SA,0
SG/SF,Dylan Windler (13952781),Dylan Windler,13952781,CPT,1500,CLE@SA 12/12/2019 08:30PM ET,CLE,0
C,John Henson (13952736),John Henson,13952736,UTIL,1400,CLE@SA 12/12/2019 08:30PM ET,CLE,13.21
PG/SG,Brandon Knight (13952737),Brandon Knight,13952737,UTIL,1200,CLE@SA 12/12/2019 08:30PM ET,CLE,10.31
PF,Dean Wade (13952738),Dean Wade,13952738,UTIL,1200,CLE@SA 12/12/2019 08:30PM ET,CLE,2.67
PF/C,Drew Eubanks (13952739),Drew Eubanks,13952739,UTIL,1200,CLE@SA 12/12/2019 08:30PM ET,SA,7.56
SF,DeMarre Carroll (13952740),DeMarre Carroll,13952740,UTIL,1000,CLE@SA 12/12/2019 08:30PM ET,SA,7.57
SF/PF,Alfonzo McKinnie (13952741),Alfonzo McKinnie,13952741,UTIL,1000,CLE@SA 12/12/2019 08:30PM ET,CLE,6.85
PF/C,Chimezie Metu (13952742),Chimezie Metu,13952742,UTIL,1000,CLE@SA 12/12/2019 08:30PM ET,SA,6.12
C,Ante Zizic (13952743),Ante Zizic,13952743,UTIL,1000,CLE@SA 12/12/2019 08:30PM ET,CLE,8.25
PF/C,Tyler Cook (13952744),Tyler Cook,13952744,UTIL,1000,CLE@SA 12/12/2019 08:30PM ET,CLE,3.29
