Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Pascal Siakam (13973742),Pascal Siakam,13973742,CPT,16200,CLE@TOR 12/16/2019 07:30PM ET,TOR,44.58
PG,Kyle Lowry (13973743),Kyle Lowry,13973743,CPT,14700,CLE@TOR 12/16/2019 07:30PM ET,TOR,38.29
PF/C,Kevin Love (13973744),Kevin Love,13973744,CPT,13800,CLE@TOR 12/16/2019 07:30PM ET,CLE,36.03
PG/SG,Fred VanVleet (13973745),Fred VanVleet,13973745,CPT,12900,CLE@TOR 12/16/2019 07:30PM ET,TOR,37.83
C,Marc Gasol (13973746),Marc Gasol,13973746,CPT,12000,CLE@TOR 12/16/2019 07:30PM ET,TOR,24.8
C,Tristan Thompson (13973747),Tristan Thompson,13973747,CPT,11400,CLE@TOR 12/16/2019 07:30PM ET,CLE,32.64
SG/SF,Norman Powell (13973748),Norman Powell,13973748,CPT,11100,CLE@TOR 12/16/2019 07:30PM ET,TOR,24.18
PF/C,Pascal Siakam (13973709),Pascal Siakam,13973709,UTIL,10800,CLE@TOR 12/16/2019 07:30PM ET,TOR,44.58
PF/C,Serge Ibaka (13973749),Serge Ibaka,13973749,CPT,10500,CLE@TOR 12/16/2019 07:30PM ET,TOR,25.77
PG/SG,Collin Sexton (13973750),Collin Sexton,13973750,CPT,9900,CLE@TOR 12/16/2019 07:30PM ET,CLE,26.18
PG,Kyle Lowry (13973710),Kyle Lowry,13973710,UTIL,9800,CLE@TOR 12/16/2019 07:30PM ET,TOR,38.29
SF/PF,OG Anunoby (13973751),OG Anunoby,13973751,CPT,9300,CLE@TOR 12/16/2019 07:30PM ET,TOR,25.07
PF/C,Kevin Love (13973711),Kevin Love,13973711,UTIL,9200,CLE@TOR 12/16/2019 07:30PM ET,CLE,36.03
SG/SF,Jordan Clarkson (13973752),Jordan Clarkson,13973752,CPT,8700,CLE@TOR 12/16/2019 07:30PM ET,CLE,22.95
PG/SG,Fred VanVleet (13973712),Fred VanVleet,13973712,UTIL,8600,CLE@TOR 12/16/2019 07:30PM ET,TOR,37.83
C,Marc Gasol (13973713),Marc Gasol,13973713,UTIL,8000,CLE@TOR 12/16/2019 07:30PM ET,TOR,24.8
C,Tristan Thompson (13973714),Tristan Thompson,13973714,UTIL,7600,CLE@TOR 12/16/2019 07:30PM ET,CLE,32.64
PF/C,Larry Nance Jr. (13973753),Larry Nance Jr.,13973753,CPT,7500,CLE@TOR 12/16/2019 07:30PM ET,CLE,23.46
SG/SF,Norman Powell (13973715),Norman Powell,13973715,UTIL,7400,CLE@TOR 12/16/2019 07:30PM ET,TOR,24.18
PF/C,Serge Ibaka (13973716),Serge Ibaka,13973716,UTIL,7000,CLE@TOR 12/16/2019 07:30PM ET,TOR,25.77
PG,Darius Garland (13973754),Darius Garland,13973754,CPT,6900,CLE@TOR 12/16/2019 07:30PM ET,CLE,18.31
PG/SG,Collin Sexton (13973717),Collin Sexton,13973717,UTIL,6600,CLE@TOR 12/16/2019 07:30PM ET,CLE,26.18
SG/SF,Kevin Porter Jr. (13973755),Kevin Porter Jr.,13973755,CPT,6300,CLE@TOR 12/16/2019 07:30PM ET,CLE,16.53
SF/PF,OG Anunoby (13973718),OG Anunoby,13973718,UTIL,6200,CLE@TOR 12/16/2019 07:30PM ET,TOR,25.07
SG/SF,Jordan Clarkson (13973719),Jordan Clarkson,13973719,UTIL,5800,CLE@TOR 12/16/2019 07:30PM ET,CLE,22.95
SF/PF,Cedi Osman (13973756),Cedi Osman,13973756,CPT,5700,CLE@TOR 12/16/2019 07:30PM ET,CLE,19.42
PF/C,Larry Nance Jr. (13973720),Larry Nance Jr.,13973720,UTIL,5000,CLE@TOR 12/16/2019 07:30PM ET,CLE,23.46
PG,Darius Garland (13973721),Darius Garland,13973721,UTIL,4600,CLE@TOR 12/16/2019 07:30PM ET,CLE,18.31
SG/SF,Kevin Porter Jr. (13973722),Kevin Porter Jr.,13973722,UTIL,4200,CLE@TOR 12/16/2019 07:30PM ET,CLE,16.53
C,John Henson (13973757),John Henson,13973757,CPT,4200,CLE@TOR 12/16/2019 07:30PM ET,CLE,13.22
SF/PF,Cedi Osman (13973723),Cedi Osman,13973723,UTIL,3800,CLE@TOR 12/16/2019 07:30PM ET,CLE,19.42
PG/SG,Matthew Dellavedova (13973758),Matthew Dellavedova,13973758,CPT,3600,CLE@TOR 12/16/2019 07:30PM ET,CLE,8.33
SF/PF,Rondae Hollis-Jefferson (13973759),Rondae Hollis-Jefferson,13973759,CPT,3300,CLE@TOR 12/16/2019 07:30PM ET,TOR,18.64
PG/SG,Terence Davis (13973760),Terence Davis,13973760,CPT,3000,CLE@TOR 12/16/2019 07:30PM ET,TOR,14.17
