Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Trae Young (14334616),Trae Young,14334616,CPT,17100,DAL@ATL 02/22/2020 07:30PM ET,ATL,51.86
PG,Luka Doncic (14334617),Luka Doncic,14334617,CPT,16200,DAL@ATL 02/22/2020 07:30PM ET,DAL,57.46
PF,John Collins (14334618),John Collins,14334618,CPT,14400,DAL@ATL 02/22/2020 07:30PM ET,ATL,40.23
C,Kristaps Porzingis (14334619),Kristaps Porzingis,14334619,CPT,13500,DAL@ATL 02/22/2020 07:30PM ET,DAL,38.56
C,Clint Capela (14334620),Clint Capela,14334620,CPT,12300,DAL@ATL 02/22/2020 07:30PM ET,ATL,38.60
SG/SF,Tim Hardaway Jr. (14334621),Tim Hardaway Jr.,14334621,CPT,11700,DAL@ATL 02/22/2020 07:30PM ET,DAL,23.76
PG,Trae Young (14334583),Trae Young,14334583,UTIL,11400,DAL@ATL 02/22/2020 07:30PM ET,ATL,51.86
PG,Luka Doncic (14334584),Luka Doncic,14334584,UTIL,10800,DAL@ATL 02/22/2020 07:30PM ET,DAL,57.46
SG/SF,Kevin Huerter (14334622),Kevin Huerter,14334622,CPT,10800,DAL@ATL 02/22/2020 07:30PM ET,ATL,25.55
PF,John Collins (14334585),John Collins,14334585,UTIL,9600,DAL@ATL 02/22/2020 07:30PM ET,ATL,40.23
SG,Seth Curry (14334623),Seth Curry,14334623,CPT,9600,DAL@ATL 02/22/2020 07:30PM ET,DAL,19.24
C,Kristaps Porzingis (14334586),Kristaps Porzingis,14334586,UTIL,9000,DAL@ATL 02/22/2020 07:30PM ET,DAL,38.56
PG/SG,Jalen Brunson (14334624),Jalen Brunson,14334624,CPT,8700,DAL@ATL 02/22/2020 07:30PM ET,DAL,17.09
C,Clint Capela (14334587),Clint Capela,14334587,UTIL,8200,DAL@ATL 02/22/2020 07:30PM ET,ATL,38.60
C,Dewayne Dedmon (14334625),Dewayne Dedmon,14334625,CPT,8100,DAL@ATL 02/22/2020 07:30PM ET,ATL,15.05
SG/SF,Tim Hardaway Jr. (14334588),Tim Hardaway Jr.,14334588,UTIL,7800,DAL@ATL 02/22/2020 07:30PM ET,DAL,23.76
SF/PF,Dorian Finney-Smith (14334626),Dorian Finney-Smith,14334626,CPT,7800,DAL@ATL 02/22/2020 07:30PM ET,DAL,21.46
SG/SF,Kevin Huerter (14334589),Kevin Huerter,14334589,UTIL,7200,DAL@ATL 02/22/2020 07:30PM ET,ATL,25.55
SF/PF,De'Andre Hunter (14334627),De'Andre Hunter,14334627,CPT,7200,DAL@ATL 02/22/2020 07:30PM ET,ATL,22.19
SG/SF,Cam Reddish (14334628),Cam Reddish,14334628,CPT,6600,DAL@ATL 02/22/2020 07:30PM ET,ATL,19.29
SG,Seth Curry (14334590),Seth Curry,14334590,UTIL,6400,DAL@ATL 02/22/2020 07:30PM ET,DAL,19.24
PF/C,Maxi Kleber (14334629),Maxi Kleber,14334629,CPT,6300,DAL@ATL 02/22/2020 07:30PM ET,DAL,20.48
PG/SG,Delon Wright (14334630),Delon Wright,14334630,CPT,6000,DAL@ATL 02/22/2020 07:30PM ET,DAL,19.81
PG/SG,Jalen Brunson (14334591),Jalen Brunson,14334591,UTIL,5800,DAL@ATL 02/22/2020 07:30PM ET,DAL,17.09
PG/SG,Jeff Teague (14334631),Jeff Teague,14334631,CPT,5700,DAL@ATL 02/22/2020 07:30PM ET,ATL,24.65
C,Dewayne Dedmon (14334592),Dewayne Dedmon,14334592,UTIL,5400,DAL@ATL 02/22/2020 07:30PM ET,ATL,15.05
C,Willie Cauley-Stein (14334632),Willie Cauley-Stein,14334632,CPT,5400,DAL@ATL 02/22/2020 07:30PM ET,DAL,20.85
SF/PF,Dorian Finney-Smith (14334593),Dorian Finney-Smith,14334593,UTIL,5200,DAL@ATL 02/22/2020 07:30PM ET,DAL,21.46
SF/PF,De'Andre Hunter (14334594),De'Andre Hunter,14334594,UTIL,4800,DAL@ATL 02/22/2020 07:30PM ET,ATL,22.19
SG/SF,Cam Reddish (14334595),Cam Reddish,14334595,UTIL,4400,DAL@ATL 02/22/2020 07:30PM ET,ATL,19.29
PF/C,Maxi Kleber (14334596),Maxi Kleber,14334596,UTIL,4200,DAL@ATL 02/22/2020 07:30PM ET,DAL,20.48
PG/SG,Delon Wright (14334597),Delon Wright,14334597,UTIL,4000,DAL@ATL 02/22/2020 07:30PM ET,DAL,19.81
PG/SG,Jeff Teague (14334598),Jeff Teague,14334598,UTIL,3800,DAL@ATL 02/22/2020 07:30PM ET,ATL,24.65
C,Willie Cauley-Stein (14334599),Willie Cauley-Stein,14334599,UTIL,3600,DAL@ATL 02/22/2020 07:30PM ET,DAL,20.85
PG/SG,J.J. Barea (14334633),J.J. Barea,14334633,CPT,3600,DAL@ATL 02/22/2020 07:30PM ET,DAL,17.59
SG/SF,DeAndre' Bembry (14334634),DeAndre' Bembry,14334634,CPT,2700,DAL@ATL 02/22/2020 07:30PM ET,ATL,16.02
PG/SG,J.J. Barea (14334600),J.J. Barea,14334600,UTIL,2400,DAL@ATL 02/22/2020 07:30PM ET,DAL,17.59
C,Damian Jones (14334635),Damian Jones,14334635,CPT,2400,DAL@ATL 02/22/2020 07:30PM ET,ATL,13.83
SF/PF,Justin Jackson (14334636),Justin Jackson,14334636,CPT,2100,DAL@ATL 02/22/2020 07:30PM ET,DAL,10.68
SG/SF,DeAndre' Bembry (14334601),DeAndre' Bembry,14334601,UTIL,1800,DAL@ATL 02/22/2020 07:30PM ET,ATL,16.02
C,Bruno Fernando (14334637),Bruno Fernando,14334637,CPT,1800,DAL@ATL 02/22/2020 07:30PM ET,ATL,10.48
C,Damian Jones (14334602),Damian Jones,14334602,UTIL,1600,DAL@ATL 02/22/2020 07:30PM ET,ATL,13.83
C,Dwight Powell (14334638),Dwight Powell,14334638,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,DAL,21.19
C,Boban Marjanovic (14334639),Boban Marjanovic,14334639,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,DAL,12.84
PG,Brandon Goodwin (14334640),Brandon Goodwin,14334640,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,ATL,12.82
SF,Courtney Lee (14334641),Courtney Lee,14334641,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,DAL,6.77
PF,Michael Kidd-Gilchrist (14334642),Michael Kidd-Gilchrist,14334642,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,DAL,8.60
SF/PF,Vince Carter (14334643),Vince Carter,14334643,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,ATL,11.14
PF/C,Skal Labissiere (14334644),Skal Labissiere,14334644,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,ATL,15.97
SF,Treveon Graham (14334645),Treveon Graham,14334645,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,ATL,9.96
SG,Charlie Brown (14334646),Charlie Brown,14334646,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,ATL,3.6
SG,Antonius Cleveland (14334647),Antonius Cleveland,14334647,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,DAL,2.04
SG,Josh Reaves (14334648),Josh Reaves,14334648,CPT,1500,DAL@ATL 02/22/2020 07:30PM ET,DAL,0
SF/PF,Justin Jackson (14334603),Justin Jackson,14334603,UTIL,1400,DAL@ATL 02/22/2020 07:30PM ET,DAL,10.68
C,Bruno Fernando (14334604),Bruno Fernando,14334604,UTIL,1200,DAL@ATL 02/22/2020 07:30PM ET,ATL,10.48
C,Dwight Powell (14334605),Dwight Powell,14334605,UTIL,1000,DAL@ATL 02/22/2020 07:30PM ET,DAL,21.19
C,Boban Marjanovic (14334606),Boban Marjanovic,14334606,UTIL,1000,DAL@ATL 02/22/2020 07:30PM ET,DAL,12.84
PG,Brandon Goodwin (14334607),Brandon Goodwin,14334607,UTIL,1000,DAL@ATL 02/22/2020 07:30PM ET,ATL,12.82
