Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (14130637),Luka Doncic,14130637,CPT,22200,DAL@GS 01/14/2020 10:30PM ET,DAL,58.47
PG,Stephen Curry (14130638),Stephen Curry,14130638,CPT,15900,DAL@GS 01/14/2020 10:30PM ET,GS,39.38
PG/SG,D'Angelo Russell (14130639),D'Angelo Russell,14130639,CPT,15600,DAL@GS 01/14/2020 10:30PM ET,GS,39.62
PG/SF,Luka Doncic (14130605),Luka Doncic,14130605,UTIL,14800,DAL@GS 01/14/2020 10:30PM ET,DAL,58.47
PF/C,Kristaps Porzingis (14130640),Kristaps Porzingis,14130640,CPT,14700,DAL@GS 01/14/2020 10:30PM ET,DAL,37.39
PG/SF,Draymond Green (14130641),Draymond Green,14130641,CPT,12300,DAL@GS 01/14/2020 10:30PM ET,GS,29.37
C,Dwight Powell (14130642),Dwight Powell,14130642,CPT,11700,DAL@GS 01/14/2020 10:30PM ET,DAL,21.11
PF/C,Omari Spellman (14130643),Omari Spellman,14130643,CPT,11400,DAL@GS 01/14/2020 10:30PM ET,GS,17.91
PF/C,Maxi Kleber (14130644),Maxi Kleber,14130644,CPT,11100,DAL@GS 01/14/2020 10:30PM ET,DAL,20.11
PG,Stephen Curry (14130606),Stephen Curry,14130606,UTIL,10600,DAL@GS 01/14/2020 10:30PM ET,GS,39.38
PG/SG,Alec Burks (14130645),Alec Burks,14130645,CPT,10500,DAL@GS 01/14/2020 10:30PM ET,GS,29.14
PG/SG,D'Angelo Russell (14130607),D'Angelo Russell,14130607,UTIL,10400,DAL@GS 01/14/2020 10:30PM ET,GS,39.62
SG/SF,Damion Lee (14130646),Damion Lee,14130646,CPT,10200,DAL@GS 01/14/2020 10:30PM ET,GS,24.53
PF/C,Kristaps Porzingis (14130608),Kristaps Porzingis,14130608,UTIL,9800,DAL@GS 01/14/2020 10:30PM ET,DAL,37.39
SG/SF,Tim Hardaway Jr. (14130647),Tim Hardaway Jr.,14130647,CPT,9600,DAL@GS 01/14/2020 10:30PM ET,DAL,22.29
SF/PF,Dorian Finney-Smith (14130648),Dorian Finney-Smith,14130648,CPT,8700,DAL@GS 01/14/2020 10:30PM ET,DAL,20.75
PG/SG,Delon Wright (14130649),Delon Wright,14130649,CPT,8400,DAL@GS 01/14/2020 10:30PM ET,DAL,20.03
PG/SF,Draymond Green (14130609),Draymond Green,14130609,UTIL,8200,DAL@GS 01/14/2020 10:30PM ET,GS,29.37
C,Dwight Powell (14130610),Dwight Powell,14130610,UTIL,7800,DAL@GS 01/14/2020 10:30PM ET,DAL,21.11
SF/PF,Eric Paschall (14130650),Eric Paschall,14130650,CPT,7800,DAL@GS 01/14/2020 10:30PM ET,GS,23.04
PF/C,Omari Spellman (14130611),Omari Spellman,14130611,UTIL,7600,DAL@GS 01/14/2020 10:30PM ET,GS,17.91
SG/SF,Glenn Robinson III (14130651),Glenn Robinson III,14130651,CPT,7500,DAL@GS 01/14/2020 10:30PM ET,GS,22.96
PF/C,Maxi Kleber (14130612),Maxi Kleber,14130612,UTIL,7400,DAL@GS 01/14/2020 10:30PM ET,DAL,20.11
PG/SG,Alec Burks (14130613),Alec Burks,14130613,UTIL,7000,DAL@GS 01/14/2020 10:30PM ET,GS,29.14
SG/SF,Damion Lee (14130614),Damion Lee,14130614,UTIL,6800,DAL@GS 01/14/2020 10:30PM ET,GS,24.53
C,Willie Cauley-Stein (14130652),Willie Cauley-Stein,14130652,CPT,6600,DAL@GS 01/14/2020 10:30PM ET,GS,22.11
SG/SF,Tim Hardaway Jr. (14130615),Tim Hardaway Jr.,14130615,UTIL,6400,DAL@GS 01/14/2020 10:30PM ET,DAL,22.29
PG/SG,Seth Curry (14130653),Seth Curry,14130653,CPT,6300,DAL@GS 01/14/2020 10:30PM ET,DAL,17.12
SF/PF,Dorian Finney-Smith (14130616),Dorian Finney-Smith,14130616,UTIL,5800,DAL@GS 01/14/2020 10:30PM ET,DAL,20.75
