Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (14054081),Luka Doncic,14054081,CPT,19200,DAL@LAL 12/29/2019 09:30PM ET,DAL,58.88
PG/SF,LeBron James (14054082),LeBron James,14054082,CPT,17400,DAL@LAL 12/29/2019 09:30PM ET,LAL,55.83
PF/C,Anthony Davis (14054083),Anthony Davis,14054083,CPT,16200,DAL@LAL 12/29/2019 09:30PM ET,LAL,52.11
PF/C,Kristaps Porzingis (14054084),Kristaps Porzingis,14054084,CPT,14100,DAL@LAL 12/29/2019 09:30PM ET,DAL,37.82
PG/SF,Luka Doncic (14054047),Luka Doncic,14054047,UTIL,12800,DAL@LAL 12/29/2019 09:30PM ET,DAL,58.88
SG/SF,Tim Hardaway Jr. (14054085),Tim Hardaway Jr.,14054085,CPT,12300,DAL@LAL 12/29/2019 09:30PM ET,DAL,22.20
PG/SF,LeBron James (14054048),LeBron James,14054048,UTIL,11600,DAL@LAL 12/29/2019 09:30PM ET,LAL,55.83
PF/C,Maxi Kleber (14054086),Maxi Kleber,14054086,CPT,11400,DAL@LAL 12/29/2019 09:30PM ET,DAL,18.89
PF/C,Anthony Davis (14054049),Anthony Davis,14054049,UTIL,10800,DAL@LAL 12/29/2019 09:30PM ET,LAL,52.11
C,Dwight Powell (14054087),Dwight Powell,14054087,CPT,10200,DAL@LAL 12/29/2019 09:30PM ET,DAL,19.75
SF/PF,Kyle Kuzma (14054088),Kyle Kuzma,14054088,CPT,9600,DAL@LAL 12/29/2019 09:30PM ET,LAL,19.59
PF/C,Kristaps Porzingis (14054050),Kristaps Porzingis,14054050,UTIL,9400,DAL@LAL 12/29/2019 09:30PM ET,DAL,37.82
SF/PF,Dorian Finney-Smith (14054089),Dorian Finney-Smith,14054089,CPT,8700,DAL@LAL 12/29/2019 09:30PM ET,DAL,19.83
SG/SF,Tim Hardaway Jr. (14054051),Tim Hardaway Jr.,14054051,UTIL,8200,DAL@LAL 12/29/2019 09:30PM ET,DAL,22.20
PG,Rajon Rondo (14054090),Rajon Rondo,14054090,CPT,7800,DAL@LAL 12/29/2019 09:30PM ET,LAL,22.92
PF/C,Maxi Kleber (14054052),Maxi Kleber,14054052,UTIL,7600,DAL@LAL 12/29/2019 09:30PM ET,DAL,18.89
SG/SF,Kentavious Caldwell-Pope (14054091),Kentavious Caldwell-Pope,14054091,CPT,7500,DAL@LAL 12/29/2019 09:30PM ET,LAL,16.76
PG/SG,Jalen Brunson (14054092),Jalen Brunson,14054092,CPT,6900,DAL@LAL 12/29/2019 09:30PM ET,DAL,18.06
C,Dwight Powell (14054053),Dwight Powell,14054053,UTIL,6800,DAL@LAL 12/29/2019 09:30PM ET,DAL,19.75
PG/SG,Delon Wright (14054093),Delon Wright,14054093,CPT,6600,DAL@LAL 12/29/2019 09:30PM ET,DAL,20.61
SF/PF,Kyle Kuzma (14054054),Kyle Kuzma,14054054,UTIL,6400,DAL@LAL 12/29/2019 09:30PM ET,LAL,19.59
