Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Luka Doncic (14062831),Luka Doncic,14062831,CPT,19800,DAL@OKC 12/31/2019 08:00PM ET,DAL,58.04
PF/C,Kristaps Porzingis (14062832),Kristaps Porzingis,14062832,CPT,14100,DAL@OKC 12/31/2019 08:00PM ET,DAL,37.39
PG/SG,Luka Doncic (14062798),Luka Doncic,14062798,UTIL,13200,DAL@OKC 12/31/2019 08:00PM ET,DAL,58.04
PG,Chris Paul (14062833),Chris Paul,14062833,CPT,13200,DAL@OKC 12/31/2019 08:00PM ET,OKC,35.86
PG/SG,Shai Gilgeous-Alexander (14062834),Shai Gilgeous-Alexander,14062834,CPT,12900,DAL@OKC 12/31/2019 08:00PM ET,OKC,33.11
C,Steven Adams (14062835),Steven Adams,14062835,CPT,12600,DAL@OKC 12/31/2019 08:00PM ET,OKC,31.29
PG/SG,Dennis Schroder (14062836),Dennis Schroder,14062836,CPT,12300,DAL@OKC 12/31/2019 08:00PM ET,OKC,30.20
SF/PF,Danilo Gallinari (14062837),Danilo Gallinari,14062837,CPT,11700,DAL@OKC 12/31/2019 08:00PM ET,OKC,30.82
C,Dwight Powell (14062838),Dwight Powell,14062838,CPT,10800,DAL@OKC 12/31/2019 08:00PM ET,DAL,20.08
SG/SF,Tim Hardaway Jr. (14062839),Tim Hardaway Jr.,14062839,CPT,9900,DAL@OKC 12/31/2019 08:00PM ET,DAL,21.67
PF/C,Kristaps Porzingis (14062799),Kristaps Porzingis,14062799,UTIL,9400,DAL@OKC 12/31/2019 08:00PM ET,DAL,37.39
PG,Chris Paul (14062800),Chris Paul,14062800,UTIL,8800,DAL@OKC 12/31/2019 08:00PM ET,OKC,35.86
SF/PF,Dorian Finney-Smith (14062840),Dorian Finney-Smith,14062840,CPT,8700,DAL@OKC 12/31/2019 08:00PM ET,DAL,20.12
PG/SG,Shai Gilgeous-Alexander (14062801),Shai Gilgeous-Alexander,14062801,UTIL,8600,DAL@OKC 12/31/2019 08:00PM ET,OKC,33.11
C,Steven Adams (14062802),Steven Adams,14062802,UTIL,8400,DAL@OKC 12/31/2019 08:00PM ET,OKC,31.29
PG/SG,Dennis Schroder (14062803),Dennis Schroder,14062803,UTIL,8200,DAL@OKC 12/31/2019 08:00PM ET,OKC,30.20
PG/SG,Delon Wright (14062841),Delon Wright,14062841,CPT,8100,DAL@OKC 12/31/2019 08:00PM ET,DAL,20.89
SF/PF,Danilo Gallinari (14062804),Danilo Gallinari,14062804,UTIL,7800,DAL@OKC 12/31/2019 08:00PM ET,OKC,30.82
C,Nerlens Noel (14062842),Nerlens Noel,14062842,CPT,7500,DAL@OKC 12/31/2019 08:00PM ET,OKC,20.52
C,Dwight Powell (14062805),Dwight Powell,14062805,UTIL,7200,DAL@OKC 12/31/2019 08:00PM ET,DAL,20.08
SF/PF,Darius Bazley (14062843),Darius Bazley,14062843,CPT,7200,DAL@OKC 12/31/2019 08:00PM ET,OKC,11.41
SG/SF,Tim Hardaway Jr. (14062806),Tim Hardaway Jr.,14062806,UTIL,6600,DAL@OKC 12/31/2019 08:00PM ET,DAL,21.67
PG/SG,Seth Curry (14062844),Seth Curry,14062844,CPT,6600,DAL@OKC 12/31/2019 08:00PM ET,DAL,16.49
SG/SF,Hamidou Diallo (14062845),Hamidou Diallo,14062845,CPT,6300,DAL@OKC 12/31/2019 08:00PM ET,OKC,18.08
SF/PF,Dorian Finney-Smith (14062807),Dorian Finney-Smith,14062807,UTIL,5800,DAL@OKC 12/31/2019 08:00PM ET,DAL,20.12
PF/C,Maxi Kleber (14062846),Maxi Kleber,14062846,CPT,5700,DAL@OKC 12/31/2019 08:00PM ET,DAL,18.52
PG/SG,Delon Wright (14062808),Delon Wright,14062808,UTIL,5400,DAL@OKC 12/31/2019 08:00PM ET,DAL,20.89
PG/SG,Jalen Brunson (14062847),Jalen Brunson,14062847,CPT,5400,DAL@OKC 12/31/2019 08:00PM ET,DAL,17.57
C,Nerlens Noel (14062809),Nerlens Noel,14062809,UTIL,5000,DAL@OKC 12/31/2019 08:00PM ET,OKC,20.52
SF/PF,Darius Bazley (14062810),Darius Bazley,14062810,UTIL,4800,DAL@OKC 12/31/2019 08:00PM ET,OKC,11.41
PG/SG,J.J. Barea (14062848),J.J. Barea,14062848,CPT,4800,DAL@OKC 12/31/2019 08:00PM ET,DAL,16.69
PG/SG,Seth Curry (14062811),Seth Curry,14062811,UTIL,4400,DAL@OKC 12/31/2019 08:00PM ET,DAL,16.49
SG/SF,Hamidou Diallo (14062812),Hamidou Diallo,14062812,UTIL,4200,DAL@OKC 12/31/2019 08:00PM ET,OKC,18.08
PF/C,Maxi Kleber (14062813),Maxi Kleber,14062813,UTIL,3800,DAL@OKC 12/31/2019 08:00PM ET,DAL,18.52
PG/SG,Jalen Brunson (14062814),Jalen Brunson,14062814,UTIL,3600,DAL@OKC 12/31/2019 08:00PM ET,DAL,17.57
SF,Abdel Nader (14062849),Abdel Nader,14062849,CPT,3600,DAL@OKC 12/31/2019 08:00PM ET,OKC,11.8
PG/SG,J.J. Barea (14062815),J.J. Barea,14062815,UTIL,3200,DAL@OKC 12/31/2019 08:00PM ET,DAL,16.69
SG/SF,Terrance Ferguson (14062850),Terrance Ferguson,14062850,CPT,3000,DAL@OKC 12/31/2019 08:00PM ET,OKC,10.83
SF,Abdel Nader (14062816),Abdel Nader,14062816,UTIL,2400,DAL@OKC 12/31/2019 08:00PM ET,OKC,11.8
SG/SF,Ryan Broekhoff (14062851),Ryan Broekhoff,14062851,CPT,2100,DAL@OKC 12/31/2019 08:00PM ET,DAL,7.05
SG/SF,Terrance Ferguson (14062817),Terrance Ferguson,14062817,UTIL,2000,DAL@OKC 12/31/2019 08:00PM ET,OKC,10.83
SF/PF,Justin Jackson (14062852),Justin Jackson,14062852,CPT,1800,DAL@OKC 12/31/2019 08:00PM ET,DAL,10.76
PG,Luguentz Dort (14062854),Luguentz Dort,14062854,CPT,1800,DAL@OKC 12/31/2019 08:00PM ET,OKC,6.14
SF/PF,Kevin Hervey (14062853),Kevin Hervey,14062853,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,OKC,2
PF/C,Mike Muscala (14062855),Mike Muscala,14062855,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,OKC,7.35
C,Justin Patton (14062856),Justin Patton,14062856,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,OKC,2
C,Boban Marjanovic (14062857),Boban Marjanovic,14062857,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,DAL,11.93
SG/SF,Deonte Burton (14062858),Deonte Burton,14062858,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,OKC,5.06
SG/SF,Courtney Lee (14062859),Courtney Lee,14062859,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,DAL,5.97
SF/PF,Isaiah Roby (14062860),Isaiah Roby,14062860,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,DAL,0
SG,Josh Reaves (14062861),Josh Reaves,14062861,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,DAL,0
SG,Antonius Cleveland (14062862),Antonius Cleveland,14062862,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,DAL,0
SG/SF,Andre Roberson (14062863),Andre Roberson,14062863,CPT,1500,DAL@OKC 12/31/2019 08:00PM ET,OKC,0
SG/SF,Ryan Broekhoff (14062818),Ryan Broekhoff,14062818,UTIL,1400,DAL@OKC 12/31/2019 08:00PM ET,DAL,7.05
SF/PF,Justin Jackson (14062819),Justin Jackson,14062819,UTIL,1200,DAL@OKC 12/31/2019 08:00PM ET,DAL,10.76
PG,Luguentz Dort (14062821),Luguentz Dort,14062821,UTIL,1200,DAL@OKC 12/31/2019 08:00PM ET,OKC,6.14
SF/PF,Kevin Hervey (14062820),Kevin Hervey,14062820,UTIL,1000,DAL@OKC 12/31/2019 08:00PM ET,OKC,2
PF/C,Mike Muscala (14062822),Mike Muscala,14062822,UTIL,1000,DAL@OKC 12/31/2019 08:00PM ET,OKC,7.35
