Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (14005840),Luka Doncic,14005840,CPT,21900,DAL@PHI 12/20/2019 08:00PM ET,DAL,58.43
C,Joel Embiid (14005841),Joel Embiid,14005841,CPT,18600,DAL@PHI 12/20/2019 08:00PM ET,PHI,48.02
PF/C,Kristaps Porzingis (14005842),Kristaps Porzingis,14005842,CPT,16200,DAL@PHI 12/20/2019 08:00PM ET,DAL,37.14
PG/SF,Ben Simmons (14005843),Ben Simmons,14005843,CPT,15300,DAL@PHI 12/20/2019 08:00PM ET,PHI,39.68
PG/SF,Luka Doncic (14005806),Luka Doncic,14005806,UTIL,14600,DAL@PHI 12/20/2019 08:00PM ET,DAL,58.43
SF/PF,Tobias Harris (14005844),Tobias Harris,14005844,CPT,14100,DAL@PHI 12/20/2019 08:00PM ET,PHI,36.24
PG/SG,Jalen Brunson (14005845),Jalen Brunson,14005845,CPT,12900,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.53
PF/C,Al Horford (14005846),Al Horford,14005846,CPT,12600,DAL@PHI 12/20/2019 08:00PM ET,PHI,32.46
C,Joel Embiid (14005807),Joel Embiid,14005807,UTIL,12400,DAL@PHI 12/20/2019 08:00PM ET,PHI,48.02
SG/SF,Josh Richardson (14005847),Josh Richardson,14005847,CPT,11400,DAL@PHI 12/20/2019 08:00PM ET,PHI,27
PF/C,Kristaps Porzingis (14005808),Kristaps Porzingis,14005808,UTIL,10800,DAL@PHI 12/20/2019 08:00PM ET,DAL,37.14
SG/SF,Tim Hardaway Jr. (14005848),Tim Hardaway Jr.,14005848,CPT,10800,DAL@PHI 12/20/2019 08:00PM ET,DAL,20.85
PG/SF,Ben Simmons (14005809),Ben Simmons,14005809,UTIL,10200,DAL@PHI 12/20/2019 08:00PM ET,PHI,39.68
PG/SG,Seth Curry (14005849),Seth Curry,14005849,CPT,9600,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.59
SF/PF,Tobias Harris (14005810),Tobias Harris,14005810,UTIL,9400,DAL@PHI 12/20/2019 08:00PM ET,PHI,36.24
PG/SG,Jalen Brunson (14005811),Jalen Brunson,14005811,UTIL,8600,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.53
PF/C,Al Horford (14005812),Al Horford,14005812,UTIL,8400,DAL@PHI 12/20/2019 08:00PM ET,PHI,32.46
SF/PF,Dorian Finney-Smith (14005850),Dorian Finney-Smith,14005850,CPT,7800,DAL@PHI 12/20/2019 08:00PM ET,DAL,19.26
SG/SF,Josh Richardson (14005813),Josh Richardson,14005813,UTIL,7600,DAL@PHI 12/20/2019 08:00PM ET,PHI,27
SG/SF,Tim Hardaway Jr. (14005814),Tim Hardaway Jr.,14005814,UTIL,7200,DAL@PHI 12/20/2019 08:00PM ET,DAL,20.85
C,Dwight Powell (14005851),Dwight Powell,14005851,CPT,6600,DAL@PHI 12/20/2019 08:00PM ET,DAL,18.45
PG/SG,Seth Curry (14005815),Seth Curry,14005815,UTIL,6400,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.59
PG/SG,Delon Wright (14005852),Delon Wright,14005852,CPT,6300,DAL@PHI 12/20/2019 08:00PM ET,DAL,19.59
PF/C,Maxi Kleber (14005853),Maxi Kleber,14005853,CPT,5700,DAL@PHI 12/20/2019 08:00PM ET,DAL,18.82
SF/PF,Dorian Finney-Smith (14005816),Dorian Finney-Smith,14005816,UTIL,5200,DAL@PHI 12/20/2019 08:00PM ET,DAL,19.26
C,Dwight Powell (14005817),Dwight Powell,14005817,UTIL,4400,DAL@PHI 12/20/2019 08:00PM ET,DAL,18.45
PG/SG,Delon Wright (14005818),Delon Wright,14005818,UTIL,4200,DAL@PHI 12/20/2019 08:00PM ET,DAL,19.59
C,Norvel Pelle (14005854),Norvel Pelle,14005854,CPT,4200,DAL@PHI 12/20/2019 08:00PM ET,PHI,15.19
SF/PF,Mike Scott (14005855),Mike Scott,14005855,CPT,3900,DAL@PHI 12/20/2019 08:00PM ET,PHI,12.82
PF/C,Maxi Kleber (14005819),Maxi Kleber,14005819,UTIL,3800,DAL@PHI 12/20/2019 08:00PM ET,DAL,18.82
PG/SG,J.J. Barea (14005856),J.J. Barea,14005856,CPT,3600,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.36
SF/PF,James Ennis III (14005857),James Ennis III,14005857,CPT,3300,DAL@PHI 12/20/2019 08:00PM ET,PHI,14.17
PG,Raul Neto (14005858),Raul Neto,14005858,CPT,3000,DAL@PHI 12/20/2019 08:00PM ET,PHI,8.97
C,Norvel Pelle (14005820),Norvel Pelle,14005820,UTIL,2800,DAL@PHI 12/20/2019 08:00PM ET,PHI,15.19
SF/PF,Mike Scott (14005821),Mike Scott,14005821,UTIL,2600,DAL@PHI 12/20/2019 08:00PM ET,PHI,12.82
PG/SG,J.J. Barea (14005822),J.J. Barea,14005822,UTIL,2400,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.36
SG/SF,Matisse Thybulle (14005859),Matisse Thybulle,14005859,CPT,2400,DAL@PHI 12/20/2019 08:00PM ET,PHI,12.71
SF/PF,James Ennis III (14005823),James Ennis III,14005823,UTIL,2200,DAL@PHI 12/20/2019 08:00PM ET,PHI,14.17
SG/SF,Furkan Korkmaz (14005860),Furkan Korkmaz,14005860,CPT,2100,DAL@PHI 12/20/2019 08:00PM ET,PHI,13.51
PG,Raul Neto (14005824),Raul Neto,14005824,UTIL,2000,DAL@PHI 12/20/2019 08:00PM ET,PHI,8.97
PG/SG,Shake Milton (14005861),Shake Milton,14005861,CPT,1800,DAL@PHI 12/20/2019 08:00PM ET,PHI,5.94
PG/SG,Trey Burke (14005862),Trey Burke,14005862,CPT,1800,DAL@PHI 12/20/2019 08:00PM ET,PHI,15.12
