Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (14172795),Luka Doncic,14172795,CPT,20700,DAL@POR 01/23/2020 10:30PM ET,DAL,58.43
PG,Damian Lillard (14172796),Damian Lillard,14172796,CPT,17100,DAL@POR 01/23/2020 10:30PM ET,POR,47.85
C,Hassan Whiteside (14172797),Hassan Whiteside,14172797,CPT,15300,DAL@POR 01/23/2020 10:30PM ET,POR,42.06
PF/C,Kristaps Porzingis (14172798),Kristaps Porzingis,14172798,CPT,14100,DAL@POR 01/23/2020 10:30PM ET,DAL,37.04
PG,Luka Doncic (14172761),Luka Doncic,14172761,UTIL,13800,DAL@POR 01/23/2020 10:30PM ET,DAL,58.43
PG/SG,CJ McCollum (14172799),CJ McCollum,14172799,CPT,12900,DAL@POR 01/23/2020 10:30PM ET,POR,35.56
PF,Carmelo Anthony (14172800),Carmelo Anthony,14172800,CPT,11700,DAL@POR 01/23/2020 10:30PM ET,POR,29.08
PG,Damian Lillard (14172762),Damian Lillard,14172762,UTIL,11400,DAL@POR 01/23/2020 10:30PM ET,POR,47.85
PF/C,Maxi Kleber (14172801),Maxi Kleber,14172801,CPT,10800,DAL@POR 01/23/2020 10:30PM ET,DAL,20.32
C,Hassan Whiteside (14172763),Hassan Whiteside,14172763,UTIL,10200,DAL@POR 01/23/2020 10:30PM ET,POR,42.06
C,Jusuf Nurkic (14172802),Jusuf Nurkic,14172802,CPT,9600,DAL@POR 01/23/2020 10:30PM ET,POR,0
PF/C,Kristaps Porzingis (14172764),Kristaps Porzingis,14172764,UTIL,9400,DAL@POR 01/23/2020 10:30PM ET,DAL,37.04
PG/SG,CJ McCollum (14172765),CJ McCollum,14172765,UTIL,8600,DAL@POR 01/23/2020 10:30PM ET,POR,35.56
SG/SF,Tim Hardaway Jr. (14172803),Tim Hardaway Jr.,14172803,CPT,8400,DAL@POR 01/23/2020 10:30PM ET,DAL,22.91
PF,Carmelo Anthony (14172766),Carmelo Anthony,14172766,UTIL,7800,DAL@POR 01/23/2020 10:30PM ET,POR,29.08
SF/PF,Dorian Finney-Smith (14172804),Dorian Finney-Smith,14172804,CPT,7800,DAL@POR 01/23/2020 10:30PM ET,DAL,20.74
PG/SG,Anfernee Simons (14172805),Anfernee Simons,14172805,CPT,7500,DAL@POR 01/23/2020 10:30PM ET,POR,16.13
PF/C,Maxi Kleber (14172767),Maxi Kleber,14172767,UTIL,7200,DAL@POR 01/23/2020 10:30PM ET,DAL,20.32
PG/SG,Delon Wright (14172806),Delon Wright,14172806,CPT,7200,DAL@POR 01/23/2020 10:30PM ET,DAL,19.63
C,Jusuf Nurkic (14172768),Jusuf Nurkic,14172768,UTIL,6400,DAL@POR 01/23/2020 10:30PM ET,POR,0
C,Boban Marjanovic (14172807),Boban Marjanovic,14172807,CPT,6300,DAL@POR 01/23/2020 10:30PM ET,DAL,14.05
SG/SF,Tim Hardaway Jr. (14172769),Tim Hardaway Jr.,14172769,UTIL,5600,DAL@POR 01/23/2020 10:30PM ET,DAL,22.91
SF/PF,Trevor Ariza (14172808),Trevor Ariza,14172808,CPT,5400,DAL@POR 01/23/2020 10:30PM ET,POR,16.97
SF/PF,Dorian Finney-Smith (14172770),Dorian Finney-Smith,14172770,UTIL,5200,DAL@POR 01/23/2020 10:30PM ET,DAL,20.74
SG/SF,Gary Trent Jr. (14172809),Gary Trent Jr.,14172809,CPT,5100,DAL@POR 01/23/2020 10:30PM ET,POR,9.90
PG/SG,Anfernee Simons (14172771),Anfernee Simons,14172771,UTIL,5000,DAL@POR 01/23/2020 10:30PM ET,POR,16.13
PG/SG,Delon Wright (14172772),Delon Wright,14172772,UTIL,4800,DAL@POR 01/23/2020 10:30PM ET,DAL,19.63
PG/SG,J.J. Barea (14172810),J.J. Barea,14172810,CPT,4800,DAL@POR 01/23/2020 10:30PM ET,DAL,16.54
SG,Seth Curry (14172811),Seth Curry,14172811,CPT,4500,DAL@POR 01/23/2020 10:30PM ET,DAL,17.35
C,Boban Marjanovic (14172773),Boban Marjanovic,14172773,UTIL,4200,DAL@POR 01/23/2020 10:30PM ET,DAL,14.05
PG/SG,Jalen Brunson (14172812),Jalen Brunson,14172812,CPT,4200,DAL@POR 01/23/2020 10:30PM ET,DAL,15.99
PF/C,Zach Collins (14172813),Zach Collins,14172813,CPT,3900,DAL@POR 01/23/2020 10:30PM ET,POR,17.83
SF/PF,Trevor Ariza (14172774),Trevor Ariza,14172774,UTIL,3600,DAL@POR 01/23/2020 10:30PM ET,POR,16.97
SG/SF,Gary Trent Jr. (14172775),Gary Trent Jr.,14172775,UTIL,3400,DAL@POR 01/23/2020 10:30PM ET,POR,9.90
SF/PF,Mario Hezonja (14172814),Mario Hezonja,14172814,CPT,3300,DAL@POR 01/23/2020 10:30PM ET,POR,11.99
PG/SG,J.J. Barea (14172776),J.J. Barea,14172776,UTIL,3200,DAL@POR 01/23/2020 10:30PM ET,DAL,16.54
SG,Seth Curry (14172777),Seth Curry,14172777,UTIL,3000,DAL@POR 01/23/2020 10:30PM ET,DAL,17.35
PG/SG,Jalen Brunson (14172778),Jalen Brunson,14172778,UTIL,2800,DAL@POR 01/23/2020 10:30PM ET,DAL,15.99
PF/C,Zach Collins (14172779),Zach Collins,14172779,UTIL,2600,DAL@POR 01/23/2020 10:30PM ET,POR,17.83
SF/PF,Mario Hezonja (14172780),Mario Hezonja,14172780,UTIL,2200,DAL@POR 01/23/2020 10:30PM ET,POR,11.99
SF/PF,Jaylen Hoard (14172815),Jaylen Hoard,14172815,CPT,2100,DAL@POR 01/23/2020 10:30PM ET,POR,6.96
SF/PF,Nassir Little (14172816),Nassir Little,14172816,CPT,1800,DAL@POR 01/23/2020 10:30PM ET,POR,8.69
SG/SF,Ryan Broekhoff (14172817),Ryan Broekhoff,14172817,CPT,1800,DAL@POR 01/23/2020 10:30PM ET,DAL,7.05
SG,Rodney Hood (14172818),Rodney Hood,14172818,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,POR,19.90
C,Dwight Powell (14172819),Dwight Powell,14172819,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,DAL,21.19
SG,Antonius Cleveland (14172820),Antonius Cleveland,14172820,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,DAL,2.42
PF,Wenyen Gabriel (14172821),Wenyen Gabriel,14172821,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,POR,4
SF,Courtney Lee (14172822),Courtney Lee,14172822,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,DAL,5.02
C,Skal Labissiere (14172823),Skal Labissiere,14172823,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,POR,15.97
C,Caleb Swanigan (14172824),Caleb Swanigan,14172824,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,POR,2.82
C,Moses Brown (14172825),Moses Brown,14172825,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,POR,3.46
SF/PF,Justin Jackson (14172826),Justin Jackson,14172826,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,DAL,11.07
SG,Josh Reaves (14172827),Josh Reaves,14172827,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,DAL,0
SF/PF,Isaiah Roby (14172828),Isaiah Roby,14172828,CPT,1500,DAL@POR 01/23/2020 10:30PM ET,DAL,0
SF/PF,Jaylen Hoard (14172781),Jaylen Hoard,14172781,UTIL,1400,DAL@POR 01/23/2020 10:30PM ET,POR,6.96
SF/PF,Nassir Little (14172782),Nassir Little,14172782,UTIL,1200,DAL@POR 01/23/2020 10:30PM ET,POR,8.69
SG/SF,Ryan Broekhoff (14172783),Ryan Broekhoff,14172783,UTIL,1200,DAL@POR 01/23/2020 10:30PM ET,DAL,7.05
SG,Rodney Hood (14172784),Rodney Hood,14172784,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,POR,19.90
C,Dwight Powell (14172785),Dwight Powell,14172785,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,DAL,21.19
SG,Antonius Cleveland (14172786),Antonius Cleveland,14172786,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,DAL,2.42
PF,Wenyen Gabriel (14172787),Wenyen Gabriel,14172787,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,POR,4
SF,Courtney Lee (14172788),Courtney Lee,14172788,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,DAL,5.02
C,Skal Labissiere (14172789),Skal Labissiere,14172789,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,POR,15.97
C,Caleb Swanigan (14172790),Caleb Swanigan,14172790,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,POR,2.82
C,Moses Brown (14172791),Moses Brown,14172791,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,POR,3.46
SF/PF,Justin Jackson (14172792),Justin Jackson,14172792,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,DAL,11.07
SG,Josh Reaves (14172793),Josh Reaves,14172793,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,DAL,0
SF/PF,Isaiah Roby (14172794),Isaiah Roby,14172794,UTIL,1000,DAL@POR 01/23/2020 10:30PM ET,DAL,0
