Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (14016764),Luka Doncic,14016764,CPT,16800,DAL@TOR 12/22/2019 03:30PM ET,DAL,58.43
PF/C,Pascal Siakam (14016765),Pascal Siakam,14016765,CPT,14700,DAL@TOR 12/22/2019 03:30PM ET,TOR,44.77
PF/C,Kristaps Porzingis (14016766),Kristaps Porzingis,14016766,CPT,13800,DAL@TOR 12/22/2019 03:30PM ET,DAL,37.76
PG,Kyle Lowry (14016767),Kyle Lowry,14016767,CPT,12900,DAL@TOR 12/22/2019 03:30PM ET,TOR,40.21
PG/SG,Fred VanVleet (14016768),Fred VanVleet,14016768,CPT,12300,DAL@TOR 12/22/2019 03:30PM ET,TOR,38.04
PF/C,Serge Ibaka (14016769),Serge Ibaka,14016769,CPT,11700,DAL@TOR 12/22/2019 03:30PM ET,TOR,27.89
PG/SF,Luka Doncic (14016730),Luka Doncic,14016730,UTIL,11200,DAL@TOR 12/22/2019 03:30PM ET,DAL,58.43
PG/SG,Jalen Brunson (14016770),Jalen Brunson,14016770,CPT,10500,DAL@TOR 12/22/2019 03:30PM ET,DAL,17.91
SG/SF,Norman Powell (14016771),Norman Powell,14016771,CPT,9900,DAL@TOR 12/22/2019 03:30PM ET,TOR,24.97
PF/C,Pascal Siakam (14016731),Pascal Siakam,14016731,UTIL,9800,DAL@TOR 12/22/2019 03:30PM ET,TOR,44.77
SG/SF,Tim Hardaway Jr. (14016772),Tim Hardaway Jr.,14016772,CPT,9600,DAL@TOR 12/22/2019 03:30PM ET,DAL,21.48
PF/C,Kristaps Porzingis (14016732),Kristaps Porzingis,14016732,UTIL,9200,DAL@TOR 12/22/2019 03:30PM ET,DAL,37.76
SF/PF,OG Anunoby (14016773),OG Anunoby,14016773,CPT,9000,DAL@TOR 12/22/2019 03:30PM ET,TOR,25.69
PG,Kyle Lowry (14016733),Kyle Lowry,14016733,UTIL,8600,DAL@TOR 12/22/2019 03:30PM ET,TOR,40.21
C,Marc Gasol (14016774),Marc Gasol,14016774,CPT,8400,DAL@TOR 12/22/2019 03:30PM ET,TOR,23.93
PG/SG,Fred VanVleet (14016734),Fred VanVleet,14016734,UTIL,8200,DAL@TOR 12/22/2019 03:30PM ET,TOR,38.04
PF/C,Serge Ibaka (14016735),Serge Ibaka,14016735,UTIL,7800,DAL@TOR 12/22/2019 03:30PM ET,TOR,27.89
PG/SG,Seth Curry (14016775),Seth Curry,14016775,CPT,7500,DAL@TOR 12/22/2019 03:30PM ET,DAL,17.38
PG/SG,Jalen Brunson (14016736),Jalen Brunson,14016736,UTIL,7000,DAL@TOR 12/22/2019 03:30PM ET,DAL,17.91
SF/PF,Dorian Finney-Smith (14016776),Dorian Finney-Smith,14016776,CPT,6900,DAL@TOR 12/22/2019 03:30PM ET,DAL,19.55
SG/SF,Norman Powell (14016737),Norman Powell,14016737,UTIL,6600,DAL@TOR 12/22/2019 03:30PM ET,TOR,24.97
SG/SF,Tim Hardaway Jr. (14016738),Tim Hardaway Jr.,14016738,UTIL,6400,DAL@TOR 12/22/2019 03:30PM ET,DAL,21.48
PG/SG,Delon Wright (14016777),Delon Wright,14016777,CPT,6300,DAL@TOR 12/22/2019 03:30PM ET,DAL,20
SF/PF,OG Anunoby (14016739),OG Anunoby,14016739,UTIL,6000,DAL@TOR 12/22/2019 03:30PM ET,TOR,25.69
SF/PF,Rondae Hollis-Jefferson (14016778),Rondae Hollis-Jefferson,14016778,CPT,6000,DAL@TOR 12/22/2019 03:30PM ET,TOR,18.69
PG/SG,Terence Davis (14016779),Terence Davis,14016779,CPT,5700,DAL@TOR 12/22/2019 03:30PM ET,TOR,13.93
C,Marc Gasol (14016740),Marc Gasol,14016740,UTIL,5600,DAL@TOR 12/22/2019 03:30PM ET,TOR,23.93
PG/SF,Patrick McCaw (14016780),Patrick McCaw,14016780,CPT,5400,DAL@TOR 12/22/2019 03:30PM ET,TOR,10.39
C,Dwight Powell (14016781),Dwight Powell,14016781,CPT,5100,DAL@TOR 12/22/2019 03:30PM ET,DAL,18.54
PG/SG,Seth Curry (14016741),Seth Curry,14016741,UTIL,5000,DAL@TOR 12/22/2019 03:30PM ET,DAL,17.38
PF/C,Maxi Kleber (14016782),Maxi Kleber,14016782,CPT,4800,DAL@TOR 12/22/2019 03:30PM ET,DAL,18.78
SF/PF,Dorian Finney-Smith (14016742),Dorian Finney-Smith,14016742,UTIL,4600,DAL@TOR 12/22/2019 03:30PM ET,DAL,19.55
PG/SG,Delon Wright (14016743),Delon Wright,14016743,UTIL,4200,DAL@TOR 12/22/2019 03:30PM ET,DAL,20
SF/PF,Rondae Hollis-Jefferson (14016744),Rondae Hollis-Jefferson,14016744,UTIL,4000,DAL@TOR 12/22/2019 03:30PM ET,TOR,18.69
PG/SG,Terence Davis (14016745),Terence Davis,14016745,UTIL,3800,DAL@TOR 12/22/2019 03:30PM ET,TOR,13.93
PG/SF,Patrick McCaw (14016746),Patrick McCaw,14016746,UTIL,3600,DAL@TOR 12/22/2019 03:30PM ET,TOR,10.39
PG/SG,J.J. Barea (14016783),J.J. Barea,14016783,CPT,3600,DAL@TOR 12/22/2019 03:30PM ET,DAL,17.36
C,Dwight Powell (14016747),Dwight Powell,14016747,UTIL,3400,DAL@TOR 12/22/2019 03:30PM ET,DAL,18.54
PF/C,Chris Boucher (14016784),Chris Boucher,14016784,CPT,3300,DAL@TOR 12/22/2019 03:30PM ET,TOR,12.75
PF/C,Maxi Kleber (14016748),Maxi Kleber,14016748,UTIL,3200,DAL@TOR 12/22/2019 03:30PM ET,DAL,18.78
SG/SF,Ryan Broekhoff (14016785),Ryan Broekhoff,14016785,CPT,2700,DAL@TOR 12/22/2019 03:30PM ET,DAL,6.29
PG/SG,J.J. Barea (14016749),J.J. Barea,14016749,UTIL,2400,DAL@TOR 12/22/2019 03:30PM ET,DAL,17.36
SG,Matt Thomas (14016786),Matt Thomas,14016786,CPT,2400,DAL@TOR 12/22/2019 03:30PM ET,TOR,7.69
PF/C,Chris Boucher (14016750),Chris Boucher,14016750,UTIL,2200,DAL@TOR 12/22/2019 03:30PM ET,TOR,12.75
SF/PF,Stanley Johnson (14016787),Stanley Johnson,14016787,CPT,2100,DAL@TOR 12/22/2019 03:30PM ET,TOR,3.25
SG/SF,Ryan Broekhoff (14016751),Ryan Broekhoff,14016751,UTIL,1800,DAL@TOR 12/22/2019 03:30PM ET,DAL,6.29
SG,Josh Reaves (14016788),Josh Reaves,14016788,CPT,1800,DAL@TOR 12/22/2019 03:30PM ET,DAL,0
SG,Matt Thomas (14016752),Matt Thomas,14016752,UTIL,1600,DAL@TOR 12/22/2019 03:30PM ET,TOR,7.69
PF/C,Dewan Hernandez (14016789),Dewan Hernandez,14016789,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,TOR,3.56
SG/SF,Malcolm Miller (14016790),Malcolm Miller,14016790,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,TOR,2.93
C,Boban Marjanovic (14016791),Boban Marjanovic,14016791,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,DAL,14.73
SF/PF,Oshae Brissett (14016792),Oshae Brissett,14016792,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,TOR,1.45
SF/PF,Justin Jackson (14016793),Justin Jackson,14016793,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,DAL,10.66
PG,Shamorie Ponds (14016794),Shamorie Ponds,14016794,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,TOR,3.42
SG/SF,Courtney Lee (14016795),Courtney Lee,14016795,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,DAL,5.97
SF/PF,Isaiah Roby (14016796),Isaiah Roby,14016796,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,DAL,0
SG,Antonius Cleveland (14016797),Antonius Cleveland,14016797,CPT,1500,DAL@TOR 12/22/2019 03:30PM ET,DAL,0
SF/PF,Stanley Johnson (14016753),Stanley Johnson,14016753,UTIL,1400,DAL@TOR 12/22/2019 03:30PM ET,TOR,3.25
SG,Josh Reaves (14016754),Josh Reaves,14016754,UTIL,1200,DAL@TOR 12/22/2019 03:30PM ET,DAL,0
PF/C,Dewan Hernandez (14016755),Dewan Hernandez,14016755,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,TOR,3.56
SG/SF,Malcolm Miller (14016756),Malcolm Miller,14016756,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,TOR,2.93
C,Boban Marjanovic (14016757),Boban Marjanovic,14016757,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,DAL,14.73
SF/PF,Oshae Brissett (14016758),Oshae Brissett,14016758,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,TOR,1.45
SF/PF,Justin Jackson (14016759),Justin Jackson,14016759,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,DAL,10.66
PG,Shamorie Ponds (14016760),Shamorie Ponds,14016760,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,TOR,3.42
SG/SF,Courtney Lee (14016761),Courtney Lee,14016761,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,DAL,5.97
SF/PF,Isaiah Roby (14016762),Isaiah Roby,14016762,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,DAL,0
SG,Antonius Cleveland (14016763),Antonius Cleveland,14016763,UTIL,1000,DAL@TOR 12/22/2019 03:30PM ET,DAL,0
