Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (14184012),Luka Doncic,14184012,CPT,20400,DAL@UTA 01/25/2020 05:00PM ET,DAL,58.26
C,Rudy Gobert (14184013),Rudy Gobert,14184013,CPT,15600,DAL@UTA 01/25/2020 05:00PM ET,UTA,41.79
PF/C,Kristaps Porzingis (14184014),Kristaps Porzingis,14184014,CPT,14400,DAL@UTA 01/25/2020 05:00PM ET,DAL,36.97
PG,Luka Doncic (14183978),Luka Doncic,14183978,UTIL,13600,DAL@UTA 01/25/2020 05:00PM ET,DAL,58.26
PG/SG,Donovan Mitchell (14184015),Donovan Mitchell,14184015,CPT,13500,DAL@UTA 01/25/2020 05:00PM ET,UTA,39.05
SF/PF,Bojan Bogdanovic (14184016),Bojan Bogdanovic,14184016,CPT,12300,DAL@UTA 01/25/2020 05:00PM ET,UTA,30.87
SG/SF,Joe Ingles (14184017),Joe Ingles,14184017,CPT,11100,DAL@UTA 01/25/2020 05:00PM ET,UTA,25.92
C,Rudy Gobert (14183979),Rudy Gobert,14183979,UTIL,10400,DAL@UTA 01/25/2020 05:00PM ET,UTA,41.79
PF/C,Maxi Kleber (14184018),Maxi Kleber,14184018,CPT,9900,DAL@UTA 01/25/2020 05:00PM ET,DAL,20.51
PF/C,Kristaps Porzingis (14183980),Kristaps Porzingis,14183980,UTIL,9600,DAL@UTA 01/25/2020 05:00PM ET,DAL,36.97
PG/SG,Donovan Mitchell (14183981),Donovan Mitchell,14183981,UTIL,9000,DAL@UTA 01/25/2020 05:00PM ET,UTA,39.05
SG/SF,Tim Hardaway Jr. (14184019),Tim Hardaway Jr.,14184019,CPT,9000,DAL@UTA 01/25/2020 05:00PM ET,DAL,22.82
SF/PF,Bojan Bogdanovic (14183982),Bojan Bogdanovic,14183982,UTIL,8200,DAL@UTA 01/25/2020 05:00PM ET,UTA,30.87
PG,Mike Conley (14184020),Mike Conley,14184020,CPT,8100,DAL@UTA 01/25/2020 05:00PM ET,UTA,25
SF/PF,Dorian Finney-Smith (14184021),Dorian Finney-Smith,14184021,CPT,7800,DAL@UTA 01/25/2020 05:00PM ET,DAL,20.99
PG/SG,Jordan Clarkson (14184022),Jordan Clarkson,14184022,CPT,7500,DAL@UTA 01/25/2020 05:00PM ET,UTA,22.92
SG/SF,Joe Ingles (14183983),Joe Ingles,14183983,UTIL,7400,DAL@UTA 01/25/2020 05:00PM ET,UTA,25.92
