Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (13919589),Nikola Jokic,13919589,CPT,15600,DEN@BOS 12/06/2019 08:00PM ET,DEN,40.33
PG,Kemba Walker (13919590),Kemba Walker,13919590,CPT,15300,DEN@BOS 12/06/2019 08:00PM ET,BOS,39.03
SF,Jayson Tatum (13919591),Jayson Tatum,13919591,CPT,14700,DEN@BOS 12/06/2019 08:00PM ET,BOS,38.45
SF,Jaylen Brown (13919592),Jaylen Brown,13919592,CPT,13500,DEN@BOS 12/06/2019 08:00PM ET,BOS,35.06
PG,Jamal Murray (13919593),Jamal Murray,13919593,CPT,12600,DEN@BOS 12/06/2019 08:00PM ET,DEN,34.99
SG,Will Barton (13919594),Will Barton,13919594,CPT,12000,DEN@BOS 12/06/2019 08:00PM ET,DEN,32.18
PG,Marcus Smart (13919595),Marcus Smart,13919595,CPT,10800,DEN@BOS 12/06/2019 08:00PM ET,BOS,27.38
PF,Paul Millsap (13919596),Paul Millsap,13919596,CPT,10500,DEN@BOS 12/06/2019 08:00PM ET,DEN,26.80
C,Nikola Jokic (13919556),Nikola Jokic,13919556,UTIL,10400,DEN@BOS 12/06/2019 08:00PM ET,DEN,40.33
PG,Kemba Walker (13919557),Kemba Walker,13919557,UTIL,10200,DEN@BOS 12/06/2019 08:00PM ET,BOS,39.03
SF,Jayson Tatum (13919558),Jayson Tatum,13919558,UTIL,9800,DEN@BOS 12/06/2019 08:00PM ET,BOS,38.45
C,Daniel Theis (13919597),Daniel Theis,13919597,CPT,9300,DEN@BOS 12/06/2019 08:00PM ET,BOS,21.22
SF,Jaylen Brown (13919559),Jaylen Brown,13919559,UTIL,9000,DEN@BOS 12/06/2019 08:00PM ET,BOS,35.06
PG,Jamal Murray (13919560),Jamal Murray,13919560,UTIL,8400,DEN@BOS 12/06/2019 08:00PM ET,DEN,34.99
SG,Gary Harris (13919598),Gary Harris,13919598,CPT,8400,DEN@BOS 12/06/2019 08:00PM ET,DEN,20.67
SG,Will Barton (13919561),Will Barton,13919561,UTIL,8000,DEN@BOS 12/06/2019 08:00PM ET,DEN,32.18
PG,Brad Wanamaker (13919599),Brad Wanamaker,13919599,CPT,7800,DEN@BOS 12/06/2019 08:00PM ET,BOS,16.1
C,Enes Kanter (13919600),Enes Kanter,13919600,CPT,7500,DEN@BOS 12/06/2019 08:00PM ET,BOS,18.44
PG,Marcus Smart (13919562),Marcus Smart,13919562,UTIL,7200,DEN@BOS 12/06/2019 08:00PM ET,BOS,27.38
PF,Paul Millsap (13919563),Paul Millsap,13919563,UTIL,7000,DEN@BOS 12/06/2019 08:00PM ET,DEN,26.80
C,Mason Plumlee (13919601),Mason Plumlee,13919601,CPT,6600,DEN@BOS 12/06/2019 08:00PM ET,DEN,20.42
C,Daniel Theis (13919564),Daniel Theis,13919564,UTIL,6200,DEN@BOS 12/06/2019 08:00PM ET,BOS,21.22
SF,Jerami Grant (13919602),Jerami Grant,13919602,CPT,6000,DEN@BOS 12/06/2019 08:00PM ET,DEN,17.36
SG,Gary Harris (13919565),Gary Harris,13919565,UTIL,5600,DEN@BOS 12/06/2019 08:00PM ET,DEN,20.67
PG,Brad Wanamaker (13919566),Brad Wanamaker,13919566,UTIL,5200,DEN@BOS 12/06/2019 08:00PM ET,BOS,16.1
C,Robert Williams (13919603),Robert Williams,13919603,CPT,5100,DEN@BOS 12/06/2019 08:00PM ET,BOS,15.36
C,Enes Kanter (13919567),Enes Kanter,13919567,UTIL,5000,DEN@BOS 12/06/2019 08:00PM ET,BOS,18.44
C,Mason Plumlee (13919568),Mason Plumlee,13919568,UTIL,4400,DEN@BOS 12/06/2019 08:00PM ET,DEN,20.42
SF,Jerami Grant (13919569),Jerami Grant,13919569,UTIL,4000,DEN@BOS 12/06/2019 08:00PM ET,DEN,17.36
PF,Semi Ojeleye (13919604),Semi Ojeleye,13919604,CPT,3900,DEN@BOS 12/06/2019 08:00PM ET,BOS,6.45
C,Robert Williams (13919570),Robert Williams,13919570,UTIL,3400,DEN@BOS 12/06/2019 08:00PM ET,BOS,15.36
SG,Malik Beasley (13919605),Malik Beasley,13919605,CPT,3000,DEN@BOS 12/06/2019 08:00PM ET,DEN,11.85
PF,Semi Ojeleye (13919571),Semi Ojeleye,13919571,UTIL,2600,DEN@BOS 12/06/2019 08:00PM ET,BOS,6.45
PG,Tremont Waters (13919606),Tremont Waters,13919606,CPT,2400,DEN@BOS 12/06/2019 08:00PM ET,BOS,19.5
SG,Malik Beasley (13919572),Malik Beasley,13919572,UTIL,2000,DEN@BOS 12/06/2019 08:00PM ET,DEN,11.85
PG,Monte Morris (13919607),Monte Morris,13919607,CPT,1800,DEN@BOS 12/06/2019 08:00PM ET,DEN,15.76
PG,Carsen Edwards (13919608),Carsen Edwards,13919608,CPT,1800,DEN@BOS 12/06/2019 08:00PM ET,BOS,8.92
PG,Tremont Waters (13919573),Tremont Waters,13919573,UTIL,1600,DEN@BOS 12/06/2019 08:00PM ET,BOS,19.5
PF,Juancho Hernangomez (13919609),Juancho Hernangomez,13919609,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,DEN,9.46
PF,Grant Williams (13919610),Grant Williams,13919610,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,BOS,8.09
SG,Javonte Green (13919611),Javonte Green,13919611,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,BOS,5.42
SF,Michael Porter Jr. (13919612),Michael Porter Jr.,13919612,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,DEN,7.91
C,Vincent Poirier (13919613),Vincent Poirier,13919613,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,BOS,4
SF,Jarred Vanderbilt (13919614),Jarred Vanderbilt,13919614,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,DEN,1.17
SG,Torrey Craig (13919615),Torrey Craig,13919615,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,DEN,9.55
SF,Gordon Hayward (13919616),Gordon Hayward,13919616,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,BOS,36.22
PG,PJ Dozier (13919617),PJ Dozier,13919617,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,DEN,0
C,Tacko Fall (13919618),Tacko Fall,13919618,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,BOS,7.25
SG,Romeo Langford (13919619),Romeo Langford,13919619,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,BOS,0
SF,Vlatko Cancar (13919620),Vlatko Cancar,13919620,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,DEN,0
C,Bol Bol (13919621),Bol Bol,13919621,CPT,1500,DEN@BOS 12/06/2019 08:00PM ET,DEN,0
PG,Monte Morris (13919574),Monte Morris,13919574,UTIL,1200,DEN@BOS 12/06/2019 08:00PM ET,DEN,15.76
PG,Carsen Edwards (13919575),Carsen Edwards,13919575,UTIL,1200,DEN@BOS 12/06/2019 08:00PM ET,BOS,8.92
PF,Juancho Hernangomez (13919576),Juancho Hernangomez,13919576,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,DEN,9.46
PF,Grant Williams (13919577),Grant Williams,13919577,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,BOS,8.09
SG,Javonte Green (13919578),Javonte Green,13919578,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,BOS,5.42
SF,Michael Porter Jr. (13919579),Michael Porter Jr.,13919579,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,DEN,7.91
C,Vincent Poirier (13919580),Vincent Poirier,13919580,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,BOS,4
SF,Jarred Vanderbilt (13919581),Jarred Vanderbilt,13919581,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,DEN,1.17
SG,Torrey Craig (13919582),Torrey Craig,13919582,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,DEN,9.55
SF,Gordon Hayward (13919583),Gordon Hayward,13919583,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,BOS,36.22
PG,PJ Dozier (13919584),PJ Dozier,13919584,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,DEN,0
C,Tacko Fall (13919585),Tacko Fall,13919585,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,BOS,7.25
SG,Romeo Langford (13919586),Romeo Langford,13919586,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,BOS,0
SF,Vlatko Cancar (13919587),Vlatko Cancar,13919587,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,DEN,0
C,Bol Bol (13919588),Bol Bol,13919588,UTIL,1000,DEN@BOS 12/06/2019 08:00PM ET,DEN,0
