Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14016831),LeBron James,14016831,CPT,18900,DEN@LAL 12/22/2019 09:30PM ET,LAL,55.61
PF/C,Anthony Davis (14016832),Anthony Davis,14016832,CPT,18300,DEN@LAL 12/22/2019 09:30PM ET,LAL,52.71
C,Nikola Jokic (14016833),Nikola Jokic,14016833,CPT,17100,DEN@LAL 12/22/2019 09:30PM ET,DEN,44.01
PG/SG,Jamal Murray (14016834),Jamal Murray,14016834,CPT,14100,DEN@LAL 12/22/2019 09:30PM ET,DEN,33.30
PG/SF,Will Barton (14016835),Will Barton,14016835,CPT,12900,DEN@LAL 12/22/2019 09:30PM ET,DEN,31.64
PG/SF,LeBron James (14016798),LeBron James,14016798,UTIL,12600,DEN@LAL 12/22/2019 09:30PM ET,LAL,55.61
PF/C,Anthony Davis (14016799),Anthony Davis,14016799,UTIL,12200,DEN@LAL 12/22/2019 09:30PM ET,LAL,52.71
C,Nikola Jokic (14016800),Nikola Jokic,14016800,UTIL,11400,DEN@LAL 12/22/2019 09:30PM ET,DEN,44.01
PF/C,Paul Millsap (14016836),Paul Millsap,14016836,CPT,11100,DEN@LAL 12/22/2019 09:30PM ET,DEN,25.46
SG,Gary Harris (14016837),Gary Harris,14016837,CPT,9900,DEN@LAL 12/22/2019 09:30PM ET,DEN,21.13
PG/SG,Jamal Murray (14016801),Jamal Murray,14016801,UTIL,9400,DEN@LAL 12/22/2019 09:30PM ET,DEN,33.30
C,Dwight Howard (14016838),Dwight Howard,14016838,CPT,9300,DEN@LAL 12/22/2019 09:30PM ET,LAL,19.43
C,JaVale McGee (14016839),JaVale McGee,14016839,CPT,8700,DEN@LAL 12/22/2019 09:30PM ET,LAL,19.12
PG/SF,Will Barton (14016802),Will Barton,14016802,UTIL,8600,DEN@LAL 12/22/2019 09:30PM ET,DEN,31.64
PG,Rajon Rondo (14016840),Rajon Rondo,14016840,CPT,8100,DEN@LAL 12/22/2019 09:30PM ET,LAL,22.82
PF/C,Mason Plumlee (14016841),Mason Plumlee,14016841,CPT,7500,DEN@LAL 12/22/2019 09:30PM ET,DEN,19.52
PF/C,Paul Millsap (14016803),Paul Millsap,14016803,UTIL,7400,DEN@LAL 12/22/2019 09:30PM ET,DEN,25.46
SG/SF,Danny Green (14016842),Danny Green,14016842,CPT,7200,DEN@LAL 12/22/2019 09:30PM ET,LAL,19.15
SG,Gary Harris (14016804),Gary Harris,14016804,UTIL,6600,DEN@LAL 12/22/2019 09:30PM ET,DEN,21.13
SG/SF,Kentavious Caldwell-Pope (14016843),Kentavious Caldwell-Pope,14016843,CPT,6600,DEN@LAL 12/22/2019 09:30PM ET,LAL,16.41
C,Dwight Howard (14016805),Dwight Howard,14016805,UTIL,6200,DEN@LAL 12/22/2019 09:30PM ET,LAL,19.43
PF/C,Jerami Grant (14016844),Jerami Grant,14016844,CPT,6000,DEN@LAL 12/22/2019 09:30PM ET,DEN,17.69
C,JaVale McGee (14016806),JaVale McGee,14016806,UTIL,5800,DEN@LAL 12/22/2019 09:30PM ET,LAL,19.12
SF/PF,Kyle Kuzma (14016845),Kyle Kuzma,14016845,CPT,5700,DEN@LAL 12/22/2019 09:30PM ET,LAL,17.9
PG,Rajon Rondo (14016807),Rajon Rondo,14016807,UTIL,5400,DEN@LAL 12/22/2019 09:30PM ET,LAL,22.82
PG,Monte Morris (14016846),Monte Morris,14016846,CPT,5100,DEN@LAL 12/22/2019 09:30PM ET,DEN,15.52
PF/C,Mason Plumlee (14016808),Mason Plumlee,14016808,UTIL,5000,DEN@LAL 12/22/2019 09:30PM ET,DEN,19.52
SG/SF,Danny Green (14016809),Danny Green,14016809,UTIL,4800,DEN@LAL 12/22/2019 09:30PM ET,LAL,19.15
PG/SG,Alex Caruso (14016847),Alex Caruso,14016847,CPT,4800,DEN@LAL 12/22/2019 09:30PM ET,LAL,13.33
SG/SF,Kentavious Caldwell-Pope (14016810),Kentavious Caldwell-Pope,14016810,UTIL,4400,DEN@LAL 12/22/2019 09:30PM ET,LAL,16.41
