Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (14161547),Karl-Anthony Towns,14161547,CPT,16200,DEN@MIN 01/20/2020 08:00PM ET,MIN,51.99
C,Nikola Jokic (14161548),Nikola Jokic,14161548,CPT,15300,DEN@MIN 01/20/2020 08:00PM ET,DEN,45.16
PG/SF,Will Barton (14161549),Will Barton,14161549,CPT,14100,DEN@MIN 01/20/2020 08:00PM ET,DEN,32.86
SG/SF,Andrew Wiggins (14161550),Andrew Wiggins,14161550,CPT,12900,DEN@MIN 01/20/2020 08:00PM ET,MIN,37.52
SF/PF,Michael Porter Jr. (14161551),Michael Porter Jr.,14161551,CPT,12600,DEN@MIN 01/20/2020 08:00PM ET,DEN,13.39
PG,Jamal Murray (14161552),Jamal Murray,14161552,CPT,11400,DEN@MIN 01/20/2020 08:00PM ET,DEN,32.58
C,Karl-Anthony Towns (14161515),Karl-Anthony Towns,14161515,UTIL,10800,DEN@MIN 01/20/2020 08:00PM ET,MIN,51.99
SF/PF,Robert Covington (14161553),Robert Covington,14161553,CPT,10500,DEN@MIN 01/20/2020 08:00PM ET,MIN,27.77
C,Nikola Jokic (14161516),Nikola Jokic,14161516,UTIL,10200,DEN@MIN 01/20/2020 08:00PM ET,DEN,45.16
PG/SG,Malik Beasley (14161554),Malik Beasley,14161554,CPT,10200,DEN@MIN 01/20/2020 08:00PM ET,DEN,12.44
PG/SG,Jarrett Culver (14161555),Jarrett Culver,14161555,CPT,9600,DEN@MIN 01/20/2020 08:00PM ET,MIN,20.75
PG/SF,Will Barton (14161517),Will Barton,14161517,UTIL,9400,DEN@MIN 01/20/2020 08:00PM ET,DEN,32.86
PF/C,Mason Plumlee (14161556),Mason Plumlee,14161556,CPT,9000,DEN@MIN 01/20/2020 08:00PM ET,DEN,19.76
PG,Shabazz Napier (14161557),Shabazz Napier,14161557,CPT,8700,DEN@MIN 01/20/2020 08:00PM ET,MIN,21.16
SG/SF,Andrew Wiggins (14161518),Andrew Wiggins,14161518,UTIL,8600,DEN@MIN 01/20/2020 08:00PM ET,MIN,37.52
SF/PF,Michael Porter Jr. (14161519),Michael Porter Jr.,14161519,UTIL,8400,DEN@MIN 01/20/2020 08:00PM ET,DEN,13.39
SG,Gary Harris (14161558),Gary Harris,14161558,CPT,8100,DEN@MIN 01/20/2020 08:00PM ET,DEN,21.35
PG,Jamal Murray (14161520),Jamal Murray,14161520,UTIL,7600,DEN@MIN 01/20/2020 08:00PM ET,DEN,32.58
PG,Monte Morris (14161559),Monte Morris,14161559,CPT,7500,DEN@MIN 01/20/2020 08:00PM ET,DEN,16.16
SF/PF,Robert Covington (14161521),Robert Covington,14161521,UTIL,7000,DEN@MIN 01/20/2020 08:00PM ET,MIN,27.77
PF/C,Jerami Grant (14161560),Jerami Grant,14161560,CPT,6900,DEN@MIN 01/20/2020 08:00PM ET,DEN,18.10
PG/SG,Malik Beasley (14161522),Malik Beasley,14161522,UTIL,6800,DEN@MIN 01/20/2020 08:00PM ET,DEN,12.44
PF/C,Paul Millsap (14161561),Paul Millsap,14161561,CPT,6600,DEN@MIN 01/20/2020 08:00PM ET,DEN,24.34
PG/SG,Jarrett Culver (14161523),Jarrett Culver,14161523,UTIL,6400,DEN@MIN 01/20/2020 08:00PM ET,MIN,20.75
PF/C,Mason Plumlee (14161524),Mason Plumlee,14161524,UTIL,6000,DEN@MIN 01/20/2020 08:00PM ET,DEN,19.76
SG/SF,Torrey Craig (14161562),Torrey Craig,14161562,CPT,6000,DEN@MIN 01/20/2020 08:00PM ET,DEN,8.83
PG,Shabazz Napier (14161525),Shabazz Napier,14161525,UTIL,5800,DEN@MIN 01/20/2020 08:00PM ET,MIN,21.16
C,Gorgui Dieng (14161563),Gorgui Dieng,14161563,CPT,5700,DEN@MIN 01/20/2020 08:00PM ET,MIN,21.56
SG,Gary Harris (14161526),Gary Harris,14161526,UTIL,5400,DEN@MIN 01/20/2020 08:00PM ET,DEN,21.35
PG,Monte Morris (14161527),Monte Morris,14161527,UTIL,5000,DEN@MIN 01/20/2020 08:00PM ET,DEN,16.16
SG/SF,Josh Okogie (14161564),Josh Okogie,14161564,CPT,4800,DEN@MIN 01/20/2020 08:00PM ET,MIN,18.23
PF/C,Jerami Grant (14161528),Jerami Grant,14161528,UTIL,4600,DEN@MIN 01/20/2020 08:00PM ET,DEN,18.10
PF/C,Paul Millsap (14161529),Paul Millsap,14161529,UTIL,4400,DEN@MIN 01/20/2020 08:00PM ET,DEN,24.34
SG/SF,Torrey Craig (14161530),Torrey Craig,14161530,UTIL,4000,DEN@MIN 01/20/2020 08:00PM ET,DEN,8.83
SF/PF,Keita Bates-Diop (14161565),Keita Bates-Diop,14161565,CPT,3900,DEN@MIN 01/20/2020 08:00PM ET,MIN,13.88
C,Gorgui Dieng (14161531),Gorgui Dieng,14161531,UTIL,3800,DEN@MIN 01/20/2020 08:00PM ET,MIN,21.56
SG/SF,Josh Okogie (14161532),Josh Okogie,14161532,UTIL,3200,DEN@MIN 01/20/2020 08:00PM ET,MIN,18.23
PG,Jordan McLaughlin (14161566),Jordan McLaughlin,14161566,CPT,3000,DEN@MIN 01/20/2020 08:00PM ET,MIN,13.84
SG/SF,PJ Dozier (14161567),PJ Dozier,14161567,CPT,2700,DEN@MIN 01/20/2020 08:00PM ET,DEN,11.42
SF/PF,Keita Bates-Diop (14161533),Keita Bates-Diop,14161533,UTIL,2600,DEN@MIN 01/20/2020 08:00PM ET,MIN,13.88
PF/C,Noah Vonleh (14161568),Noah Vonleh,14161568,CPT,2400,DEN@MIN 01/20/2020 08:00PM ET,MIN,11.75
SG/SF,Allen Crabbe (14161569),Allen Crabbe,14161569,CPT,2100,DEN@MIN 01/20/2020 08:00PM ET,MIN,11.19
PG,Jordan McLaughlin (14161534),Jordan McLaughlin,14161534,UTIL,2000,DEN@MIN 01/20/2020 08:00PM ET,MIN,13.84
SG/SF,PJ Dozier (14161535),PJ Dozier,14161535,UTIL,1800,DEN@MIN 01/20/2020 08:00PM ET,DEN,11.42
PF,Jake Layman (14161570),Jake Layman,14161570,CPT,1800,DEN@MIN 01/20/2020 08:00PM ET,MIN,18.52
PF/C,Noah Vonleh (14161536),Noah Vonleh,14161536,UTIL,1600,DEN@MIN 01/20/2020 08:00PM ET,MIN,11.75
SF,Kelan Martin (14161571),Kelan Martin,14161571,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,MIN,12.03
PF/C,Jordan Bell (14161572),Jordan Bell,14161572,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,MIN,8.41
SF/PF,Juancho Hernangomez (14161573),Juancho Hernangomez,14161573,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,DEN,7.32
PG,Jaylen Nowell (14161574),Jaylen Nowell,14161574,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,MIN,6.82
SF,Vlatko Cancar (14161575),Vlatko Cancar,14161575,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,DEN,1.18
C,Naz Reid (14161576),Naz Reid,14161576,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,MIN,14.29
SF/PF,Jarred Vanderbilt (14161577),Jarred Vanderbilt,14161577,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,DEN,1.25
C,Bol Bol (14161578),Bol Bol,14161578,CPT,1500,DEN@MIN 01/20/2020 08:00PM ET,DEN,0
SG/SF,Allen Crabbe (14161537),Allen Crabbe,14161537,UTIL,1400,DEN@MIN 01/20/2020 08:00PM ET,MIN,11.19
PF,Jake Layman (14161538),Jake Layman,14161538,UTIL,1200,DEN@MIN 01/20/2020 08:00PM ET,MIN,18.52
SF,Kelan Martin (14161539),Kelan Martin,14161539,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,MIN,12.03
PF/C,Jordan Bell (14161540),Jordan Bell,14161540,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,MIN,8.41
SF/PF,Juancho Hernangomez (14161541),Juancho Hernangomez,14161541,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,DEN,7.32
PG,Jaylen Nowell (14161542),Jaylen Nowell,14161542,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,MIN,6.82
SF,Vlatko Cancar (14161543),Vlatko Cancar,14161543,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,DEN,1.18
C,Naz Reid (14161544),Naz Reid,14161544,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,MIN,14.29
SF/PF,Jarred Vanderbilt (14161545),Jarred Vanderbilt,14161545,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,DEN,1.25
C,Bol Bol (14161546),Bol Bol,14161546,UTIL,1000,DEN@MIN 01/20/2020 08:00PM ET,DEN,0
