Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (14023268),Nikola Jokic,14023268,CPT,16500,DEN@PHO 12/23/2019 09:00PM ET,DEN,43.76
PG/SG,Devin Booker (14023269),Devin Booker,14023269,CPT,14400,DEN@PHO 12/23/2019 09:00PM ET,PHO,40.25
C,Deandre Ayton (14023270),Deandre Ayton,14023270,CPT,13500,DEN@PHO 12/23/2019 09:00PM ET,PHO,41.62
PG/SG,Jamal Murray (14023271),Jamal Murray,14023271,CPT,13200,DEN@PHO 12/23/2019 09:00PM ET,DEN,32.76
PG,Ricky Rubio (14023272),Ricky Rubio,14023272,CPT,12900,DEN@PHO 12/23/2019 09:00PM ET,PHO,36.80
SF/PF,Kelly Oubre Jr. (14023273),Kelly Oubre Jr.,14023273,CPT,12300,DEN@PHO 12/23/2019 09:00PM ET,PHO,31.97
PG/SF,Will Barton (14023274),Will Barton,14023274,CPT,11400,DEN@PHO 12/23/2019 09:00PM ET,DEN,32.07
C,Nikola Jokic (14023236),Nikola Jokic,14023236,UTIL,11000,DEN@PHO 12/23/2019 09:00PM ET,DEN,43.76
SF/PF,Dario Saric (14023275),Dario Saric,14023275,CPT,10500,DEN@PHO 12/23/2019 09:00PM ET,PHO,26.68
PG/SG,Devin Booker (14023237),Devin Booker,14023237,UTIL,9600,DEN@PHO 12/23/2019 09:00PM ET,PHO,40.25
C,Aron Baynes (14023276),Aron Baynes,14023276,CPT,9600,DEN@PHO 12/23/2019 09:00PM ET,PHO,25.5
C,Deandre Ayton (14023238),Deandre Ayton,14023238,UTIL,9000,DEN@PHO 12/23/2019 09:00PM ET,PHO,41.62
PG/SG,Jamal Murray (14023239),Jamal Murray,14023239,UTIL,8800,DEN@PHO 12/23/2019 09:00PM ET,DEN,32.76
SG,Gary Harris (14023277),Gary Harris,14023277,CPT,8700,DEN@PHO 12/23/2019 09:00PM ET,DEN,21.67
PG,Ricky Rubio (14023240),Ricky Rubio,14023240,UTIL,8600,DEN@PHO 12/23/2019 09:00PM ET,PHO,36.80
SF/PF,Kelly Oubre Jr. (14023241),Kelly Oubre Jr.,14023241,UTIL,8200,DEN@PHO 12/23/2019 09:00PM ET,PHO,31.97
