Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (14081954),Nikola Jokic,14081954,CPT,16500,DEN@WAS 01/04/2020 08:00PM ET,DEN,43.90
SG/SF,Bradley Beal (14081955),Bradley Beal,14081955,CPT,14700,DEN@WAS 01/04/2020 08:00PM ET,WAS,46.46
PG/SG,Jamal Murray (14081956),Jamal Murray,14081956,CPT,13500,DEN@WAS 01/04/2020 08:00PM ET,DEN,32.63
PG/SF,Will Barton (14081957),Will Barton,14081957,CPT,12900,DEN@WAS 01/04/2020 08:00PM ET,DEN,32.57
SF/PF,Davis Bertans (14081958),Davis Bertans,14081958,CPT,11400,DEN@WAS 01/04/2020 08:00PM ET,WAS,28.23
PG/SG,Jordan McRae (14081959),Jordan McRae,14081959,CPT,11100,DEN@WAS 01/04/2020 08:00PM ET,WAS,23.33
C,Nikola Jokic (14081919),Nikola Jokic,14081919,UTIL,11000,DEN@WAS 01/04/2020 08:00PM ET,DEN,43.90
SG/SF,Troy Brown (14081960),Troy Brown,14081960,CPT,10500,DEN@WAS 01/04/2020 08:00PM ET,WAS,22.20
PF/C,Paul Millsap (14081961),Paul Millsap,14081961,CPT,10200,DEN@WAS 01/04/2020 08:00PM ET,DEN,25.01
SG/SF,Bradley Beal (14081920),Bradley Beal,14081920,UTIL,9800,DEN@WAS 01/04/2020 08:00PM ET,WAS,46.46
PF/C,Thomas Bryant (14081962),Thomas Bryant,14081962,CPT,9300,DEN@WAS 01/04/2020 08:00PM ET,WAS,31.49
PG/SG,Jamal Murray (14081921),Jamal Murray,14081921,UTIL,9000,DEN@WAS 01/04/2020 08:00PM ET,DEN,32.63
PG,Isaiah Thomas (14081963),Isaiah Thomas,14081963,CPT,9000,DEN@WAS 01/04/2020 08:00PM ET,WAS,23
PF/C,Rui Hachimura (14081964),Rui Hachimura,14081964,CPT,8700,DEN@WAS 01/04/2020 08:00PM ET,WAS,25.17
PG/SF,Will Barton (14081922),Will Barton,14081922,UTIL,8600,DEN@WAS 01/04/2020 08:00PM ET,DEN,32.57
C,Ian Mahinmi (14081965),Ian Mahinmi,14081965,CPT,8400,DEN@WAS 01/04/2020 08:00PM ET,WAS,20.5
SG,Gary Harris (14081966),Gary Harris,14081966,CPT,8100,DEN@WAS 01/04/2020 08:00PM ET,DEN,21.82
