Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14085786),LeBron James,14085786,CPT,18600,DET@LAL 01/05/2020 10:00PM ET,LAL,56.02
PF/C,Anthony Davis (14085787),Anthony Davis,14085787,CPT,17700,DET@LAL 01/05/2020 10:00PM ET,LAL,52.30
C,Andre Drummond (14085788),Andre Drummond,14085788,CPT,14700,DET@LAL 01/05/2020 10:00PM ET,DET,48.52
PG/SG,Derrick Rose (14085790),Derrick Rose,14085790,CPT,12600,DET@LAL 01/05/2020 10:00PM ET,DET,30.12
PG/SF,LeBron James (14085752),LeBron James,14085752,UTIL,12400,DET@LAL 01/05/2020 10:00PM ET,LAL,56.02
PF/C,Anthony Davis (14085753),Anthony Davis,14085753,UTIL,11800,DET@LAL 01/05/2020 10:00PM ET,LAL,52.30
PF/C,Blake Griffin (14085789),Blake Griffin,14085789,CPT,11400,DET@LAL 01/05/2020 10:00PM ET,DET,27.61
PF/C,Christian Wood (14085792),Christian Wood,14085792,CPT,10800,DET@LAL 01/05/2020 10:00PM ET,DET,18.91
SG/SF,Luke Kennard (14085791),Luke Kennard,14085791,CPT,9900,DET@LAL 01/05/2020 10:00PM ET,DET,28.14
C,Andre Drummond (14085754),Andre Drummond,14085754,UTIL,9800,DET@LAL 01/05/2020 10:00PM ET,DET,48.52
PF/C,Markieff Morris (14085793),Markieff Morris,14085793,CPT,9600,DET@LAL 01/05/2020 10:00PM ET,DET,19.85
PG/SF,Bruce Brown Jr. (14085794),Bruce Brown Jr.,14085794,CPT,9300,DET@LAL 01/05/2020 10:00PM ET,DET,22.51
SF/PF,Sekou Doumbouya (14085795),Sekou Doumbouya,14085795,CPT,9000,DET@LAL 01/05/2020 10:00PM ET,DET,9.19
PG/SG,Derrick Rose (14085756),Derrick Rose,14085756,UTIL,8400,DET@LAL 01/05/2020 10:00PM ET,DET,30.12
SF/PF,Kyle Kuzma (14085796),Kyle Kuzma,14085796,CPT,8100,DET@LAL 01/05/2020 10:00PM ET,LAL,19.38
PF/C,Blake Griffin (14085755),Blake Griffin,14085755,UTIL,7600,DET@LAL 01/05/2020 10:00PM ET,DET,27.61
PF/C,Christian Wood (14085758),Christian Wood,14085758,UTIL,7200,DET@LAL 01/05/2020 10:00PM ET,DET,18.91
SG/SF,Danny Green (14085797),Danny Green,14085797,CPT,7200,DET@LAL 01/05/2020 10:00PM ET,LAL,19.15
SG/SF,Luke Kennard (14085757),Luke Kennard,14085757,UTIL,6600,DET@LAL 01/05/2020 10:00PM ET,DET,28.14
SG/SF,Svi Mykhailiuk (14085798),Svi Mykhailiuk,14085798,CPT,6600,DET@LAL 01/05/2020 10:00PM ET,DET,12.27
PF/C,Markieff Morris (14085759),Markieff Morris,14085759,UTIL,6400,DET@LAL 01/05/2020 10:00PM ET,DET,19.85
PG,Rajon Rondo (14085799),Rajon Rondo,14085799,CPT,6300,DET@LAL 01/05/2020 10:00PM ET,LAL,21.28
PG/SF,Bruce Brown Jr. (14085760),Bruce Brown Jr.,14085760,UTIL,6200,DET@LAL 01/05/2020 10:00PM ET,DET,22.51
SF/PF,Sekou Doumbouya (14085761),Sekou Doumbouya,14085761,UTIL,6000,DET@LAL 01/05/2020 10:00PM ET,DET,9.19
PG/SG,Avery Bradley (14085800),Avery Bradley,14085800,CPT,6000,DET@LAL 01/05/2020 10:00PM ET,LAL,14.92
C,Dwight Howard (14085801),Dwight Howard,14085801,CPT,5700,DET@LAL 01/05/2020 10:00PM ET,LAL,19.19
SF/PF,Kyle Kuzma (14085762),Kyle Kuzma,14085762,UTIL,5400,DET@LAL 01/05/2020 10:00PM ET,LAL,19.38
C,JaVale McGee (14085802),JaVale McGee,14085802,CPT,5400,DET@LAL 01/05/2020 10:00PM ET,LAL,18.96
SG/SF,Kentavious Caldwell-Pope (14085803),Kentavious Caldwell-Pope,14085803,CPT,5100,DET@LAL 01/05/2020 10:00PM ET,LAL,16.78
SG/SF,Danny Green (14085763),Danny Green,14085763,UTIL,4800,DET@LAL 01/05/2020 10:00PM ET,LAL,19.15
SG/SF,Tony Snell (14085804),Tony Snell,14085804,CPT,4500,DET@LAL 01/05/2020 10:00PM ET,DET,14.16
SG/SF,Svi Mykhailiuk (14085764),Svi Mykhailiuk,14085764,UTIL,4400,DET@LAL 01/05/2020 10:00PM ET,DET,12.27
PG,Rajon Rondo (14085765),Rajon Rondo,14085765,UTIL,4200,DET@LAL 01/05/2020 10:00PM ET,LAL,21.28
PF/C,Thon Maker (14085805),Thon Maker,14085805,CPT,4200,DET@LAL 01/05/2020 10:00PM ET,DET,8.37
PG/SG,Avery Bradley (14085766),Avery Bradley,14085766,UTIL,4000,DET@LAL 01/05/2020 10:00PM ET,LAL,14.92
PF,Devontae Cacok (14085806),Devontae Cacok,14085806,CPT,3900,DET@LAL 01/05/2020 10:00PM ET,LAL,0
C,Dwight Howard (14085767),Dwight Howard,14085767,UTIL,3800,DET@LAL 01/05/2020 10:00PM ET,LAL,19.19
C,JaVale McGee (14085768),JaVale McGee,14085768,UTIL,3600,DET@LAL 01/05/2020 10:00PM ET,LAL,18.96
PG/SG,Langston Galloway (14085807),Langston Galloway,14085807,CPT,3600,DET@LAL 01/05/2020 10:00PM ET,DET,18.08
SG/SF,Kentavious Caldwell-Pope (14085769),Kentavious Caldwell-Pope,14085769,UTIL,3400,DET@LAL 01/05/2020 10:00PM ET,LAL,16.78
PG,Tim Frazier (14085808),Tim Frazier,14085808,CPT,3300,DET@LAL 01/05/2020 10:00PM ET,DET,12.41
SG/SF,Tony Snell (14085770),Tony Snell,14085770,UTIL,3000,DET@LAL 01/05/2020 10:00PM ET,DET,14.16
PF/C,Thon Maker (14085771),Thon Maker,14085771,UTIL,2800,DET@LAL 01/05/2020 10:00PM ET,DET,8.37
PG,Jordan Bone (14085809),Jordan Bone,14085809,CPT,2700,DET@LAL 01/05/2020 10:00PM ET,DET,1
PF,Devontae Cacok (14085772),Devontae Cacok,14085772,UTIL,2600,DET@LAL 01/05/2020 10:00PM ET,LAL,0
PG/SG,Langston Galloway (14085773),Langston Galloway,14085773,UTIL,2400,DET@LAL 01/05/2020 10:00PM ET,DET,18.08
SG/SF,Talen Horton-Tucker (14085810),Talen Horton-Tucker,14085810,CPT,2400,DET@LAL 01/05/2020 10:00PM ET,LAL,2.5
PG,Tim Frazier (14085774),Tim Frazier,14085774,UTIL,2200,DET@LAL 01/05/2020 10:00PM ET,DET,12.41
SG,Troy Daniels (14085811),Troy Daniels,14085811,CPT,2100,DET@LAL 01/05/2020 10:00PM ET,LAL,7.02
PG,Jordan Bone (14085775),Jordan Bone,14085775,UTIL,1800,DET@LAL 01/05/2020 10:00PM ET,DET,1
SF/PF,Jared Dudley (14085812),Jared Dudley,14085812,CPT,1800,DET@LAL 01/05/2020 10:00PM ET,LAL,4.41
