Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Damian Lillard (14338224),Damian Lillard,14338224,CPT,17400,DET@POR 02/23/2020 09:00PM ET,POR,50.48
C,Hassan Whiteside (14338225),Hassan Whiteside,14338225,CPT,16500,DET@POR 02/23/2020 09:00PM ET,POR,42.38
PG/SG,CJ McCollum (14338226),CJ McCollum,14338226,CPT,15300,DET@POR 02/23/2020 09:00PM ET,POR,35.28
PF/C,Christian Wood (14338227),Christian Wood,14338227,CPT,14100,DET@POR 02/23/2020 09:00PM ET,DET,22.56
PG,Derrick Rose (14338228),Derrick Rose,14338228,CPT,12600,DET@POR 02/23/2020 09:00PM ET,DET,31.28
PG/SF,Bruce Brown (14338229),Bruce Brown,14338229,CPT,11700,DET@POR 02/23/2020 09:00PM ET,DET,23.39
PG,Damian Lillard (14338192),Damian Lillard,14338192,UTIL,11600,DET@POR 02/23/2020 09:00PM ET,POR,50.48
C,Hassan Whiteside (14338193),Hassan Whiteside,14338193,UTIL,11000,DET@POR 02/23/2020 09:00PM ET,POR,42.38
PF,Carmelo Anthony (14338230),Carmelo Anthony,14338230,CPT,10800,DET@POR 02/23/2020 09:00PM ET,POR,28.23
PG/SG,CJ McCollum (14338194),CJ McCollum,14338194,UTIL,10200,DET@POR 02/23/2020 09:00PM ET,POR,35.28
SF,Luke Kennard (14338231),Luke Kennard,14338231,CPT,10200,DET@POR 02/23/2020 09:00PM ET,DET,28.14
SG/SF,Gary Trent Jr. (14338232),Gary Trent Jr.,14338232,CPT,9900,DET@POR 02/23/2020 09:00PM ET,POR,12.72
PF/C,Christian Wood (14338195),Christian Wood,14338195,UTIL,9400,DET@POR 02/23/2020 09:00PM ET,DET,22.56
SF,Trevor Ariza (14338233),Trevor Ariza,14338233,CPT,9300,DET@POR 02/23/2020 09:00PM ET,POR,18.73
PG,Derrick Rose (14338196),Derrick Rose,14338196,UTIL,8400,DET@POR 02/23/2020 09:00PM ET,DET,31.28
PF/C,Thon Maker (14338234),Thon Maker,14338234,CPT,8100,DET@POR 02/23/2020 09:00PM ET,DET,11.06
PG/SF,Bruce Brown (14338197),Bruce Brown,14338197,UTIL,7800,DET@POR 02/23/2020 09:00PM ET,DET,23.39
PF,Carmelo Anthony (14338198),Carmelo Anthony,14338198,UTIL,7200,DET@POR 02/23/2020 09:00PM ET,POR,28.23
PG/SG,Anfernee Simons (14338235),Anfernee Simons,14338235,CPT,6900,DET@POR 02/23/2020 09:00PM ET,POR,15.63
SF,Luke Kennard (14338199),Luke Kennard,14338199,UTIL,6800,DET@POR 02/23/2020 09:00PM ET,DET,28.14
SG/SF,Gary Trent Jr. (14338200),Gary Trent Jr.,14338200,UTIL,6600,DET@POR 02/23/2020 09:00PM ET,POR,12.72
SG/SF,Tony Snell (14338236),Tony Snell,14338236,CPT,6300,DET@POR 02/23/2020 09:00PM ET,DET,15.23
SF,Trevor Ariza (14338201),Trevor Ariza,14338201,UTIL,6200,DET@POR 02/23/2020 09:00PM ET,POR,18.73
PG/SG,Langston Galloway (14338237),Langston Galloway,14338237,CPT,5700,DET@POR 02/23/2020 09:00PM ET,DET,17.56
PF/C,Thon Maker (14338202),Thon Maker,14338202,UTIL,5400,DET@POR 02/23/2020 09:00PM ET,DET,11.06
SF/PF,Sekou Doumbouya (14338238),Sekou Doumbouya,14338238,CPT,4800,DET@POR 02/23/2020 09:00PM ET,DET,13.33
PG/SG,Anfernee Simons (14338203),Anfernee Simons,14338203,UTIL,4600,DET@POR 02/23/2020 09:00PM ET,POR,15.63
SG/SF,Svi Mykhailiuk (14338239),Svi Mykhailiuk,14338239,CPT,4500,DET@POR 02/23/2020 09:00PM ET,DET,15.42
SG/SF,Tony Snell (14338204),Tony Snell,14338204,UTIL,4200,DET@POR 02/23/2020 09:00PM ET,DET,15.23
PG/SG,Langston Galloway (14338205),Langston Galloway,14338205,UTIL,3800,DET@POR 02/23/2020 09:00PM ET,DET,17.56
C,John Henson (14338240),John Henson,14338240,CPT,3600,DET@POR 02/23/2020 09:00PM ET,DET,15.16
SF/PF,Sekou Doumbouya (14338206),Sekou Doumbouya,14338206,UTIL,3200,DET@POR 02/23/2020 09:00PM ET,DET,13.33
SG/SF,Svi Mykhailiuk (14338207),Svi Mykhailiuk,14338207,UTIL,3000,DET@POR 02/23/2020 09:00PM ET,DET,15.42
PF/C,Blake Griffin (14338241),Blake Griffin,14338241,CPT,3000,DET@POR 02/23/2020 09:00PM ET,DET,27.61
SF/PF,Nassir Little (14338242),Nassir Little,14338242,CPT,2700,DET@POR 02/23/2020 09:00PM ET,POR,9.12
C,John Henson (14338208),John Henson,14338208,UTIL,2400,DET@POR 02/23/2020 09:00PM ET,DET,15.16
C,Caleb Swanigan (14338243),Caleb Swanigan,14338243,CPT,2400,DET@POR 02/23/2020 09:00PM ET,POR,8.64
PG,Jordan Bone (14338244),Jordan Bone,14338244,CPT,2100,DET@POR 02/23/2020 09:00PM ET,DET,3.1
PF/C,Blake Griffin (14338209),Blake Griffin,14338209,UTIL,2000,DET@POR 02/23/2020 09:00PM ET,DET,27.61
SF/PF,Nassir Little (14338210),Nassir Little,14338210,UTIL,1800,DET@POR 02/23/2020 09:00PM ET,POR,9.12
SF/PF,Jaylen Hoard (14338245),Jaylen Hoard,14338245,CPT,1800,DET@POR 02/23/2020 09:00PM ET,POR,7.08
C,Caleb Swanigan (14338211),Caleb Swanigan,14338211,UTIL,1600,DET@POR 02/23/2020 09:00PM ET,POR,8.64
SG,Rodney Hood (14338246),Rodney Hood,14338246,CPT,1500,DET@POR 02/23/2020 09:00PM ET,POR,19.90
PF,Wenyen Gabriel (14338247),Wenyen Gabriel,14338247,CPT,1500,DET@POR 02/23/2020 09:00PM ET,POR,4.40
PG,Brandon Knight (14338248),Brandon Knight,14338248,CPT,1500,DET@POR 02/23/2020 09:00PM ET,DET,9.57
SF/PF,Louis King (14338249),Louis King,14338249,CPT,1500,DET@POR 02/23/2020 09:00PM ET,DET,4.5
PG,Derrick Walton Jr. (14338250),Derrick Walton Jr.,14338250,CPT,1500,DET@POR 02/23/2020 09:00PM ET,DET,4.88
SF/PF,Mario Hezonja (14338251),Mario Hezonja,14338251,CPT,1500,DET@POR 02/23/2020 09:00PM ET,POR,11.56
SG,Khyri Thomas (14338252),Khyri Thomas,14338252,CPT,1500,DET@POR 02/23/2020 09:00PM ET,DET,0.5
C,Moses Brown (14338253),Moses Brown,14338253,CPT,1500,DET@POR 02/23/2020 09:00PM ET,POR,3.61
PF/C,Zach Collins (14338254),Zach Collins,14338254,CPT,1500,DET@POR 02/23/2020 09:00PM ET,POR,17.83
C,Jusuf Nurkic (14338255),Jusuf Nurkic,14338255,CPT,1500,DET@POR 02/23/2020 09:00PM ET,POR,0
PG,Jordan Bone (14338212),Jordan Bone,14338212,UTIL,1400,DET@POR 02/23/2020 09:00PM ET,DET,3.1
SF/PF,Jaylen Hoard (14338213),Jaylen Hoard,14338213,UTIL,1200,DET@POR 02/23/2020 09:00PM ET,POR,7.08
SG,Rodney Hood (14338214),Rodney Hood,14338214,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,POR,19.90
PF,Wenyen Gabriel (14338215),Wenyen Gabriel,14338215,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,POR,4.40
PG,Brandon Knight (14338216),Brandon Knight,14338216,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,DET,9.57
SF/PF,Louis King (14338217),Louis King,14338217,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,DET,4.5
PG,Derrick Walton Jr. (14338218),Derrick Walton Jr.,14338218,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,DET,4.88
SF/PF,Mario Hezonja (14338219),Mario Hezonja,14338219,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,POR,11.56
SG,Khyri Thomas (14338220),Khyri Thomas,14338220,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,DET,0.5
C,Moses Brown (14338221),Moses Brown,14338221,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,POR,3.61
PF/C,Zach Collins (14338222),Zach Collins,14338222,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,POR,17.83
C,Jusuf Nurkic (14338223),Jusuf Nurkic,14338223,UTIL,1000,DET@POR 02/23/2020 09:00PM ET,POR,0
