Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kawhi Leonard (14076094),Kawhi Leonard,14076094,SF/PF/F/UTIL,10100,MEM@LAC 01/04/2020 03:30PM ET,LAC,46.94
PG,Kyrie Irving (14076098),Kyrie Irving,14076098,PG/G/UTIL,9400,TOR@BKN 01/04/2020 06:00PM ET,BKN,50.07
PF/C,Pascal Siakam (14076101),Pascal Siakam,14076101,PF/C/F/UTIL,9100,TOR@BKN 01/04/2020 06:00PM ET,TOR,44.77
SF,Paul George (14076105),Paul George,14076105,SF/F/UTIL,8900,MEM@LAC 01/04/2020 03:30PM ET,LAC,40.49
PG,Kyle Lowry (14076108),Kyle Lowry,14076108,PG/G/UTIL,8700,TOR@BKN 01/04/2020 06:00PM ET,TOR,41.27
PG/SG,Spencer Dinwiddie (14076111),Spencer Dinwiddie,14076111,PG/SG/G/UTIL,8200,TOR@BKN 01/04/2020 06:00PM ET,BKN,38.09
PG/SG,Lou Williams (14076115),Lou Williams,14076115,PG/SG/G/UTIL,7700,MEM@LAC 01/04/2020 03:30PM ET,LAC,33.37
PF/C,Serge Ibaka (14076119),Serge Ibaka,14076119,PF/C/F/UTIL,7600,TOR@BKN 01/04/2020 06:00PM ET,TOR,29.02
PG/SG,Fred VanVleet (14076123),Fred VanVleet,14076123,PG/SG/G/UTIL,7300,TOR@BKN 01/04/2020 06:00PM ET,TOR,37.54
PF/C,Montrezl Harrell (14076127),Montrezl Harrell,14076127,PF/C/F/UTIL,6900,MEM@LAC 01/04/2020 03:30PM ET,LAC,33.56
PF/C,Jaren Jackson Jr. (14076131),Jaren Jackson Jr.,14076131,PF/C/F/UTIL,6500,MEM@LAC 01/04/2020 03:30PM ET,MEM,30.20
PG/SF,Caris LeVert (14076135),Caris LeVert,14076135,PG/SF/F/G/UTIL,6400,TOR@BKN 01/04/2020 06:00PM ET,BKN,29.58
C,Jonas Valanciunas (14076140),Jonas Valanciunas,14076140,C/UTIL,6300,MEM@LAC 01/04/2020 03:30PM ET,MEM,32.04
PG,Ja Morant (14076142),Ja Morant,14076142,PG/G/UTIL,6200,MEM@LAC 01/04/2020 03:30PM ET,MEM,32.96
SG/SF,Norman Powell (14076145),Norman Powell,14076145,SG/SF/F/G/UTIL,6000,TOR@BKN 01/04/2020 06:00PM ET,TOR,24.97
C,Jarrett Allen (14076150),Jarrett Allen,14076150,C/UTIL,5800,TOR@BKN 01/04/2020 06:00PM ET,BKN,30.53
SF/PF,Taurean Prince (14076152),Taurean Prince,14076152,SF/PF/F/UTIL,5500,TOR@BKN 01/04/2020 06:00PM ET,BKN,26.89
SG/SF,Joe Harris (14076156),Joe Harris,14076156,SG/SF/F/G/UTIL,5400,TOR@BKN 01/04/2020 06:00PM ET,BKN,25.40
C,Marc Gasol (14076161),Marc Gasol,14076161,C/UTIL,5300,TOR@BKN 01/04/2020 06:00PM ET,TOR,23.93
C,DeAndre Jordan (14076167),DeAndre Jordan,14076167,C/UTIL,5200,TOR@BKN 01/04/2020 06:00PM ET,BKN,26.32
SF/PF,OG Anunoby (14076163),OG Anunoby,14076163,SF/PF/F/UTIL,5100,TOR@BKN 01/04/2020 06:00PM ET,TOR,24.94
SF/PF,Moe Harkless (14076174),Moe Harkless,14076174,SF/PF/F/UTIL,5000,MEM@LAC 01/04/2020 03:30PM ET,LAC,15.79
SG/SF,Garrett Temple (14076169),Garrett Temple,14076169,SG/SF/F/G/UTIL,5000,TOR@BKN 01/04/2020 06:00PM ET,BKN,21.87
SF/PF,JaMychal Green (14076178),JaMychal Green,14076178,SF/PF/F/UTIL,4900,MEM@LAC 01/04/2020 03:30PM ET,LAC,18.34
C,Ivica Zubac (14076182),Ivica Zubac,14076182,C/UTIL,4800,MEM@LAC 01/04/2020 03:30PM ET,LAC,20.39
PG/SG,Patrick Beverley (14076184),Patrick Beverley,14076184,PG/SG/G/UTIL,4700,MEM@LAC 01/04/2020 03:30PM ET,LAC,24.80
PF/C,Brandon Clarke (14076188),Brandon Clarke,14076188,PF/C/F/UTIL,4600,MEM@LAC 01/04/2020 03:30PM ET,MEM,24.32
SF/PF,Rondae Hollis-Jefferson (14076192),Rondae Hollis-Jefferson,14076192,SF/PF/F/UTIL,4600,TOR@BKN 01/04/2020 06:00PM ET,TOR,19.32
SF/PF,Jae Crowder (14076196),Jae Crowder,14076196,SF/PF/F/UTIL,4500,MEM@LAC 01/04/2020 03:30PM ET,MEM,25.26
SG/SF,Dillon Brooks (14076200),Dillon Brooks,14076200,SG/SF/F/G/UTIL,4400,MEM@LAC 01/04/2020 03:30PM ET,MEM,24.29
PF/C,Chris Boucher (14076205),Chris Boucher,14076205,PF/C/F/UTIL,4200,TOR@BKN 01/04/2020 06:00PM ET,TOR,14.96
PG/SG,De'Anthony Melton (14076209),De'Anthony Melton,14076209,PG/SG/G/UTIL,4000,MEM@LAC 01/04/2020 03:30PM ET,MEM,19.34
PG/SG,Terence Davis (14076213),Terence Davis,14076213,PG/SG/G/UTIL,3900,TOR@BKN 01/04/2020 06:00PM ET,TOR,15.03
SG/SF,Landry Shamet (14076217),Landry Shamet,14076217,SG/SF/F/G/UTIL,3800,MEM@LAC 01/04/2020 03:30PM ET,LAC,16
SG/SF,Patrick McCaw (14076222),Patrick McCaw,14076222,SG/SF/F/G/UTIL,3700,TOR@BKN 01/04/2020 06:00PM ET,TOR,14.29
SG/SF,Timothe Luwawu-Cabarrot (14076227),Timothe Luwawu-Cabarrot,14076227,SG/SF/F/G/UTIL,3700,TOR@BKN 01/04/2020 06:00PM ET,BKN,10.46
SF/PF,Wilson Chandler (14076232),Wilson Chandler,14076232,SF/PF/F/UTIL,3600,TOR@BKN 01/04/2020 06:00PM ET,BKN,15.53
SF/PF,Rodions Kurucs (14076236),Rodions Kurucs,14076236,SF/PF/F/UTIL,3500,TOR@BKN 01/04/2020 06:00PM ET,BKN,7.72
PG/SG,Theo Pinson (14076240),Theo Pinson,14076240,PG/SG/G/UTIL,3500,TOR@BKN 01/04/2020 06:00PM ET,BKN,11.44
PG/SG,Tyus Jones (14076244),Tyus Jones,14076244,PG/SG/G/UTIL,3400,MEM@LAC 01/04/2020 03:30PM ET,MEM,17.34
SF/PF,Dzanan Musa (14076248),Dzanan Musa,14076248,SF/PF/F/UTIL,3400,TOR@BKN 01/04/2020 06:00PM ET,BKN,9.49
PG,Derrick Walton Jr. (14076252),Derrick Walton Jr.,14076252,PG/G/UTIL,3300,MEM@LAC 01/04/2020 03:30PM ET,LAC,5.51
SG/SF,Rodney McGruder (14076255),Rodney McGruder,14076255,SG/SF/F/G/UTIL,3200,MEM@LAC 01/04/2020 03:30PM ET,LAC,10.05
SF/PF,Kyle Anderson (14076260),Kyle Anderson,14076260,SF/PF/F/UTIL,3200,MEM@LAC 01/04/2020 03:30PM ET,MEM,16.11
SF/PF,Solomon Hill (14076267),Solomon Hill,14076267,SF/PF/F/UTIL,3100,MEM@LAC 01/04/2020 03:30PM ET,MEM,14.94
PG/SG,Grayson Allen (14076271),Grayson Allen,14076271,PG/SG/G/UTIL,3100,MEM@LAC 01/04/2020 03:30PM ET,MEM,14.2
SG,Jerome Robinson (14076275),Jerome Robinson,14076275,SG/G/UTIL,3100,MEM@LAC 01/04/2020 03:30PM ET,LAC,7.78
SG,David Nwaba (14076264),David Nwaba,14076264,SG/G/UTIL,3100,TOR@BKN 01/04/2020 06:00PM ET,BKN,11.01
PF/C,Patrick Patterson (14076278),Patrick Patterson,14076278,PF/C/F/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,LAC,11.51
PF/C,Johnathan Motley (14076282),Johnathan Motley,14076282,PF/C/F/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,LAC,2.83
PG/SG,Terance Mann (14076286),Terance Mann,14076286,PG/SG/G/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,LAC,6.58
PF/C,Mfiondu Kabengele (14076290),Mfiondu Kabengele,14076290,PF/C/F/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,LAC,4.7
PG/SF,Amir Coffey (14076294),Amir Coffey,14076294,PG/SF/F/G/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,LAC,0
SG/SF,Andre Iguodala (14076311),Andre Iguodala,14076311,SG/SF/F/G/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,MEM,0
PF/C,Bruno Caboclo (14076316),Bruno Caboclo,14076316,PF/C/F/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,MEM,8.38
SF/PF,Yuta Watanabe (14076320),Yuta Watanabe,14076320,SF/PF/F/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,MEM,3.81
SG,John Konchar (14076324),John Konchar,14076324,SG/G/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,MEM,0.62
SF/PF,Josh Jackson (14076327),Josh Jackson,14076327,SF/PF/F/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,MEM,0
SG/SF,Marko Guduric (14076331),Marko Guduric,14076331,SG/SF/F/G/UTIL,3000,MEM@LAC 01/04/2020 03:30PM ET,MEM,10.47
SF/PF,Kevin Durant (14076299),Kevin Durant,14076299,SF/PF/F/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,BKN,0
PF/C,Henry Ellenson (14076303),Henry Ellenson,14076303,PF/C/F/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,BKN,2.2
PF/C,Nicolas Claxton (14076307),Nicolas Claxton,14076307,PF/C/F/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,BKN,8.89
SG/SF,Malcolm Miller (14076336),Malcolm Miller,14076336,SG/SF/F/G/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,TOR,3.18
SG,Matt Thomas (14076341),Matt Thomas,14076341,SG/G/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,TOR,7.69
SF/PF,Stanley Johnson (14076344),Stanley Johnson,14076344,SF/PF/F/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,TOR,3.14
PF/C,Dewan Hernandez (14076348),Dewan Hernandez,14076348,PF/C/F/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,TOR,3.56
PG,Shamorie Ponds (14076352),Shamorie Ponds,14076352,PG/G/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,TOR,3.94
SF/PF,Oshae Brissett (14076355),Oshae Brissett,14076355,SF/PF/F/UTIL,3000,TOR@BKN 01/04/2020 06:00PM ET,TOR,3.83
