Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14187356),James Harden,14187356,PG/SG/G/UTIL,10600,HOU@DEN 01/26/2020 03:30PM ET,HOU,60.45
PG,Russell Westbrook (14187360),Russell Westbrook,14187360,PG/G/UTIL,10300,HOU@DEN 01/26/2020 03:30PM ET,HOU,50.68
C,Nikola Jokic (14187363),Nikola Jokic,14187363,C/UTIL,9600,HOU@DEN 01/26/2020 03:30PM ET,DEN,45.7
PG/SG,Fred VanVleet (14187365),Fred VanVleet,14187365,PG/SG/G/UTIL,8400,TOR@SA 01/26/2020 04:00PM ET,TOR,38.31
SG/SF,DeMar DeRozan (14187369),DeMar DeRozan,14187369,SG/SF/F/G/UTIL,8100,TOR@SA 01/26/2020 04:00PM ET,SA,39.04
C,Clint Capela (14187374),Clint Capela,14187374,C/UTIL,8000,HOU@DEN 01/26/2020 03:30PM ET,HOU,39.64
PF/C,Pascal Siakam (14187376),Pascal Siakam,14187376,PF/C/F/UTIL,7700,TOR@SA 01/26/2020 04:00PM ET,TOR,42.31
PG/SF,Will Barton (14187380),Will Barton,14187380,PG/SF/F/G/UTIL,7400,HOU@DEN 01/26/2020 03:30PM ET,DEN,32.55
PG,Kyle Lowry (14187385),Kyle Lowry,14187385,PG/G/UTIL,7200,TOR@SA 01/26/2020 04:00PM ET,TOR,40.68
PF/C,LaMarcus Aldridge (14187388),LaMarcus Aldridge,14187388,PF/C/F/UTIL,7000,TOR@SA 01/26/2020 04:00PM ET,SA,37.27
SF/PF,Michael Porter Jr. (14187392),Michael Porter Jr.,14187392,SF/PF/F/UTIL,6600,HOU@DEN 01/26/2020 03:30PM ET,DEN,14.96
PG,Jamal Murray (14187396),Jamal Murray,14187396,PG/G/UTIL,6300,HOU@DEN 01/26/2020 03:30PM ET,DEN,32.58
PF/C,Jerami Grant (14187399),Jerami Grant,14187399,PF/C/F/UTIL,6000,HOU@DEN 01/26/2020 03:30PM ET,DEN,19.28
SG/SF,Norman Powell (14187403),Norman Powell,14187403,SG/SF/F/G/UTIL,5600,TOR@SA 01/26/2020 04:00PM ET,TOR,26.65
SG/SF,Eric Gordon (14187408),Eric Gordon,14187408,SG/SF/F/G/UTIL,5300,HOU@DEN 01/26/2020 03:30PM ET,HOU,21.1
C,Serge Ibaka (14187413),Serge Ibaka,14187413,C/UTIL,5100,TOR@SA 01/26/2020 04:00PM ET,TOR,29.56
PG,Monte Morris (14187415),Monte Morris,14187415,PG/G/UTIL,4800,HOU@DEN 01/26/2020 03:30PM ET,DEN,16.59
PG/SG,Derrick White (14187418),Derrick White,14187418,PG/SG/G/UTIL,4700,TOR@SA 01/26/2020 04:00PM ET,SA,21.56
C,Marc Gasol (14187422),Marc Gasol,14187422,C/UTIL,4600,TOR@SA 01/26/2020 04:00PM ET,TOR,24.77
PF/C,Paul Millsap (14187424),Paul Millsap,14187424,PF/C/F/UTIL,4500,HOU@DEN 01/26/2020 03:30PM ET,DEN,24.34
PG,Dejounte Murray (14187428),Dejounte Murray,14187428,PG/G/UTIL,4400,TOR@SA 01/26/2020 04:00PM ET,SA,26.41
PF/C,Mason Plumlee (14187431),Mason Plumlee,14187431,PF/C/F/UTIL,4300,HOU@DEN 01/26/2020 03:30PM ET,DEN,19.55
SG/SF,Torrey Craig (14187435),Torrey Craig,14187435,SG/SF/F/G/UTIL,4200,HOU@DEN 01/26/2020 03:30PM ET,DEN,10.26
SG,Gary Harris (14187440),Gary Harris,14187440,SG/G/UTIL,4100,HOU@DEN 01/26/2020 03:30PM ET,DEN,21.19
SG/SF,Ben McLemore (14187443),Ben McLemore,14187443,SG/SF/F/G/UTIL,4000,HOU@DEN 01/26/2020 03:30PM ET,HOU,16.82
PF/C,P.J. Tucker (14187448),P.J. Tucker,14187448,PF/C/F/UTIL,3900,HOU@DEN 01/26/2020 03:30PM ET,HOU,22.22
PG/SG,Malik Beasley (14187452),Malik Beasley,14187452,PG/SG/G/UTIL,3800,HOU@DEN 01/26/2020 03:30PM ET,DEN,13.06
SF/PF,OG Anunoby (14187456),OG Anunoby,14187456,SF/PF/F/UTIL,3700,TOR@SA 01/26/2020 04:00PM ET,TOR,23.72
SF/PF,Rondae Hollis-Jefferson (14187460),Rondae Hollis-Jefferson,14187460,SF/PF/F/UTIL,3700,TOR@SA 01/26/2020 04:00PM ET,TOR,19.25
SF/PF,Danuel House Jr. (14187468),Danuel House Jr.,14187468,SF/PF/F/UTIL,3600,HOU@DEN 01/26/2020 03:30PM ET,HOU,20.16
PG/SG,Bryn Forbes (14187464),Bryn Forbes,14187464,PG/SG/G/UTIL,3600,TOR@SA 01/26/2020 04:00PM ET,SA,18.36
PG/SG,Patty Mills (14187472),Patty Mills,14187472,PG/SG/G/UTIL,3500,TOR@SA 01/26/2020 04:00PM ET,SA,19.03
PF/C,Trey Lyles (14187476),Trey Lyles,14187476,PF/C/F/UTIL,3500,TOR@SA 01/26/2020 04:00PM ET,SA,15.02
