Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,D'Angelo Russell (14208060),D'Angelo Russell,14208060,CPT,15300,GS@BOS 01/30/2020 08:00PM ET,GS,40.69
PG,Kemba Walker (14208061),Kemba Walker,14208061,CPT,15000,GS@BOS 01/30/2020 08:00PM ET,BOS,38.74
SF/PF,Jayson Tatum (14208062),Jayson Tatum,14208062,CPT,14400,GS@BOS 01/30/2020 08:00PM ET,BOS,39.19
SF/PF,Gordon Hayward (14208063),Gordon Hayward,14208063,CPT,14100,GS@BOS 01/30/2020 08:00PM ET,BOS,33.11
SG/SF,Jaylen Brown (14208064),Jaylen Brown,14208064,CPT,13800,GS@BOS 01/30/2020 08:00PM ET,BOS,34.86
PG,Stephen Curry (14208065),Stephen Curry,14208065,CPT,13500,GS@BOS 01/30/2020 08:00PM ET,GS,39.38
PG/SG,Marcus Smart (14208066),Marcus Smart,14208066,CPT,12600,GS@BOS 01/30/2020 08:00PM ET,BOS,28.26
C,Daniel Theis (14208067),Daniel Theis,14208067,CPT,12000,GS@BOS 01/30/2020 08:00PM ET,BOS,22.51
PG/SF,Draymond Green (14208068),Draymond Green,14208068,CPT,11100,GS@BOS 01/30/2020 08:00PM ET,GS,29.4
PG/SG,D'Angelo Russell (14208028),D'Angelo Russell,14208028,UTIL,10200,GS@BOS 01/30/2020 08:00PM ET,GS,40.69
PG,Kemba Walker (14208029),Kemba Walker,14208029,UTIL,10000,GS@BOS 01/30/2020 08:00PM ET,BOS,38.74
PG/SG,Alec Burks (14208069),Alec Burks,14208069,CPT,9900,GS@BOS 01/30/2020 08:00PM ET,GS,29.42
SF/PF,Jayson Tatum (14208030),Jayson Tatum,14208030,UTIL,9600,GS@BOS 01/30/2020 08:00PM ET,BOS,39.19
SF/PF,Gordon Hayward (14208031),Gordon Hayward,14208031,UTIL,9400,GS@BOS 01/30/2020 08:00PM ET,BOS,33.11
