Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14195824),Joel Embiid,14195824,CPT,19200,GS@PHI 01/28/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14195825),Ben Simmons,14195825,CPT,18900,GS@PHI 01/28/2020 07:00PM ET,PHI,43.94
PG/SG,D'Angelo Russell (14195826),D'Angelo Russell,14195826,CPT,15600,GS@PHI 01/28/2020 07:00PM ET,GS,40.36
SF/PF,Tobias Harris (14195827),Tobias Harris,14195827,CPT,15300,GS@PHI 01/28/2020 07:00PM ET,PHI,35.44
PG,Stephen Curry (14195828),Stephen Curry,14195828,CPT,15000,GS@PHI 01/28/2020 07:00PM ET,GS,39.38
PF/C,Al Horford (14195829),Al Horford,14195829,CPT,14400,GS@PHI 01/28/2020 07:00PM ET,PHI,30.78
SG/SF,Josh Richardson (14195830),Josh Richardson,14195830,CPT,13500,GS@PHI 01/28/2020 07:00PM ET,PHI,27.09
PG/SG,Alec Burks (14195831),Alec Burks,14195831,CPT,12900,GS@PHI 01/28/2020 07:00PM ET,GS,29.56
C,Joel Embiid (14195792),Joel Embiid,14195792,UTIL,12800,GS@PHI 01/28/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14195793),Ben Simmons,14195793,UTIL,12600,GS@PHI 01/28/2020 07:00PM ET,PHI,43.94
PG/SF,Draymond Green (14195832),Draymond Green,14195832,CPT,11700,GS@PHI 01/28/2020 07:00PM ET,GS,28.90
SF/PF,Eric Paschall (14195833),Eric Paschall,14195833,CPT,10500,GS@PHI 01/28/2020 07:00PM ET,GS,23.87
PG/SG,D'Angelo Russell (14195794),D'Angelo Russell,14195794,UTIL,10400,GS@PHI 01/28/2020 07:00PM ET,GS,40.36
SF/PF,Tobias Harris (14195795),Tobias Harris,14195795,UTIL,10200,GS@PHI 01/28/2020 07:00PM ET,PHI,35.44
PG,Stephen Curry (14195796),Stephen Curry,14195796,UTIL,10000,GS@PHI 01/28/2020 07:00PM ET,GS,39.38
PF/C,Al Horford (14195797),Al Horford,14195797,UTIL,9600,GS@PHI 01/28/2020 07:00PM ET,PHI,30.78
SG/SF,Damion Lee (14195834),Damion Lee,14195834,CPT,9300,GS@PHI 01/28/2020 07:00PM ET,GS,24.18
SG/SF,Josh Richardson (14195798),Josh Richardson,14195798,UTIL,9000,GS@PHI 01/28/2020 07:00PM ET,PHI,27.09
PG/SG,Alec Burks (14195799),Alec Burks,14195799,UTIL,8600,GS@PHI 01/28/2020 07:00PM ET,GS,29.56
SG/SF,Matisse Thybulle (14195835),Matisse Thybulle,14195835,CPT,8100,GS@PHI 01/28/2020 07:00PM ET,PHI,13.68
PG/SF,Draymond Green (14195800),Draymond Green,14195800,UTIL,7800,GS@PHI 01/28/2020 07:00PM ET,GS,28.90
SG/SF,Glenn Robinson III (14195836),Glenn Robinson III,14195836,CPT,7800,GS@PHI 01/28/2020 07:00PM ET,GS,23.34
PF/C,Marquese Chriss (14195837),Marquese Chriss,14195837,CPT,7500,GS@PHI 01/28/2020 07:00PM ET,GS,19.48
PF/C,Omari Spellman (14195838),Omari Spellman,14195838,CPT,7200,GS@PHI 01/28/2020 07:00PM ET,GS,17.30
SF/PF,Eric Paschall (14195801),Eric Paschall,14195801,UTIL,7000,GS@PHI 01/28/2020 07:00PM ET,GS,23.87
PG/SG,Shake Milton (14195839),Shake Milton,14195839,CPT,6900,GS@PHI 01/28/2020 07:00PM ET,PHI,8.71
SG/SF,Damion Lee (14195802),Damion Lee,14195802,UTIL,6200,GS@PHI 01/28/2020 07:00PM ET,GS,24.18
SG,Furkan Korkmaz (14195840),Furkan Korkmaz,14195840,CPT,5700,GS@PHI 01/28/2020 07:00PM ET,PHI,14.84
SG/SF,Matisse Thybulle (14195803),Matisse Thybulle,14195803,UTIL,5400,GS@PHI 01/28/2020 07:00PM ET,PHI,13.68
