Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Damian Lillard (14161612),Damian Lillard,14161612,CPT,15300,GS@POR 01/20/2020 10:00PM ET,POR,46.80
PG,Stephen Curry (14161613),Stephen Curry,14161613,CPT,13800,GS@POR 01/20/2020 10:00PM ET,GS,39.38
PG/SG,D'Angelo Russell (14161614),D'Angelo Russell,14161614,CPT,13500,GS@POR 01/20/2020 10:00PM ET,GS,39.78
C,Hassan Whiteside (14161615),Hassan Whiteside,14161615,CPT,12900,GS@POR 01/20/2020 10:00PM ET,POR,41.67
PG/SG,CJ McCollum (14161616),CJ McCollum,14161616,CPT,12300,GS@POR 01/20/2020 10:00PM ET,POR,35.56
SF/PF,Carmelo Anthony (14161617),Carmelo Anthony,14161617,CPT,11400,GS@POR 01/20/2020 10:00PM ET,POR,28.94
SG/SF,Damion Lee (14161618),Damion Lee,14161618,CPT,10500,GS@POR 01/20/2020 10:00PM ET,GS,24.98
PG,Damian Lillard (14161579),Damian Lillard,14161579,UTIL,10200,GS@POR 01/20/2020 10:00PM ET,POR,46.80
PG/SF,Draymond Green (14161619),Draymond Green,14161619,CPT,10200,GS@POR 01/20/2020 10:00PM ET,GS,29.10
PG/SG,Alec Burks (14161620),Alec Burks,14161620,CPT,9900,GS@POR 01/20/2020 10:00PM ET,GS,29.05
SF/PF,Eric Paschall (14161621),Eric Paschall,14161621,CPT,9600,GS@POR 01/20/2020 10:00PM ET,GS,23.42
PG,Stephen Curry (14161580),Stephen Curry,14161580,UTIL,9200,GS@POR 01/20/2020 10:00PM ET,GS,39.38
PG/SG,D'Angelo Russell (14161581),D'Angelo Russell,14161581,UTIL,9000,GS@POR 01/20/2020 10:00PM ET,GS,39.78
C,Jusuf Nurkic (14161622),Jusuf Nurkic,14161622,CPT,8700,GS@POR 01/20/2020 10:00PM ET,POR,0
C,Hassan Whiteside (14161582),Hassan Whiteside,14161582,UTIL,8600,GS@POR 01/20/2020 10:00PM ET,POR,41.67
SG/SF,Glenn Robinson III (14161623),Glenn Robinson III,14161623,CPT,8400,GS@POR 01/20/2020 10:00PM ET,GS,23.30
PG/SG,CJ McCollum (14161583),CJ McCollum,14161583,UTIL,8200,GS@POR 01/20/2020 10:00PM ET,POR,35.56
SF/PF,Carmelo Anthony (14161584),Carmelo Anthony,14161584,UTIL,7600,GS@POR 01/20/2020 10:00PM ET,POR,28.94
PF/C,Omari Spellman (14161624),Omari Spellman,14161624,CPT,7500,GS@POR 01/20/2020 10:00PM ET,GS,17.58
SG/SF,Damion Lee (14161585),Damion Lee,14161585,UTIL,7000,GS@POR 01/20/2020 10:00PM ET,GS,24.98
PG/SF,Draymond Green (14161586),Draymond Green,14161586,UTIL,6800,GS@POR 01/20/2020 10:00PM ET,GS,29.10
PG/SG,Alec Burks (14161587),Alec Burks,14161587,UTIL,6600,GS@POR 01/20/2020 10:00PM ET,GS,29.05
C,Willie Cauley-Stein (14161625),Willie Cauley-Stein,14161625,CPT,6600,GS@POR 01/20/2020 10:00PM ET,GS,22.15
SF/PF,Eric Paschall (14161588),Eric Paschall,14161588,UTIL,6400,GS@POR 01/20/2020 10:00PM ET,GS,23.42
PG/SG,Anfernee Simons (14161626),Anfernee Simons,14161626,CPT,6000,GS@POR 01/20/2020 10:00PM ET,POR,15.91
C,Jusuf Nurkic (14161589),Jusuf Nurkic,14161589,UTIL,5800,GS@POR 01/20/2020 10:00PM ET,POR,0
SF/PF,Trevor Ariza (14161627),Trevor Ariza,14161627,CPT,5700,GS@POR 01/20/2020 10:00PM ET,POR,16.97
SG/SF,Glenn Robinson III (14161590),Glenn Robinson III,14161590,UTIL,5600,GS@POR 01/20/2020 10:00PM ET,GS,23.30
PF/C,Omari Spellman (14161591),Omari Spellman,14161591,UTIL,5000,GS@POR 01/20/2020 10:00PM ET,GS,17.58
SF/PF,Mario Hezonja (14161628),Mario Hezonja,14161628,CPT,4800,GS@POR 01/20/2020 10:00PM ET,POR,12.09
PF/C,Marquese Chriss (14161629),Marquese Chriss,14161629,CPT,4500,GS@POR 01/20/2020 10:00PM ET,GS,19.11
C,Willie Cauley-Stein (14161592),Willie Cauley-Stein,14161592,UTIL,4400,GS@POR 01/20/2020 10:00PM ET,GS,22.15
SG,Jordan Poole (14161630),Jordan Poole,14161630,CPT,4200,GS@POR 01/20/2020 10:00PM ET,GS,14.72
PG/SG,Anfernee Simons (14161593),Anfernee Simons,14161593,UTIL,4000,GS@POR 01/20/2020 10:00PM ET,POR,15.91
PF/C,Zach Collins (14161631),Zach Collins,14161631,CPT,3900,GS@POR 01/20/2020 10:00PM ET,POR,17.83
SF/PF,Trevor Ariza (14161594),Trevor Ariza,14161594,UTIL,3800,GS@POR 01/20/2020 10:00PM ET,POR,16.97
SF/PF,Mario Hezonja (14161595),Mario Hezonja,14161595,UTIL,3200,GS@POR 01/20/2020 10:00PM ET,POR,12.09
PF/C,Marquese Chriss (14161596),Marquese Chriss,14161596,UTIL,3000,GS@POR 01/20/2020 10:00PM ET,GS,19.11
SG,Gary Trent Jr. (14161632),Gary Trent Jr.,14161632,CPT,3000,GS@POR 01/20/2020 10:00PM ET,POR,9.61
SG,Jordan Poole (14161597),Jordan Poole,14161597,UTIL,2800,GS@POR 01/20/2020 10:00PM ET,GS,14.72
SF/PF,Nassir Little (14161633),Nassir Little,14161633,CPT,2700,GS@POR 01/20/2020 10:00PM ET,POR,8.58
PF/C,Zach Collins (14161598),Zach Collins,14161598,UTIL,2600,GS@POR 01/20/2020 10:00PM ET,POR,17.83
SF/PF,Jaylen Hoard (14161634),Jaylen Hoard,14161634,CPT,2400,GS@POR 01/20/2020 10:00PM ET,POR,6.48
PF/C,Alen Smailagic (14161635),Alen Smailagic,14161635,CPT,2100,GS@POR 01/20/2020 10:00PM ET,GS,9.78
SG,Gary Trent Jr. (14161599),Gary Trent Jr.,14161599,UTIL,2000,GS@POR 01/20/2020 10:00PM ET,POR,9.61
SF/PF,Nassir Little (14161600),Nassir Little,14161600,UTIL,1800,GS@POR 01/20/2020 10:00PM ET,POR,8.58
PF/C,Kevon Looney (14161636),Kevon Looney,14161636,CPT,1800,GS@POR 01/20/2020 10:00PM ET,GS,7.58
SF/PF,Jaylen Hoard (14161601),Jaylen Hoard,14161601,UTIL,1600,GS@POR 01/20/2020 10:00PM ET,POR,6.48
SG,Rodney Hood (14161637),Rodney Hood,14161637,CPT,1500,GS@POR 01/20/2020 10:00PM ET,POR,19.90
PG,Ky Bowman (14161638),Ky Bowman,14161638,CPT,1500,GS@POR 01/20/2020 10:00PM ET,GS,16.78
C,Moses Brown (14161639),Moses Brown,14161639,CPT,1500,GS@POR 01/20/2020 10:00PM ET,POR,3.92
PF,Wenyen Gabriel (14161640),Wenyen Gabriel,14161640,CPT,1500,GS@POR 01/20/2020 10:00PM ET,POR,4
C,Skal Labissiere (14161641),Skal Labissiere,14161641,CPT,1500,GS@POR 01/20/2020 10:00PM ET,POR,15.97
PG/SF,Jacob Evans III (14161642),Jacob Evans III,14161642,CPT,1500,GS@POR 01/20/2020 10:00PM ET,GS,8.82
C,Caleb Swanigan (14161643),Caleb Swanigan,14161643,CPT,1500,GS@POR 01/20/2020 10:00PM ET,POR,2.82
SG,Klay Thompson (14161644),Klay Thompson,14161644,CPT,1500,GS@POR 01/20/2020 10:00PM ET,GS,0
PF/C,Alen Smailagic (14161602),Alen Smailagic,14161602,UTIL,1400,GS@POR 01/20/2020 10:00PM ET,GS,9.78
PF/C,Kevon Looney (14161603),Kevon Looney,14161603,UTIL,1200,GS@POR 01/20/2020 10:00PM ET,GS,7.58
SG,Rodney Hood (14161604),Rodney Hood,14161604,UTIL,1000,GS@POR 01/20/2020 10:00PM ET,POR,19.90
