Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,De'Aaron Fox (14089316),De'Aaron Fox,14089316,CPT,14100,GS@SAC 01/06/2020 10:00PM ET,SAC,35.21
PG,Stephen Curry (14089317),Stephen Curry,14089317,CPT,13200,GS@SAC 01/06/2020 10:00PM ET,GS,39.38
PG/SG,D'Angelo Russell (14089318),D'Angelo Russell,14089318,CPT,12900,GS@SAC 01/06/2020 10:00PM ET,GS,39.14
SG/SF,Buddy Hield (14089319),Buddy Hield,14089319,CPT,12600,GS@SAC 01/06/2020 10:00PM ET,SAC,34.65
PF/C,Richaun Holmes (14089320),Richaun Holmes,14089320,CPT,11400,GS@SAC 01/06/2020 10:00PM ET,SAC,30.35
PG/SG,Alec Burks (14089321),Alec Burks,14089321,CPT,10800,GS@SAC 01/06/2020 10:00PM ET,GS,29.21
PF/C,Marvin Bagley III (14089322),Marvin Bagley III,14089322,CPT,10500,GS@SAC 01/06/2020 10:00PM ET,SAC,25.72
SG/SF,Damion Lee (14089323),Damion Lee,14089323,CPT,10200,GS@SAC 01/06/2020 10:00PM ET,GS,24.39
PG/SF,Draymond Green (14089324),Draymond Green,14089324,CPT,9900,GS@SAC 01/06/2020 10:00PM ET,GS,29.43
SF/PF,Harrison Barnes (14089325),Harrison Barnes,14089325,CPT,9600,GS@SAC 01/06/2020 10:00PM ET,SAC,27.01
PG,De'Aaron Fox (14089283),De'Aaron Fox,14089283,UTIL,9400,GS@SAC 01/06/2020 10:00PM ET,SAC,35.21
PF,Nemanja Bjelica (14089326),Nemanja Bjelica,14089326,CPT,9300,GS@SAC 01/06/2020 10:00PM ET,SAC,26.24
SG/SF,Bogdan Bogdanovic (14089327),Bogdan Bogdanovic,14089327,CPT,9000,GS@SAC 01/06/2020 10:00PM ET,SAC,26.64
PG,Stephen Curry (14089284),Stephen Curry,14089284,UTIL,8800,GS@SAC 01/06/2020 10:00PM ET,GS,39.38
PG/SG,D'Angelo Russell (14089285),D'Angelo Russell,14089285,UTIL,8600,GS@SAC 01/06/2020 10:00PM ET,GS,39.14
SG/SF,Buddy Hield (14089286),Buddy Hield,14089286,UTIL,8400,GS@SAC 01/06/2020 10:00PM ET,SAC,34.65
PF/C,Marquese Chriss (14089328),Marquese Chriss,14089328,CPT,8400,GS@SAC 01/06/2020 10:00PM ET,GS,19.51
