Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kawhi Leonard (14110850),Kawhi Leonard,14110850,CPT,16500,GS@LAC 01/10/2020 10:30PM ET,LAC,46.73
SG/SF,Paul George (14110851),Paul George,14110851,CPT,14700,GS@LAC 01/10/2020 10:30PM ET,LAC,40.64
PG,Stephen Curry (14110852),Stephen Curry,14110852,CPT,13800,GS@LAC 01/10/2020 10:30PM ET,GS,39.38
PG/SG,Lou Williams (14110853),Lou Williams,14110853,CPT,13200,GS@LAC 01/10/2020 10:30PM ET,LAC,33.85
PG/SG,D'Angelo Russell (14110854),D'Angelo Russell,14110854,CPT,12600,GS@LAC 01/10/2020 10:30PM ET,GS,39.14
PF/C,Montrezl Harrell (14110855),Montrezl Harrell,14110855,CPT,11700,GS@LAC 01/10/2020 10:30PM ET,LAC,34.10
SF/PF,Kawhi Leonard (14110818),Kawhi Leonard,14110818,UTIL,11000,GS@LAC 01/10/2020 10:30PM ET,LAC,46.73
PG/SG,Alec Burks (14110856),Alec Burks,14110856,CPT,10500,GS@LAC 01/10/2020 10:30PM ET,GS,29.31
PG/SF,Draymond Green (14110857),Draymond Green,14110857,CPT,10200,GS@LAC 01/10/2020 10:30PM ET,GS,29.5
SG/SF,Paul George (14110819),Paul George,14110819,UTIL,9800,GS@LAC 01/10/2020 10:30PM ET,LAC,40.64
SG/SF,Damion Lee (14110858),Damion Lee,14110858,CPT,9600,GS@LAC 01/10/2020 10:30PM ET,GS,24.45
SF/PF,JaMychal Green (14110859),JaMychal Green,14110859,CPT,9300,GS@LAC 01/10/2020 10:30PM ET,LAC,18.46
PG,Stephen Curry (14110820),Stephen Curry,14110820,UTIL,9200,GS@LAC 01/10/2020 10:30PM ET,GS,39.38
PG/SG,Patrick Beverley (14110860),Patrick Beverley,14110860,CPT,9000,GS@LAC 01/10/2020 10:30PM ET,LAC,24.75
PG/SG,Lou Williams (14110821),Lou Williams,14110821,UTIL,8800,GS@LAC 01/10/2020 10:30PM ET,LAC,33.85
PG/SG,D'Angelo Russell (14110822),D'Angelo Russell,14110822,UTIL,8400,GS@LAC 01/10/2020 10:30PM ET,GS,39.14
PF/C,Montrezl Harrell (14110823),Montrezl Harrell,14110823,UTIL,7800,GS@LAC 01/10/2020 10:30PM ET,LAC,34.10
SG/SF,Glenn Robinson III (14110861),Glenn Robinson III,14110861,CPT,7800,GS@LAC 01/10/2020 10:30PM ET,GS,22.85
C,Willie Cauley-Stein (14110862),Willie Cauley-Stein,14110862,CPT,7500,GS@LAC 01/10/2020 10:30PM ET,GS,22.85
SF/PF,Moe Harkless (14110863),Moe Harkless,14110863,CPT,7200,GS@LAC 01/10/2020 10:30PM ET,LAC,15.39
PG/SG,Alec Burks (14110824),Alec Burks,14110824,UTIL,7000,GS@LAC 01/10/2020 10:30PM ET,GS,29.31
C,Ivica Zubac (14110864),Ivica Zubac,14110864,CPT,6900,GS@LAC 01/10/2020 10:30PM ET,LAC,20.06
