Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Rudy Gobert (13962001),Rudy Gobert,13962001,CPT,16200,GS@UTA 12/13/2019 09:00PM ET,UTA,39.06
PG,Stephen Curry (13962002),Stephen Curry,13962002,CPT,15900,GS@UTA 12/13/2019 09:00PM ET,GS,39.38
PG/SG,Donovan Mitchell (13962003),Donovan Mitchell,13962003,CPT,15300,GS@UTA 12/13/2019 09:00PM ET,UTA,39.31
PG/SG,D'Angelo Russell (13962004),D'Angelo Russell,13962004,CPT,14700,GS@UTA 12/13/2019 09:00PM ET,GS,38.84
PG/SF,Draymond Green (13962005),Draymond Green,13962005,CPT,12900,GS@UTA 12/13/2019 09:00PM ET,GS,30.37
SF/PF,Bojan Bogdanovic (13962006),Bojan Bogdanovic,13962006,CPT,12000,GS@UTA 12/13/2019 09:00PM ET,UTA,30.70
SG/SF,Joe Ingles (13962007),Joe Ingles,13962007,CPT,11700,GS@UTA 12/13/2019 09:00PM ET,UTA,21.42
C,Rudy Gobert (13961968),Rudy Gobert,13961968,UTIL,10800,GS@UTA 12/13/2019 09:00PM ET,UTA,39.06
PG/SG,Alec Burks (13962008),Alec Burks,13962008,CPT,10800,GS@UTA 12/13/2019 09:00PM ET,GS,27.98
PG,Stephen Curry (13961969),Stephen Curry,13961969,UTIL,10600,GS@UTA 12/13/2019 09:00PM ET,GS,39.38
PG,Mike Conley (13962009),Mike Conley,13962009,CPT,10500,GS@UTA 12/13/2019 09:00PM ET,UTA,26.82
PG/SG,Donovan Mitchell (13961970),Donovan Mitchell,13961970,UTIL,10200,GS@UTA 12/13/2019 09:00PM ET,UTA,39.31
PG/SG,D'Angelo Russell (13961971),D'Angelo Russell,13961971,UTIL,9800,GS@UTA 12/13/2019 09:00PM ET,GS,38.84
SF/PF,Eric Paschall (13962010),Eric Paschall,13962010,CPT,9300,GS@UTA 12/13/2019 09:00PM ET,GS,26.04
SG/SF,Glenn Robinson III (13962011),Glenn Robinson III,13962011,CPT,8700,GS@UTA 12/13/2019 09:00PM ET,GS,22.88
PG/SF,Draymond Green (13961972),Draymond Green,13961972,UTIL,8600,GS@UTA 12/13/2019 09:00PM ET,GS,30.37
C,Willie Cauley-Stein (13962012),Willie Cauley-Stein,13962012,CPT,8100,GS@UTA 12/13/2019 09:00PM ET,GS,22.60
SF/PF,Bojan Bogdanovic (13961973),Bojan Bogdanovic,13961973,UTIL,8000,GS@UTA 12/13/2019 09:00PM ET,UTA,30.70
SG/SF,Joe Ingles (13961974),Joe Ingles,13961974,UTIL,7800,GS@UTA 12/13/2019 09:00PM ET,UTA,21.42
PG/SG,Alec Burks (13961975),Alec Burks,13961975,UTIL,7200,GS@UTA 12/13/2019 09:00PM ET,GS,27.98
PG,Mike Conley (13961976),Mike Conley,13961976,UTIL,7000,GS@UTA 12/13/2019 09:00PM ET,UTA,26.82
PF/C,Marquese Chriss (13962013),Marquese Chriss,13962013,CPT,6600,GS@UTA 12/13/2019 09:00PM ET,GS,19.06
PG,Emmanuel Mudiay (13962014),Emmanuel Mudiay,13962014,CPT,6300,GS@UTA 12/13/2019 09:00PM ET,UTA,14.62
SF/PF,Eric Paschall (13961977),Eric Paschall,13961977,UTIL,6200,GS@UTA 12/13/2019 09:00PM ET,GS,26.04
SF,Royce O'Neale (13962015),Royce O'Neale,13962015,CPT,6000,GS@UTA 12/13/2019 09:00PM ET,UTA,17.78
SG/SF,Glenn Robinson III (13961978),Glenn Robinson III,13961978,UTIL,5800,GS@UTA 12/13/2019 09:00PM ET,GS,22.88
PG,Ky Bowman (13962016),Ky Bowman,13962016,CPT,5700,GS@UTA 12/13/2019 09:00PM ET,GS,17.93
C,Willie Cauley-Stein (13961979),Willie Cauley-Stein,13961979,UTIL,5400,GS@UTA 12/13/2019 09:00PM ET,GS,22.60
SF/PF,Jeff Green (13962017),Jeff Green,13962017,CPT,4800,GS@UTA 12/13/2019 09:00PM ET,UTA,14.39
PF/C,Marquese Chriss (13961980),Marquese Chriss,13961980,UTIL,4400,GS@UTA 12/13/2019 09:00PM ET,GS,19.06
PG,Emmanuel Mudiay (13961981),Emmanuel Mudiay,13961981,UTIL,4200,GS@UTA 12/13/2019 09:00PM ET,UTA,14.62
SF,Royce O'Neale (13961982),Royce O'Neale,13961982,UTIL,4000,GS@UTA 12/13/2019 09:00PM ET,UTA,17.78
PG,Ky Bowman (13961983),Ky Bowman,13961983,UTIL,3800,GS@UTA 12/13/2019 09:00PM ET,GS,17.93
