Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14027158),James Harden,14027158,CPT,21000,HOU@GS 12/25/2019 05:00PM ET,HOU,62.7
PG,Russell Westbrook (14027159),Russell Westbrook,14027159,CPT,16800,HOU@GS 12/25/2019 05:00PM ET,HOU,48.39
PG,Stephen Curry (14027160),Stephen Curry,14027160,CPT,15900,HOU@GS 12/25/2019 05:00PM ET,GS,39.38
C,Clint Capela (14027161),Clint Capela,14027161,CPT,14100,HOU@GS 12/25/2019 05:00PM ET,HOU,39.95
PG/SG,James Harden (14027126),James Harden,14027126,UTIL,14000,HOU@GS 12/25/2019 05:00PM ET,HOU,62.7
PG/SG,D'Angelo Russell (14027162),D'Angelo Russell,14027162,CPT,13800,HOU@GS 12/25/2019 05:00PM ET,GS,38.21
PG/SF,Draymond Green (14027163),Draymond Green,14027163,CPT,12600,HOU@GS 12/25/2019 05:00PM ET,GS,29.55
PG/SG,Alec Burks (14027164),Alec Burks,14027164,CPT,11400,HOU@GS 12/25/2019 05:00PM ET,GS,29.35
PG,Russell Westbrook (14027127),Russell Westbrook,14027127,UTIL,11200,HOU@GS 12/25/2019 05:00PM ET,HOU,48.39
PG,Stephen Curry (14027128),Stephen Curry,14027128,UTIL,10600,HOU@GS 12/25/2019 05:00PM ET,GS,39.38
SG/SF,Damion Lee (14027165),Damion Lee,14027165,CPT,10500,HOU@GS 12/25/2019 05:00PM ET,GS,20.79
C,Clint Capela (14027129),Clint Capela,14027129,UTIL,9400,HOU@GS 12/25/2019 05:00PM ET,HOU,39.95
SG/SF,Glenn Robinson III (14027166),Glenn Robinson III,14027166,CPT,9300,HOU@GS 12/25/2019 05:00PM ET,GS,22.38
PG/SG,D'Angelo Russell (14027130),D'Angelo Russell,14027130,UTIL,9200,HOU@GS 12/25/2019 05:00PM ET,GS,38.21
PG/SF,Draymond Green (14027131),Draymond Green,14027131,UTIL,8400,HOU@GS 12/25/2019 05:00PM ET,GS,29.55
PF/C,P.J. Tucker (14027167),P.J. Tucker,14027167,CPT,8100,HOU@GS 12/25/2019 05:00PM ET,HOU,25.02
C,Willie Cauley-Stein (14027168),Willie Cauley-Stein,14027168,CPT,7800,HOU@GS 12/25/2019 05:00PM ET,GS,23.29
