Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (13993789),James Harden,13993789,CPT,20400,HOU@LAC 12/19/2019 10:30PM ET,HOU,63.18
PG,Russell Westbrook (13993790),Russell Westbrook,13993790,CPT,15600,HOU@LAC 12/19/2019 10:30PM ET,HOU,47.59
SF/PF,Kawhi Leonard (13993791),Kawhi Leonard,13993791,CPT,15300,HOU@LAC 12/19/2019 10:30PM ET,LAC,47.19
SF,Paul George (13993792),Paul George,13993792,CPT,14100,HOU@LAC 12/19/2019 10:30PM ET,LAC,41.72
PG/SG,James Harden (13993756),James Harden,13993756,UTIL,13600,HOU@LAC 12/19/2019 10:30PM ET,HOU,63.18
C,Clint Capela (13993793),Clint Capela,13993793,CPT,12900,HOU@LAC 12/19/2019 10:30PM ET,HOU,40.02
PF/C,Montrezl Harrell (13993794),Montrezl Harrell,13993794,CPT,11700,HOU@LAC 12/19/2019 10:30PM ET,LAC,34.66
PG/SG,Lou Williams (13993795),Lou Williams,13993795,CPT,10500,HOU@LAC 12/19/2019 10:30PM ET,LAC,34.13
PG,Russell Westbrook (13993757),Russell Westbrook,13993757,UTIL,10400,HOU@LAC 12/19/2019 10:30PM ET,HOU,47.59
SF/PF,Kawhi Leonard (13993758),Kawhi Leonard,13993758,UTIL,10200,HOU@LAC 12/19/2019 10:30PM ET,LAC,47.19
SF,Paul George (13993759),Paul George,13993759,UTIL,9400,HOU@LAC 12/19/2019 10:30PM ET,LAC,41.72
SF/PF,P.J. Tucker (13993796),P.J. Tucker,13993796,CPT,9300,HOU@LAC 12/19/2019 10:30PM ET,HOU,24.92
C,Clint Capela (13993760),Clint Capela,13993760,UTIL,8600,HOU@LAC 12/19/2019 10:30PM ET,HOU,40.02
SG/SF,Ben McLemore (13993797),Ben McLemore,13993797,CPT,8100,HOU@LAC 12/19/2019 10:30PM ET,HOU,17.93
