Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14130572),James Harden,14130572,CPT,21000,HOU@MEM 01/14/2020 08:00PM ET,HOU,62.80
PG,Russell Westbrook (14130573),Russell Westbrook,14130573,CPT,16500,HOU@MEM 01/14/2020 08:00PM ET,HOU,48.08
C,Clint Capela (14130574),Clint Capela,14130574,CPT,14700,HOU@MEM 01/14/2020 08:00PM ET,HOU,40.22
PG,Ja Morant (14130575),Ja Morant,14130575,CPT,14100,HOU@MEM 01/14/2020 08:00PM ET,MEM,33.97
PG/SG,James Harden (14130539),James Harden,14130539,UTIL,14000,HOU@MEM 01/14/2020 08:00PM ET,HOU,62.80
C,Jonas Valanciunas (14130576),Jonas Valanciunas,14130576,CPT,13200,HOU@MEM 01/14/2020 08:00PM ET,MEM,33.28
PF/C,Jaren Jackson Jr. (14130577),Jaren Jackson Jr.,14130577,CPT,12300,HOU@MEM 01/14/2020 08:00PM ET,MEM,31.15
SG/SF,Dillon Brooks (14130578),Dillon Brooks,14130578,CPT,11100,HOU@MEM 01/14/2020 08:00PM ET,MEM,24.96
PG,Russell Westbrook (14130540),Russell Westbrook,14130540,UTIL,11000,HOU@MEM 01/14/2020 08:00PM ET,HOU,48.08
PF/C,Brandon Clarke (14130579),Brandon Clarke,14130579,CPT,9900,HOU@MEM 01/14/2020 08:00PM ET,MEM,24.04
C,Clint Capela (14130541),Clint Capela,14130541,UTIL,9800,HOU@MEM 01/14/2020 08:00PM ET,HOU,40.22
PG,Ja Morant (14130542),Ja Morant,14130542,UTIL,9400,HOU@MEM 01/14/2020 08:00PM ET,MEM,33.97
C,Jonas Valanciunas (14130543),Jonas Valanciunas,14130543,UTIL,8800,HOU@MEM 01/14/2020 08:00PM ET,MEM,33.28
SG/SF,Eric Gordon (14130580),Eric Gordon,14130580,CPT,8700,HOU@MEM 01/14/2020 08:00PM ET,HOU,18.55
PF/C,Jaren Jackson Jr. (14130544),Jaren Jackson Jr.,14130544,UTIL,8200,HOU@MEM 01/14/2020 08:00PM ET,MEM,31.15
SF/PF,Jae Crowder (14130581),Jae Crowder,14130581,CPT,8100,HOU@MEM 01/14/2020 08:00PM ET,MEM,25.76
PF/C,Isaiah Hartenstein (14130582),Isaiah Hartenstein,14130582,CPT,7800,HOU@MEM 01/14/2020 08:00PM ET,HOU,16.17
PG/SG,De'Anthony Melton (14130583),De'Anthony Melton,14130583,CPT,7500,HOU@MEM 01/14/2020 08:00PM ET,MEM,19.92
SG/SF,Dillon Brooks (14130545),Dillon Brooks,14130545,UTIL,7400,HOU@MEM 01/14/2020 08:00PM ET,MEM,24.96
PG/SG,Austin Rivers (14130584),Austin Rivers,14130584,CPT,7200,HOU@MEM 01/14/2020 08:00PM ET,HOU,14.94
SF/PF,Danuel House Jr. (14130585),Danuel House Jr.,14130585,CPT,6900,HOU@MEM 01/14/2020 08:00PM ET,HOU,20.90
PF/C,Brandon Clarke (14130546),Brandon Clarke,14130546,UTIL,6600,HOU@MEM 01/14/2020 08:00PM ET,MEM,24.04
PF/C,P.J. Tucker (14130586),P.J. Tucker,14130586,CPT,6000,HOU@MEM 01/14/2020 08:00PM ET,HOU,23.02
SG/SF,Eric Gordon (14130547),Eric Gordon,14130547,UTIL,5800,HOU@MEM 01/14/2020 08:00PM ET,HOU,18.55
PG/SG,Tyus Jones (14130587),Tyus Jones,14130587,CPT,5700,HOU@MEM 01/14/2020 08:00PM ET,MEM,17.33
SF/PF,Jae Crowder (14130548),Jae Crowder,14130548,UTIL,5400,HOU@MEM 01/14/2020 08:00PM ET,MEM,25.76
SG/SF,Ben McLemore (14130588),Ben McLemore,14130588,CPT,5400,HOU@MEM 01/14/2020 08:00PM ET,HOU,17.24
PF/C,Isaiah Hartenstein (14130549),Isaiah Hartenstein,14130549,UTIL,5200,HOU@MEM 01/14/2020 08:00PM ET,HOU,16.17
PG,Chris Clemons (14130589),Chris Clemons,14130589,CPT,5100,HOU@MEM 01/14/2020 08:00PM ET,HOU,8.85
PG/SG,De'Anthony Melton (14130550),De'Anthony Melton,14130550,UTIL,5000,HOU@MEM 01/14/2020 08:00PM ET,MEM,19.92
PG/SG,Austin Rivers (14130551),Austin Rivers,14130551,UTIL,4800,HOU@MEM 01/14/2020 08:00PM ET,HOU,14.94
SF/PF,Danuel House Jr. (14130552),Danuel House Jr.,14130552,UTIL,4600,HOU@MEM 01/14/2020 08:00PM ET,HOU,20.90
PG/SG,Grayson Allen (14130590),Grayson Allen,14130590,CPT,4500,HOU@MEM 01/14/2020 08:00PM ET,MEM,13.32
PF/C,P.J. Tucker (14130553),P.J. Tucker,14130553,UTIL,4000,HOU@MEM 01/14/2020 08:00PM ET,HOU,23.02
PG/SG,Tyus Jones (14130554),Tyus Jones,14130554,UTIL,3800,HOU@MEM 01/14/2020 08:00PM ET,MEM,17.33
SG/SF,Ben McLemore (14130555),Ben McLemore,14130555,UTIL,3600,HOU@MEM 01/14/2020 08:00PM ET,HOU,17.24
SF/PF,Thabo Sefolosha (14130591),Thabo Sefolosha,14130591,CPT,3600,HOU@MEM 01/14/2020 08:00PM ET,HOU,6.82
PG,Chris Clemons (14130556),Chris Clemons,14130556,UTIL,3400,HOU@MEM 01/14/2020 08:00PM ET,HOU,8.85
SF/PF,Solomon Hill (14130592),Solomon Hill,14130592,CPT,3300,HOU@MEM 01/14/2020 08:00PM ET,MEM,14.64
PG/SG,Grayson Allen (14130557),Grayson Allen,14130557,UTIL,3000,HOU@MEM 01/14/2020 08:00PM ET,MEM,13.32
C,Tyson Chandler (14130593),Tyson Chandler,14130593,CPT,3000,HOU@MEM 01/14/2020 08:00PM ET,HOU,6.36
SF/PF,Kyle Anderson (14130594),Kyle Anderson,14130594,CPT,2700,HOU@MEM 01/14/2020 08:00PM ET,MEM,15.14
SF/PF,Thabo Sefolosha (14130558),Thabo Sefolosha,14130558,UTIL,2400,HOU@MEM 01/14/2020 08:00PM ET,HOU,6.82
SF/PF,Solomon Hill (14130559),Solomon Hill,14130559,UTIL,2200,HOU@MEM 01/14/2020 08:00PM ET,MEM,14.64
C,Tyson Chandler (14130560),Tyson Chandler,14130560,UTIL,2000,HOU@MEM 01/14/2020 08:00PM ET,HOU,6.36
SF/PF,Kyle Anderson (14130561),Kyle Anderson,14130561,UTIL,1800,HOU@MEM 01/14/2020 08:00PM ET,MEM,15.14
PG/SG,Michael Frazier (14130595),Michael Frazier,14130595,CPT,1500,HOU@MEM 01/14/2020 08:00PM ET,HOU,5.38
SF/PF,Yuta Watanabe (14130596),Yuta Watanabe,14130596,CPT,1500,HOU@MEM 01/14/2020 08:00PM ET,MEM,3.81
