Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14105805),James Harden,14105805,CPT,21900,HOU@OKC 01/09/2020 09:30PM ET,HOU,63.83
PG,Russell Westbrook (14105806),Russell Westbrook,14105806,CPT,15600,HOU@OKC 01/09/2020 09:30PM ET,HOU,48.04
PG/SG,James Harden (14105773),James Harden,14105773,UTIL,14600,HOU@OKC 01/09/2020 09:30PM ET,HOU,63.83
C,Clint Capela (14105807),Clint Capela,14105807,CPT,14100,HOU@OKC 01/09/2020 09:30PM ET,HOU,40.72
PG,Chris Paul (14105808),Chris Paul,14105808,CPT,13800,HOU@OKC 01/09/2020 09:30PM ET,OKC,35.97
PG/SG,Shai Gilgeous-Alexander (14105809),Shai Gilgeous-Alexander,14105809,CPT,13500,HOU@OKC 01/09/2020 09:30PM ET,OKC,33.59
C,Steven Adams (14105810),Steven Adams,14105810,CPT,12600,HOU@OKC 01/09/2020 09:30PM ET,OKC,32.36
SF/PF,Danilo Gallinari (14105811),Danilo Gallinari,14105811,CPT,11400,HOU@OKC 01/09/2020 09:30PM ET,OKC,30.65
PG/SG,Dennis Schroder (14105812),Dennis Schroder,14105812,CPT,10500,HOU@OKC 01/09/2020 09:30PM ET,OKC,30.12
PG,Russell Westbrook (14105774),Russell Westbrook,14105774,UTIL,10400,HOU@OKC 01/09/2020 09:30PM ET,HOU,48.04
C,Clint Capela (14105775),Clint Capela,14105775,UTIL,9400,HOU@OKC 01/09/2020 09:30PM ET,HOU,40.72
SF/PF,Danuel House Jr. (14105813),Danuel House Jr.,14105813,CPT,9300,HOU@OKC 01/09/2020 09:30PM ET,HOU,21.37
PG,Chris Paul (14105776),Chris Paul,14105776,UTIL,9200,HOU@OKC 01/09/2020 09:30PM ET,OKC,35.97
PG/SG,Shai Gilgeous-Alexander (14105777),Shai Gilgeous-Alexander,14105777,UTIL,9000,HOU@OKC 01/09/2020 09:30PM ET,OKC,33.59
C,Steven Adams (14105778),Steven Adams,14105778,UTIL,8400,HOU@OKC 01/09/2020 09:30PM ET,OKC,32.36
SG/SF,Eric Gordon (14105814),Eric Gordon,14105814,CPT,8100,HOU@OKC 01/09/2020 09:30PM ET,HOU,18.15
SF/PF,Danilo Gallinari (14105779),Danilo Gallinari,14105779,UTIL,7600,HOU@OKC 01/09/2020 09:30PM ET,OKC,30.65
PF/C,P.J. Tucker (14105815),P.J. Tucker,14105815,CPT,7500,HOU@OKC 01/09/2020 09:30PM ET,HOU,23.92
PF/C,Mike Muscala (14105816),Mike Muscala,14105816,CPT,7200,HOU@OKC 01/09/2020 09:30PM ET,OKC,7.87
PG/SG,Dennis Schroder (14105780),Dennis Schroder,14105780,UTIL,7000,HOU@OKC 01/09/2020 09:30PM ET,OKC,30.12
