Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14202487),James Harden,14202487,CPT,17400,HOU@POR 01/29/2020 10:00PM ET,HOU,60.45
PG,Damian Lillard (14202488),Damian Lillard,14202488,CPT,17100,HOU@POR 01/29/2020 10:00PM ET,POR,49.14
PG,Russell Westbrook (14202489),Russell Westbrook,14202489,CPT,16500,HOU@POR 01/29/2020 10:00PM ET,HOU,50.72
C,Hassan Whiteside (14202490),Hassan Whiteside,14202490,CPT,14400,HOU@POR 01/29/2020 10:00PM ET,POR,42.01
C,Clint Capela (14202491),Clint Capela,14202491,CPT,13500,HOU@POR 01/29/2020 10:00PM ET,HOU,39.33
SG/SF,Eric Gordon (14202492),Eric Gordon,14202492,CPT,12300,HOU@POR 01/29/2020 10:00PM ET,HOU,23.65
PG/SG,James Harden (14202454),James Harden,14202454,UTIL,11600,HOU@POR 01/29/2020 10:00PM ET,HOU,60.45
PG,Damian Lillard (14202455),Damian Lillard,14202455,UTIL,11400,HOU@POR 01/29/2020 10:00PM ET,POR,49.14
PG/SG,CJ McCollum (14202493),CJ McCollum,14202493,CPT,11400,HOU@POR 01/29/2020 10:00PM ET,POR,35.65
PG,Russell Westbrook (14202456),Russell Westbrook,14202456,UTIL,11000,HOU@POR 01/29/2020 10:00PM ET,HOU,50.72
PF,Carmelo Anthony (14202494),Carmelo Anthony,14202494,CPT,10200,HOU@POR 01/29/2020 10:00PM ET,POR,29.44
C,Hassan Whiteside (14202457),Hassan Whiteside,14202457,UTIL,9600,HOU@POR 01/29/2020 10:00PM ET,POR,42.01
SF/PF,Danuel House Jr. (14202495),Danuel House Jr.,14202495,CPT,9600,HOU@POR 01/29/2020 10:00PM ET,HOU,21.03
C,Clint Capela (14202458),Clint Capela,14202458,UTIL,9000,HOU@POR 01/29/2020 10:00PM ET,HOU,39.33
PG/SG,Austin Rivers (14202496),Austin Rivers,14202496,CPT,8700,HOU@POR 01/29/2020 10:00PM ET,HOU,15.94
SF/PF,Trevor Ariza (14202497),Trevor Ariza,14202497,CPT,8400,HOU@POR 01/29/2020 10:00PM ET,POR,17.46
SG/SF,Eric Gordon (14202459),Eric Gordon,14202459,UTIL,8200,HOU@POR 01/29/2020 10:00PM ET,HOU,23.65
SG/SF,Ben McLemore (14202498),Ben McLemore,14202498,CPT,7800,HOU@POR 01/29/2020 10:00PM ET,HOU,16.71
PG/SG,CJ McCollum (14202460),CJ McCollum,14202460,UTIL,7600,HOU@POR 01/29/2020 10:00PM ET,POR,35.65
PF/C,P.J. Tucker (14202499),P.J. Tucker,14202499,CPT,7500,HOU@POR 01/29/2020 10:00PM ET,HOU,22.52
C,Jusuf Nurkic (14202500),Jusuf Nurkic,14202500,CPT,7200,HOU@POR 01/29/2020 10:00PM ET,POR,0
PF,Carmelo Anthony (14202461),Carmelo Anthony,14202461,UTIL,6800,HOU@POR 01/29/2020 10:00PM ET,POR,29.44
SF/PF,Danuel House Jr. (14202462),Danuel House Jr.,14202462,UTIL,6400,HOU@POR 01/29/2020 10:00PM ET,HOU,21.03
SG/SF,Gary Trent Jr. (14202501),Gary Trent Jr.,14202501,CPT,6300,HOU@POR 01/29/2020 10:00PM ET,POR,10.54
PG/SG,Anfernee Simons (14202502),Anfernee Simons,14202502,CPT,6000,HOU@POR 01/29/2020 10:00PM ET,POR,15.76
PG/SG,Austin Rivers (14202463),Austin Rivers,14202463,UTIL,5800,HOU@POR 01/29/2020 10:00PM ET,HOU,15.94
SF/PF,Trevor Ariza (14202464),Trevor Ariza,14202464,UTIL,5600,HOU@POR 01/29/2020 10:00PM ET,POR,17.46
SF/PF,Thabo Sefolosha (14202503),Thabo Sefolosha,14202503,CPT,5400,HOU@POR 01/29/2020 10:00PM ET,HOU,7.42
SG/SF,Ben McLemore (14202465),Ben McLemore,14202465,UTIL,5200,HOU@POR 01/29/2020 10:00PM ET,HOU,16.71
PF/C,P.J. Tucker (14202466),P.J. Tucker,14202466,UTIL,5000,HOU@POR 01/29/2020 10:00PM ET,HOU,22.52
C,Jusuf Nurkic (14202467),Jusuf Nurkic,14202467,UTIL,4800,HOU@POR 01/29/2020 10:00PM ET,POR,0
PF/C,Isaiah Hartenstein (14202504),Isaiah Hartenstein,14202504,CPT,4500,HOU@POR 01/29/2020 10:00PM ET,HOU,13.45
SG/SF,Gary Trent Jr. (14202468),Gary Trent Jr.,14202468,UTIL,4200,HOU@POR 01/29/2020 10:00PM ET,POR,10.54
PG/SG,Anfernee Simons (14202469),Anfernee Simons,14202469,UTIL,4000,HOU@POR 01/29/2020 10:00PM ET,POR,15.76
PG,Chris Clemons (14202505),Chris Clemons,14202505,CPT,3900,HOU@POR 01/29/2020 10:00PM ET,HOU,8.39
SF/PF,Thabo Sefolosha (14202470),Thabo Sefolosha,14202470,UTIL,3600,HOU@POR 01/29/2020 10:00PM ET,HOU,7.42
PF/C,Zach Collins (14202506),Zach Collins,14202506,CPT,3300,HOU@POR 01/29/2020 10:00PM ET,POR,17.83
PF/C,Isaiah Hartenstein (14202471),Isaiah Hartenstein,14202471,UTIL,3000,HOU@POR 01/29/2020 10:00PM ET,HOU,13.45
PG,Chris Clemons (14202472),Chris Clemons,14202472,UTIL,2600,HOU@POR 01/29/2020 10:00PM ET,HOU,8.39
PF/C,Zach Collins (14202473),Zach Collins,14202473,UTIL,2200,HOU@POR 01/29/2020 10:00PM ET,POR,17.83
C,Caleb Swanigan (14202507),Caleb Swanigan,14202507,CPT,2100,HOU@POR 01/29/2020 10:00PM ET,POR,5.17
SF/PF,Jaylen Hoard (14202508),Jaylen Hoard,14202508,CPT,1800,HOU@POR 01/29/2020 10:00PM ET,POR,6.96
PG/SG,Michael Frazier (14202510),Michael Frazier,14202510,CPT,1800,HOU@POR 01/29/2020 10:00PM ET,HOU,3.85
SF/PF,Nassir Little (14202509),Nassir Little,14202509,CPT,1500,HOU@POR 01/29/2020 10:00PM ET,POR,8.64
SG,Rodney Hood (14202511),Rodney Hood,14202511,CPT,1500,HOU@POR 01/29/2020 10:00PM ET,POR,19.90
C,Tyson Chandler (14202512),Tyson Chandler,14202512,CPT,1500,HOU@POR 01/29/2020 10:00PM ET,HOU,5.98
PF,Wenyen Gabriel (14202513),Wenyen Gabriel,14202513,CPT,1500,HOU@POR 01/29/2020 10:00PM ET,POR,4
C,Skal Labissiere (14202514),Skal Labissiere,14202514,CPT,1500,HOU@POR 01/29/2020 10:00PM ET,POR,15.97
SF/PF,Mario Hezonja (14202515),Mario Hezonja,14202515,CPT,1500,HOU@POR 01/29/2020 10:00PM ET,POR,11.68
C,Moses Brown (14202516),Moses Brown,14202516,CPT,1500,HOU@POR 01/29/2020 10:00PM ET,POR,3.46
