Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14334683),James Harden,14334683,CPT,19200,HOU@UTA 02/22/2020 09:00PM ET,HOU,60.36
PG,Russell Westbrook (14334684),Russell Westbrook,14334684,CPT,17400,HOU@UTA 02/22/2020 09:00PM ET,HOU,51.30
C,Rudy Gobert (14334685),Rudy Gobert,14334685,CPT,15300,HOU@UTA 02/22/2020 09:00PM ET,UTA,41.49
PG/SG,Donovan Mitchell (14334686),Donovan Mitchell,14334686,CPT,14100,HOU@UTA 02/22/2020 09:00PM ET,UTA,38.32
SF/PF,Bojan Bogdanovic (14334687),Bojan Bogdanovic,14334687,CPT,12900,HOU@UTA 02/22/2020 09:00PM ET,UTA,30.86
PG/SG,James Harden (14334649),James Harden,14334649,UTIL,12800,HOU@UTA 02/22/2020 09:00PM ET,HOU,60.36
PG,Russell Westbrook (14334650),Russell Westbrook,14334650,UTIL,11600,HOU@UTA 02/22/2020 09:00PM ET,HOU,51.30
SF/PF,Robert Covington (14334688),Robert Covington,14334688,CPT,11400,HOU@UTA 02/22/2020 09:00PM ET,HOU,28.06
PG/SG,Jordan Clarkson (14334689),Jordan Clarkson,14334689,CPT,10500,HOU@UTA 02/22/2020 09:00PM ET,UTA,23.89
C,Rudy Gobert (14334651),Rudy Gobert,14334651,UTIL,10200,HOU@UTA 02/22/2020 09:00PM ET,UTA,41.49
PG,Mike Conley (14334690),Mike Conley,14334690,CPT,9600,HOU@UTA 02/22/2020 09:00PM ET,UTA,25.38
PG/SG,Donovan Mitchell (14334652),Donovan Mitchell,14334652,UTIL,9400,HOU@UTA 02/22/2020 09:00PM ET,UTA,38.32
SG/SF,Joe Ingles (14334691),Joe Ingles,14334691,CPT,8700,HOU@UTA 02/22/2020 09:00PM ET,UTA,25.00
SF/PF,Bojan Bogdanovic (14334653),Bojan Bogdanovic,14334653,UTIL,8600,HOU@UTA 02/22/2020 09:00PM ET,UTA,30.86
SF/PF,Danuel House Jr. (14334692),Danuel House Jr.,14334692,CPT,7800,HOU@UTA 02/22/2020 09:00PM ET,HOU,22.10
SF/PF,Robert Covington (14334654),Robert Covington,14334654,UTIL,7600,HOU@UTA 02/22/2020 09:00PM ET,HOU,28.06
PG/SG,Jordan Clarkson (14334655),Jordan Clarkson,14334655,UTIL,7000,HOU@UTA 02/22/2020 09:00PM ET,UTA,23.89
C,P.J. Tucker (14334693),P.J. Tucker,14334693,CPT,6900,HOU@UTA 02/22/2020 09:00PM ET,HOU,22.16
PG,Mike Conley (14334656),Mike Conley,14334656,UTIL,6400,HOU@UTA 02/22/2020 09:00PM ET,UTA,25.38
SG/SF,Eric Gordon (14334694),Eric Gordon,14334694,CPT,6000,HOU@UTA 02/22/2020 09:00PM ET,HOU,22.91
SG/SF,Joe Ingles (14334657),Joe Ingles,14334657,UTIL,5800,HOU@UTA 02/22/2020 09:00PM ET,UTA,25.00
SF/PF,Danuel House Jr. (14334658),Danuel House Jr.,14334658,UTIL,5200,HOU@UTA 02/22/2020 09:00PM ET,HOU,22.10
SF,Royce O'Neale (14334695),Royce O'Neale,14334695,CPT,5100,HOU@UTA 02/22/2020 09:00PM ET,UTA,18.82
C,P.J. Tucker (14334659),P.J. Tucker,14334659,UTIL,4600,HOU@UTA 02/22/2020 09:00PM ET,HOU,22.16
SG/SF,Eric Gordon (14334660),Eric Gordon,14334660,UTIL,4000,HOU@UTA 02/22/2020 09:00PM ET,HOU,22.91
PF/C,Jeff Green (14334696),Jeff Green,14334696,CPT,3900,HOU@UTA 02/22/2020 09:00PM ET,HOU,14.07
SG/SF,Ben McLemore (14334697),Ben McLemore,14334697,CPT,3600,HOU@UTA 02/22/2020 09:00PM ET,HOU,16.88
SF,Royce O'Neale (14334661),Royce O'Neale,14334661,UTIL,3400,HOU@UTA 02/22/2020 09:00PM ET,UTA,18.82
PG/SG,Austin Rivers (14334698),Austin Rivers,14334698,CPT,3300,HOU@UTA 02/22/2020 09:00PM ET,HOU,16.06
C,Tony Bradley (14334699),Tony Bradley,14334699,CPT,2700,HOU@UTA 02/22/2020 09:00PM ET,UTA,10.99
PF/C,Jeff Green (14334662),Jeff Green,14334662,UTIL,2600,HOU@UTA 02/22/2020 09:00PM ET,HOU,14.07
SG/SF,Ben McLemore (14334663),Ben McLemore,14334663,UTIL,2400,HOU@UTA 02/22/2020 09:00PM ET,HOU,16.88
SF,DeMarre Carroll (14334700),DeMarre Carroll,14334700,CPT,2400,HOU@UTA 02/22/2020 09:00PM ET,HOU,6.44
PG/SG,Austin Rivers (14334664),Austin Rivers,14334664,UTIL,2200,HOU@UTA 02/22/2020 09:00PM ET,HOU,16.06
PG,Emmanuel Mudiay (14334701),Emmanuel Mudiay,14334701,CPT,2100,HOU@UTA 02/22/2020 09:00PM ET,UTA,14.96
C,Tony Bradley (14334665),Tony Bradley,14334665,UTIL,1800,HOU@UTA 02/22/2020 09:00PM ET,UTA,10.99
SF/PF,Georges Niang (14334702),Georges Niang,14334702,CPT,1800,HOU@UTA 02/22/2020 09:00PM ET,UTA,10.45
SF,DeMarre Carroll (14334666),DeMarre Carroll,14334666,UTIL,1600,HOU@UTA 02/22/2020 09:00PM ET,HOU,6.44
C,Ed Davis (14334703),Ed Davis,14334703,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,UTA,7.81
SF/PF,Thabo Sefolosha (14334704),Thabo Sefolosha,14334704,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,HOU,7.97
PF/C,Bruno Caboclo (14334705),Bruno Caboclo,14334705,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,HOU,7.92
PG,Nigel Williams-Goss (14334706),Nigel Williams-Goss,14334706,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,UTA,2.31
SG/SF,Rayjon Tucker (14334707),Rayjon Tucker,14334707,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,UTA,2.88
PG/SG,Michael Frazier (14334708),Michael Frazier,14334708,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,HOU,2.91
PF,Jarrell Brantley (14334709),Jarrell Brantley,14334709,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,UTA,3.75
SG/SF,Miye Oni (14334710),Miye Oni,14334710,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,UTA,0.25
C,Isaiah Hartenstein (14334711),Isaiah Hartenstein,14334711,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,HOU,12.33
PG,Chris Clemons (14334712),Chris Clemons,14334712,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,HOU,8.12
C,Tyson Chandler (14334713),Tyson Chandler,14334713,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,HOU,5.75
SF/PF,William Howard (14334714),William Howard,14334714,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,HOU,1.75
SG,Justin Wright-Foreman (14334715),Justin Wright-Foreman,14334715,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,UTA,0
PF,Juwan Morgan (14334716),Juwan Morgan,14334716,CPT,1500,HOU@UTA 02/22/2020 09:00PM ET,UTA,2.5
PG,Emmanuel Mudiay (14334667),Emmanuel Mudiay,14334667,UTIL,1400,HOU@UTA 02/22/2020 09:00PM ET,UTA,14.96
SF/PF,Georges Niang (14334668),Georges Niang,14334668,UTIL,1200,HOU@UTA 02/22/2020 09:00PM ET,UTA,10.45
C,Ed Davis (14334669),Ed Davis,14334669,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,UTA,7.81
SF/PF,Thabo Sefolosha (14334670),Thabo Sefolosha,14334670,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,HOU,7.97
PF/C,Bruno Caboclo (14334671),Bruno Caboclo,14334671,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,HOU,7.92
PG,Nigel Williams-Goss (14334672),Nigel Williams-Goss,14334672,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,UTA,2.31
SG/SF,Rayjon Tucker (14334673),Rayjon Tucker,14334673,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,UTA,2.88
PG/SG,Michael Frazier (14334674),Michael Frazier,14334674,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,HOU,2.91
PF,Jarrell Brantley (14334675),Jarrell Brantley,14334675,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,UTA,3.75
SG/SF,Miye Oni (14334676),Miye Oni,14334676,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,UTA,0.25
C,Isaiah Hartenstein (14334677),Isaiah Hartenstein,14334677,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,HOU,12.33
PG,Chris Clemons (14334678),Chris Clemons,14334678,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,HOU,8.12
C,Tyson Chandler (14334679),Tyson Chandler,14334679,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,HOU,5.75
SF/PF,William Howard (14334680),William Howard,14334680,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,HOU,1.75
SG,Justin Wright-Foreman (14334681),Justin Wright-Foreman,14334681,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,UTA,0
PF,Juwan Morgan (14334682),Juwan Morgan,14334682,UTIL,1000,HOU@UTA 02/22/2020 09:00PM ET,UTA,2.5
