Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Trae Young (13961934),Trae Young,13961934,CPT,18000,IND@ATL 12/13/2019 07:30PM ET,ATL,48.21
PF/C,Domantas Sabonis (13961935),Domantas Sabonis,13961935,CPT,16200,IND@ATL 12/13/2019 07:30PM ET,IND,43.87
PG/SG,Malcolm Brogdon (13961936),Malcolm Brogdon,13961936,CPT,15600,IND@ATL 12/13/2019 07:30PM ET,IND,38.49
PF/C,John Collins (13961937),John Collins,13961937,CPT,15300,IND@ATL 12/13/2019 07:30PM ET,ATL,36.9
PG/SG,Victor Oladipo (13961938),Victor Oladipo,13961938,CPT,14400,IND@ATL 12/13/2019 07:30PM ET,IND,0
SF/PF,Jabari Parker (13961939),Jabari Parker,13961939,CPT,12900,IND@ATL 12/13/2019 07:30PM ET,ATL,30.36
PG,Trae Young (13961900),Trae Young,13961900,UTIL,12000,IND@ATL 12/13/2019 07:30PM ET,ATL,48.21
SG/SF,Jeremy Lamb (13961940),Jeremy Lamb,13961940,CPT,12000,IND@ATL 12/13/2019 07:30PM ET,IND,28.39
PF/C,Domantas Sabonis (13961901),Domantas Sabonis,13961901,UTIL,10800,IND@ATL 12/13/2019 07:30PM ET,IND,43.87
C,Myles Turner (13961941),Myles Turner,13961941,CPT,10800,IND@ATL 12/13/2019 07:30PM ET,IND,25.69
SF/PF,T.J. Warren (13961942),T.J. Warren,13961942,CPT,10500,IND@ATL 12/13/2019 07:30PM ET,IND,26.64
PG/SG,Malcolm Brogdon (13961902),Malcolm Brogdon,13961902,UTIL,10400,IND@ATL 12/13/2019 07:30PM ET,IND,38.49
PF/C,John Collins (13961903),John Collins,13961903,UTIL,10200,IND@ATL 12/13/2019 07:30PM ET,ATL,36.9
PG/SG,Victor Oladipo (13961904),Victor Oladipo,13961904,UTIL,9600,IND@ATL 12/13/2019 07:30PM ET,IND,0
C,Alex Len (13961943),Alex Len,13961943,CPT,9300,IND@ATL 12/13/2019 07:30PM ET,ATL,17.88
SF/PF,Jabari Parker (13961905),Jabari Parker,13961905,UTIL,8600,IND@ATL 12/13/2019 07:30PM ET,ATL,30.36
SF/PF,De'Andre Hunter (13961944),De'Andre Hunter,13961944,CPT,8400,IND@ATL 12/13/2019 07:30PM ET,ATL,22.18
SG/SF,Jeremy Lamb (13961906),Jeremy Lamb,13961906,UTIL,8000,IND@ATL 12/13/2019 07:30PM ET,IND,28.39
PG/SG,Cam Reddish (13961945),Cam Reddish,13961945,CPT,7800,IND@ATL 12/13/2019 07:30PM ET,ATL,17.80
SG/SF,Kevin Huerter (13961946),Kevin Huerter,13961946,CPT,7500,IND@ATL 12/13/2019 07:30PM ET,ATL,19.82
