Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (14156845),Nikola Jokic,14156845,CPT,15300,IND@DEN 01/19/2020 08:00PM ET,DEN,44.88
PF/C,Domantas Sabonis (14156846),Domantas Sabonis,14156846,CPT,14100,IND@DEN 01/19/2020 08:00PM ET,IND,43.28
PG/SF,Will Barton (14156847),Will Barton,14156847,CPT,13200,IND@DEN 01/19/2020 08:00PM ET,DEN,32.85
PG/SG,Malcolm Brogdon (14156848),Malcolm Brogdon,14156848,CPT,12600,IND@DEN 01/19/2020 08:00PM ET,IND,36.38
PG,Jamal Murray (14156849),Jamal Murray,14156849,CPT,12000,IND@DEN 01/19/2020 08:00PM ET,DEN,32.58
PG/SG,Victor Oladipo (14156850),Victor Oladipo,14156850,CPT,11400,IND@DEN 01/19/2020 08:00PM ET,IND,0
SF/PF,Michael Porter Jr. (14156851),Michael Porter Jr.,14156851,CPT,11100,IND@DEN 01/19/2020 08:00PM ET,DEN,13.06
C,Nikola Jokic (14156812),Nikola Jokic,14156812,UTIL,10200,IND@DEN 01/19/2020 08:00PM ET,DEN,44.88
SF/PF,T.J. Warren (14156852),T.J. Warren,14156852,CPT,10200,IND@DEN 01/19/2020 08:00PM ET,IND,27.89
C,Myles Turner (14156853),Myles Turner,14156853,CPT,9600,IND@DEN 01/19/2020 08:00PM ET,IND,27.71
PF/C,Domantas Sabonis (14156813),Domantas Sabonis,14156813,UTIL,9400,IND@DEN 01/19/2020 08:00PM ET,IND,43.28
PG,Monte Morris (14156854),Monte Morris,14156854,CPT,9000,IND@DEN 01/19/2020 08:00PM ET,DEN,16.23
PG/SF,Will Barton (14156814),Will Barton,14156814,UTIL,8800,IND@DEN 01/19/2020 08:00PM ET,DEN,32.85
SG/SF,Jeremy Lamb (14156855),Jeremy Lamb,14156855,CPT,8700,IND@DEN 01/19/2020 08:00PM ET,IND,26.44
PG/SG,Malcolm Brogdon (14156815),Malcolm Brogdon,14156815,UTIL,8400,IND@DEN 01/19/2020 08:00PM ET,IND,36.38
PF/C,Mason Plumlee (14156856),Mason Plumlee,14156856,CPT,8400,IND@DEN 01/19/2020 08:00PM ET,DEN,19.73
SG,Gary Harris (14156857),Gary Harris,14156857,CPT,8100,IND@DEN 01/19/2020 08:00PM ET,DEN,21.35
PG,Jamal Murray (14156816),Jamal Murray,14156816,UTIL,8000,IND@DEN 01/19/2020 08:00PM ET,DEN,32.58
PG/SG,Victor Oladipo (14156817),Victor Oladipo,14156817,UTIL,7600,IND@DEN 01/19/2020 08:00PM ET,IND,0
PG/SG,Malik Beasley (14156858),Malik Beasley,14156858,CPT,7500,IND@DEN 01/19/2020 08:00PM ET,DEN,12.60
SF/PF,Michael Porter Jr. (14156818),Michael Porter Jr.,14156818,UTIL,7400,IND@DEN 01/19/2020 08:00PM ET,DEN,13.06
PF/C,Paul Millsap (14156859),Paul Millsap,14156859,CPT,7200,IND@DEN 01/19/2020 08:00PM ET,DEN,24.34
PF/C,Jerami Grant (14156860),Jerami Grant,14156860,CPT,6900,IND@DEN 01/19/2020 08:00PM ET,DEN,17.91
SF/PF,T.J. Warren (14156819),T.J. Warren,14156819,UTIL,6800,IND@DEN 01/19/2020 08:00PM ET,IND,27.89
SG/SF,Torrey Craig (14156861),Torrey Craig,14156861,CPT,6600,IND@DEN 01/19/2020 08:00PM ET,DEN,8.46
C,Myles Turner (14156820),Myles Turner,14156820,UTIL,6400,IND@DEN 01/19/2020 08:00PM ET,IND,27.71
PG,Monte Morris (14156821),Monte Morris,14156821,UTIL,6000,IND@DEN 01/19/2020 08:00PM ET,DEN,16.23
SG/SF,Jeremy Lamb (14156822),Jeremy Lamb,14156822,UTIL,5800,IND@DEN 01/19/2020 08:00PM ET,IND,26.44
PG/SG,Aaron Holiday (14156862),Aaron Holiday,14156862,CPT,5700,IND@DEN 01/19/2020 08:00PM ET,IND,21.03
PF/C,Mason Plumlee (14156823),Mason Plumlee,14156823,UTIL,5600,IND@DEN 01/19/2020 08:00PM ET,DEN,19.73
SG,Gary Harris (14156824),Gary Harris,14156824,UTIL,5400,IND@DEN 01/19/2020 08:00PM ET,DEN,21.35
SG/SF,Justin Holiday (14156863),Justin Holiday,14156863,CPT,5100,IND@DEN 01/19/2020 08:00PM ET,IND,18.01
PG/SG,Malik Beasley (14156825),Malik Beasley,14156825,UTIL,5000,IND@DEN 01/19/2020 08:00PM ET,DEN,12.60
PF/C,Paul Millsap (14156826),Paul Millsap,14156826,UTIL,4800,IND@DEN 01/19/2020 08:00PM ET,DEN,24.34
PF/C,Jerami Grant (14156827),Jerami Grant,14156827,UTIL,4600,IND@DEN 01/19/2020 08:00PM ET,DEN,17.91
SG/SF,Torrey Craig (14156828),Torrey Craig,14156828,UTIL,4400,IND@DEN 01/19/2020 08:00PM ET,DEN,8.46
PG/SF,Edmond Sumner (14156864),Edmond Sumner,14156864,CPT,4200,IND@DEN 01/19/2020 08:00PM ET,IND,11.45
PG/SG,Aaron Holiday (14156829),Aaron Holiday,14156829,UTIL,3800,IND@DEN 01/19/2020 08:00PM ET,IND,21.03
SF/PF,Doug McDermott (14156865),Doug McDermott,14156865,CPT,3600,IND@DEN 01/19/2020 08:00PM ET,IND,15.80
SG/SF,Justin Holiday (14156830),Justin Holiday,14156830,UTIL,3400,IND@DEN 01/19/2020 08:00PM ET,IND,18.01
PG/SG,Naz Mitrou-Long (14156866),Naz Mitrou-Long,14156866,CPT,3300,IND@DEN 01/19/2020 08:00PM ET,IND,12
SG/SF,PJ Dozier (14156867),PJ Dozier,14156867,CPT,3000,IND@DEN 01/19/2020 08:00PM ET,DEN,10.5
PG/SF,Edmond Sumner (14156831),Edmond Sumner,14156831,UTIL,2800,IND@DEN 01/19/2020 08:00PM ET,IND,11.45
PG,T.J. McConnell (14156868),T.J. McConnell,14156868,CPT,2700,IND@DEN 01/19/2020 08:00PM ET,IND,18.58
SF/PF,Doug McDermott (14156832),Doug McDermott,14156832,UTIL,2400,IND@DEN 01/19/2020 08:00PM ET,IND,15.80
SF/PF,Jakarr Sampson (14156869),Jakarr Sampson,14156869,CPT,2400,IND@DEN 01/19/2020 08:00PM ET,IND,10.5
PG/SG,Naz Mitrou-Long (14156833),Naz Mitrou-Long,14156833,UTIL,2200,IND@DEN 01/19/2020 08:00PM ET,IND,12
C,Goga Bitadze (14156870),Goga Bitadze,14156870,CPT,2100,IND@DEN 01/19/2020 08:00PM ET,IND,8.22
SG/SF,PJ Dozier (14156834),PJ Dozier,14156834,UTIL,2000,IND@DEN 01/19/2020 08:00PM ET,DEN,10.5
PG,T.J. McConnell (14156835),T.J. McConnell,14156835,UTIL,1800,IND@DEN 01/19/2020 08:00PM ET,IND,18.58
SF/PF,Juancho Hernangomez (14156871),Juancho Hernangomez,14156871,CPT,1800,IND@DEN 01/19/2020 08:00PM ET,DEN,7.31
SF/PF,Jakarr Sampson (14156836),Jakarr Sampson,14156836,UTIL,1600,IND@DEN 01/19/2020 08:00PM ET,IND,10.5
SG/SF,Brian Bowen II (14156872),Brian Bowen II,14156872,CPT,1500,IND@DEN 01/19/2020 08:00PM ET,IND,1.75
SF,Vlatko Cancar (14156873),Vlatko Cancar,14156873,CPT,1500,IND@DEN 01/19/2020 08:00PM ET,DEN,1.18
SF/PF,Jarred Vanderbilt (14156874),Jarred Vanderbilt,14156874,CPT,1500,IND@DEN 01/19/2020 08:00PM ET,DEN,1.25
PF/C,TJ Leaf (14156875),TJ Leaf,14156875,CPT,1500,IND@DEN 01/19/2020 08:00PM ET,IND,8.04
PF,Alize Johnson (14156876),Alize Johnson,14156876,CPT,1500,IND@DEN 01/19/2020 08:00PM ET,IND,3.68
C,Bol Bol (14156877),Bol Bol,14156877,CPT,1500,IND@DEN 01/19/2020 08:00PM ET,DEN,0
C,Goga Bitadze (14156837),Goga Bitadze,14156837,UTIL,1400,IND@DEN 01/19/2020 08:00PM ET,IND,8.22
SF/PF,Juancho Hernangomez (14156838),Juancho Hernangomez,14156838,UTIL,1200,IND@DEN 01/19/2020 08:00PM ET,DEN,7.31
SG/SF,Brian Bowen II (14156839),Brian Bowen II,14156839,UTIL,1000,IND@DEN 01/19/2020 08:00PM ET,IND,1.75
SF,Vlatko Cancar (14156840),Vlatko Cancar,14156840,UTIL,1000,IND@DEN 01/19/2020 08:00PM ET,DEN,1.18
SF/PF,Jarred Vanderbilt (14156841),Jarred Vanderbilt,14156841,UTIL,1000,IND@DEN 01/19/2020 08:00PM ET,DEN,1.25
PF/C,TJ Leaf (14156842),TJ Leaf,14156842,UTIL,1000,IND@DEN 01/19/2020 08:00PM ET,IND,8.04
PF,Alize Johnson (14156843),Alize Johnson,14156843,UTIL,1000,IND@DEN 01/19/2020 08:00PM ET,IND,3.68
C,Bol Bol (14156844),Bol Bol,14156844,UTIL,1000,IND@DEN 01/19/2020 08:00PM ET,DEN,0
