Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Domantas Sabonis (14177347),Domantas Sabonis,14177347,CPT,15600,IND@GS 01/24/2020 10:30PM ET,IND,43.24
PG/SG,D'Angelo Russell (14177348),D'Angelo Russell,14177348,CPT,14100,IND@GS 01/24/2020 10:30PM ET,GS,39.96
PG,Stephen Curry (14177349),Stephen Curry,14177349,CPT,13800,IND@GS 01/24/2020 10:30PM ET,GS,39.38
PG,Malcolm Brogdon (14177350),Malcolm Brogdon,14177350,CPT,12900,IND@GS 01/24/2020 10:30PM ET,IND,35.02
PG/SG,Victor Oladipo (14177351),Victor Oladipo,14177351,CPT,12000,IND@GS 01/24/2020 10:30PM ET,IND,0
SF/PF,T.J. Warren (14177352),T.J. Warren,14177352,CPT,11700,IND@GS 01/24/2020 10:30PM ET,IND,27.71
PG/SG,Alec Burks (14177353),Alec Burks,14177353,CPT,11100,IND@GS 01/24/2020 10:30PM ET,GS,29.59
PG/SF,Draymond Green (14177354),Draymond Green,14177354,CPT,10800,IND@GS 01/24/2020 10:30PM ET,GS,28.69
SF/PF,Eric Paschall (14177355),Eric Paschall,14177355,CPT,10500,IND@GS 01/24/2020 10:30PM ET,GS,23.87
PF/C,Domantas Sabonis (14177314),Domantas Sabonis,14177314,UTIL,10400,IND@GS 01/24/2020 10:30PM ET,IND,43.24
SG,Damion Lee (14177356),Damion Lee,14177356,CPT,9900,IND@GS 01/24/2020 10:30PM ET,GS,24.59
PG/SG,D'Angelo Russell (14177315),D'Angelo Russell,14177315,UTIL,9400,IND@GS 01/24/2020 10:30PM ET,GS,39.96
PG,T.J. McConnell (14177357),T.J. McConnell,14177357,CPT,9300,IND@GS 01/24/2020 10:30PM ET,IND,19.38
PG,Stephen Curry (14177316),Stephen Curry,14177316,UTIL,9200,IND@GS 01/24/2020 10:30PM ET,GS,39.38
C,Myles Turner (14177358),Myles Turner,14177358,CPT,9000,IND@GS 01/24/2020 10:30PM ET,IND,27.23
PG,Malcolm Brogdon (14177317),Malcolm Brogdon,14177317,UTIL,8600,IND@GS 01/24/2020 10:30PM ET,IND,35.02
C,Willie Cauley-Stein (14177359),Willie Cauley-Stein,14177359,CPT,8400,IND@GS 01/24/2020 10:30PM ET,GS,22.13
SG/SF,Glenn Robinson III (14177360),Glenn Robinson III,14177360,CPT,8100,IND@GS 01/24/2020 10:30PM ET,GS,23.18
PG/SG,Victor Oladipo (14177318),Victor Oladipo,14177318,UTIL,8000,IND@GS 01/24/2020 10:30PM ET,IND,0
SF/PF,T.J. Warren (14177319),T.J. Warren,14177319,UTIL,7800,IND@GS 01/24/2020 10:30PM ET,IND,27.71
PG/SG,Aaron Holiday (14177361),Aaron Holiday,14177361,CPT,7800,IND@GS 01/24/2020 10:30PM ET,IND,20.31
SG/SF,Jeremy Lamb (14177362),Jeremy Lamb,14177362,CPT,7500,IND@GS 01/24/2020 10:30PM ET,IND,25.25
PG/SG,Alec Burks (14177320),Alec Burks,14177320,UTIL,7400,IND@GS 01/24/2020 10:30PM ET,GS,29.59
PG/SF,Draymond Green (14177321),Draymond Green,14177321,UTIL,7200,IND@GS 01/24/2020 10:30PM ET,GS,28.69
SF/PF,Eric Paschall (14177322),Eric Paschall,14177322,UTIL,7000,IND@GS 01/24/2020 10:30PM ET,GS,23.87
SG/SF,Justin Holiday (14177363),Justin Holiday,14177363,CPT,6900,IND@GS 01/24/2020 10:30PM ET,IND,18.34
SG,Damion Lee (14177323),Damion Lee,14177323,UTIL,6600,IND@GS 01/24/2020 10:30PM ET,GS,24.59
PG,T.J. McConnell (14177324),T.J. McConnell,14177324,UTIL,6200,IND@GS 01/24/2020 10:30PM ET,IND,19.38
C,Myles Turner (14177325),Myles Turner,14177325,UTIL,6000,IND@GS 01/24/2020 10:30PM ET,IND,27.23
PF/C,Marquese Chriss (14177364),Marquese Chriss,14177364,CPT,6000,IND@GS 01/24/2020 10:30PM ET,GS,19.32
SF/PF,Doug McDermott (14177365),Doug McDermott,14177365,CPT,5700,IND@GS 01/24/2020 10:30PM ET,IND,16.18
C,Willie Cauley-Stein (14177326),Willie Cauley-Stein,14177326,UTIL,5600,IND@GS 01/24/2020 10:30PM ET,GS,22.13
SG/SF,Glenn Robinson III (14177327),Glenn Robinson III,14177327,UTIL,5400,IND@GS 01/24/2020 10:30PM ET,GS,23.18
SG/SF,Jordan Poole (14177366),Jordan Poole,14177366,CPT,5400,IND@GS 01/24/2020 10:30PM ET,GS,14.75
PG/SG,Aaron Holiday (14177328),Aaron Holiday,14177328,UTIL,5200,IND@GS 01/24/2020 10:30PM ET,IND,20.31
SG/SF,Jeremy Lamb (14177329),Jeremy Lamb,14177329,UTIL,5000,IND@GS 01/24/2020 10:30PM ET,IND,25.25
SG/SF,Justin Holiday (14177330),Justin Holiday,14177330,UTIL,4600,IND@GS 01/24/2020 10:30PM ET,IND,18.34
PF/C,Omari Spellman (14177367),Omari Spellman,14177367,CPT,4500,IND@GS 01/24/2020 10:30PM ET,GS,17.42
PF/C,Marquese Chriss (14177331),Marquese Chriss,14177331,UTIL,4000,IND@GS 01/24/2020 10:30PM ET,GS,19.32
SF/PF,Doug McDermott (14177332),Doug McDermott,14177332,UTIL,3800,IND@GS 01/24/2020 10:30PM ET,IND,16.18
SG/SF,Jordan Poole (14177333),Jordan Poole,14177333,UTIL,3600,IND@GS 01/24/2020 10:30PM ET,GS,14.75
PG/SG,Naz Mitrou-Long (14177368),Naz Mitrou-Long,14177368,CPT,3300,IND@GS 01/24/2020 10:30PM ET,IND,12
PF/C,Omari Spellman (14177334),Omari Spellman,14177334,UTIL,3000,IND@GS 01/24/2020 10:30PM ET,GS,17.42
PG/SG,Naz Mitrou-Long (14177335),Naz Mitrou-Long,14177335,UTIL,2200,IND@GS 01/24/2020 10:30PM ET,IND,12
PF/C,Alen Smailagic (14177369),Alen Smailagic,14177369,CPT,1800,IND@GS 01/24/2020 10:30PM ET,GS,9.78
PG,Ky Bowman (14177374),Ky Bowman,14177374,CPT,1800,IND@GS 01/24/2020 10:30PM ET,GS,16.78
PG/SF,Jacob Evans III (14177370),Jacob Evans III,14177370,CPT,1500,IND@GS 01/24/2020 10:30PM ET,GS,8.81
C,Kevon Looney (14177371),Kevon Looney,14177371,CPT,1500,IND@GS 01/24/2020 10:30PM ET,GS,7.58
C,Goga Bitadze (14177372),Goga Bitadze,14177372,CPT,1500,IND@GS 01/24/2020 10:30PM ET,IND,8.08
PG/SG,Edmond Sumner (14177373),Edmond Sumner,14177373,CPT,1500,IND@GS 01/24/2020 10:30PM ET,IND,10.76
PF/C,TJ Leaf (14177375),TJ Leaf,14177375,CPT,1500,IND@GS 01/24/2020 10:30PM ET,IND,7.82
SF/PF,Jakarr Sampson (14177376),Jakarr Sampson,14177376,CPT,1500,IND@GS 01/24/2020 10:30PM ET,IND,9.37
SG,Brian Bowen II (14177377),Brian Bowen II,14177377,CPT,1500,IND@GS 01/24/2020 10:30PM ET,IND,1.75
PF,Alize Johnson (14177378),Alize Johnson,14177378,CPT,1500,IND@GS 01/24/2020 10:30PM ET,IND,3.68
SG,Klay Thompson (14177379),Klay Thompson,14177379,CPT,1500,IND@GS 01/24/2020 10:30PM ET,GS,0
PF/C,Alen Smailagic (14177336),Alen Smailagic,14177336,UTIL,1200,IND@GS 01/24/2020 10:30PM ET,GS,9.78
PG,Ky Bowman (14177341),Ky Bowman,14177341,UTIL,1200,IND@GS 01/24/2020 10:30PM ET,GS,16.78
PG/SF,Jacob Evans III (14177337),Jacob Evans III,14177337,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,GS,8.81
C,Kevon Looney (14177338),Kevon Looney,14177338,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,GS,7.58
C,Goga Bitadze (14177339),Goga Bitadze,14177339,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,IND,8.08
PG/SG,Edmond Sumner (14177340),Edmond Sumner,14177340,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,IND,10.76
PF/C,TJ Leaf (14177342),TJ Leaf,14177342,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,IND,7.82
SF/PF,Jakarr Sampson (14177343),Jakarr Sampson,14177343,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,IND,9.37
SG,Brian Bowen II (14177344),Brian Bowen II,14177344,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,IND,1.75
PF,Alize Johnson (14177345),Alize Johnson,14177345,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,IND,3.68
SG,Klay Thompson (14177346),Klay Thompson,14177346,UTIL,1000,IND@GS 01/24/2020 10:30PM ET,GS,0
