Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Damian Lillard (14188539),Damian Lillard,14188539,CPT,16800,IND@POR 01/26/2020 09:00PM ET,POR,48.35
PF/C,Domantas Sabonis (14188540),Domantas Sabonis,14188540,CPT,15300,IND@POR 01/26/2020 09:00PM ET,IND,43.28
C,Hassan Whiteside (14188541),Hassan Whiteside,14188541,CPT,14100,IND@POR 01/26/2020 09:00PM ET,POR,41.76
PG,Malcolm Brogdon (14188542),Malcolm Brogdon,14188542,CPT,12900,IND@POR 01/26/2020 09:00PM ET,IND,35.02
PG/SG,CJ McCollum (14188543),CJ McCollum,14188543,CPT,12000,IND@POR 01/26/2020 09:00PM ET,POR,35.56
PF,Carmelo Anthony (14188544),Carmelo Anthony,14188544,CPT,11400,IND@POR 01/26/2020 09:00PM ET,POR,29.51
PG,Damian Lillard (14188505),Damian Lillard,14188505,UTIL,11200,IND@POR 01/26/2020 09:00PM ET,POR,48.35
PG/SG,Victor Oladipo (14188545),Victor Oladipo,14188545,CPT,10800,IND@POR 01/26/2020 09:00PM ET,IND,0
PF/C,Domantas Sabonis (14188506),Domantas Sabonis,14188506,UTIL,10200,IND@POR 01/26/2020 09:00PM ET,IND,43.28
SF/PF,T.J. Warren (14188546),T.J. Warren,14188546,CPT,10200,IND@POR 01/26/2020 09:00PM ET,IND,28.27
C,Hassan Whiteside (14188507),Hassan Whiteside,14188507,UTIL,9400,IND@POR 01/26/2020 09:00PM ET,POR,41.76
PG,T.J. McConnell (14188547),T.J. McConnell,14188547,CPT,9000,IND@POR 01/26/2020 09:00PM ET,IND,19.59
PG,Malcolm Brogdon (14188508),Malcolm Brogdon,14188508,UTIL,8600,IND@POR 01/26/2020 09:00PM ET,IND,35.02
SF/PF,Trevor Ariza (14188548),Trevor Ariza,14188548,CPT,8400,IND@POR 01/26/2020 09:00PM ET,POR,17.61
C,Myles Turner (14188549),Myles Turner,14188549,CPT,8100,IND@POR 01/26/2020 09:00PM ET,IND,26.99
PG/SG,CJ McCollum (14188509),CJ McCollum,14188509,UTIL,8000,IND@POR 01/26/2020 09:00PM ET,POR,35.56
PF,Carmelo Anthony (14188510),Carmelo Anthony,14188510,UTIL,7600,IND@POR 01/26/2020 09:00PM ET,POR,29.51
C,Jusuf Nurkic (14188550),Jusuf Nurkic,14188550,CPT,7500,IND@POR 01/26/2020 09:00PM ET,POR,0
PG/SG,Victor Oladipo (14188511),Victor Oladipo,14188511,UTIL,7200,IND@POR 01/26/2020 09:00PM ET,IND,0
SG/SF,Gary Trent Jr. (14188551),Gary Trent Jr.,14188551,CPT,7200,IND@POR 01/26/2020 09:00PM ET,POR,10.42
PG/SG,Aaron Holiday (14188552),Aaron Holiday,14188552,CPT,6900,IND@POR 01/26/2020 09:00PM ET,IND,20.56
SF/PF,T.J. Warren (14188512),T.J. Warren,14188512,UTIL,6800,IND@POR 01/26/2020 09:00PM ET,IND,28.27
PG/SG,Anfernee Simons (14188553),Anfernee Simons,14188553,CPT,6600,IND@POR 01/26/2020 09:00PM ET,POR,16.03
SG/SF,Jeremy Lamb (14188554),Jeremy Lamb,14188554,CPT,6300,IND@POR 01/26/2020 09:00PM ET,IND,25.44
PG,T.J. McConnell (14188513),T.J. McConnell,14188513,UTIL,6000,IND@POR 01/26/2020 09:00PM ET,IND,19.59
SG/SF,Justin Holiday (14188555),Justin Holiday,14188555,CPT,6000,IND@POR 01/26/2020 09:00PM ET,IND,18.44
SF/PF,Trevor Ariza (14188514),Trevor Ariza,14188514,UTIL,5600,IND@POR 01/26/2020 09:00PM ET,POR,17.61
C,Myles Turner (14188515),Myles Turner,14188515,UTIL,5400,IND@POR 01/26/2020 09:00PM ET,IND,26.99
SF/PF,Doug McDermott (14188556),Doug McDermott,14188556,CPT,5100,IND@POR 01/26/2020 09:00PM ET,IND,16.53
C,Jusuf Nurkic (14188516),Jusuf Nurkic,14188516,UTIL,5000,IND@POR 01/26/2020 09:00PM ET,POR,0
SG/SF,Gary Trent Jr. (14188517),Gary Trent Jr.,14188517,UTIL,4800,IND@POR 01/26/2020 09:00PM ET,POR,10.42
PG/SG,Aaron Holiday (14188518),Aaron Holiday,14188518,UTIL,4600,IND@POR 01/26/2020 09:00PM ET,IND,20.56
PG/SG,Anfernee Simons (14188519),Anfernee Simons,14188519,UTIL,4400,IND@POR 01/26/2020 09:00PM ET,POR,16.03
SG/SF,Jeremy Lamb (14188520),Jeremy Lamb,14188520,UTIL,4200,IND@POR 01/26/2020 09:00PM ET,IND,25.44
SG/SF,Justin Holiday (14188521),Justin Holiday,14188521,UTIL,4000,IND@POR 01/26/2020 09:00PM ET,IND,18.44
PF/C,Zach Collins (14188557),Zach Collins,14188557,CPT,3900,IND@POR 01/26/2020 09:00PM ET,POR,17.83
SF/PF,Doug McDermott (14188522),Doug McDermott,14188522,UTIL,3400,IND@POR 01/26/2020 09:00PM ET,IND,16.53
PG/SG,Naz Mitrou-Long (14188558),Naz Mitrou-Long,14188558,CPT,3300,IND@POR 01/26/2020 09:00PM ET,IND,12
SF/PF,Mario Hezonja (14188559),Mario Hezonja,14188559,CPT,3000,IND@POR 01/26/2020 09:00PM ET,POR,11.68
C,Caleb Swanigan (14188560),Caleb Swanigan,14188560,CPT,2700,IND@POR 01/26/2020 09:00PM ET,POR,4.06
PF/C,Zach Collins (14188523),Zach Collins,14188523,UTIL,2600,IND@POR 01/26/2020 09:00PM ET,POR,17.83
SF/PF,Jaylen Hoard (14188561),Jaylen Hoard,14188561,CPT,2400,IND@POR 01/26/2020 09:00PM ET,POR,6.96
PG/SG,Naz Mitrou-Long (14188524),Naz Mitrou-Long,14188524,UTIL,2200,IND@POR 01/26/2020 09:00PM ET,IND,12
SF/PF,Nassir Little (14188562),Nassir Little,14188562,CPT,2100,IND@POR 01/26/2020 09:00PM ET,POR,8.69
SF/PF,Mario Hezonja (14188525),Mario Hezonja,14188525,UTIL,2000,IND@POR 01/26/2020 09:00PM ET,POR,11.68
C,Caleb Swanigan (14188526),Caleb Swanigan,14188526,UTIL,1800,IND@POR 01/26/2020 09:00PM ET,POR,4.06
C,Goga Bitadze (14188563),Goga Bitadze,14188563,CPT,1800,IND@POR 01/26/2020 09:00PM ET,IND,8.08
SF/PF,Jaylen Hoard (14188527),Jaylen Hoard,14188527,UTIL,1600,IND@POR 01/26/2020 09:00PM ET,POR,6.96
SG,Rodney Hood (14188564),Rodney Hood,14188564,CPT,1500,IND@POR 01/26/2020 09:00PM ET,POR,19.90
PG/SG,Edmond Sumner (14188565),Edmond Sumner,14188565,CPT,1500,IND@POR 01/26/2020 09:00PM ET,IND,10.51
PF/C,TJ Leaf (14188566),TJ Leaf,14188566,CPT,1500,IND@POR 01/26/2020 09:00PM ET,IND,7.82
PF,Wenyen Gabriel (14188567),Wenyen Gabriel,14188567,CPT,1500,IND@POR 01/26/2020 09:00PM ET,POR,4
SF/PF,Jakarr Sampson (14188568),Jakarr Sampson,14188568,CPT,1500,IND@POR 01/26/2020 09:00PM ET,IND,9.37
SG,Brian Bowen II (14188569),Brian Bowen II,14188569,CPT,1500,IND@POR 01/26/2020 09:00PM ET,IND,1.75
C,Skal Labissiere (14188570),Skal Labissiere,14188570,CPT,1500,IND@POR 01/26/2020 09:00PM ET,POR,15.97
