Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (14162595),Luka Doncic,14162595,CPT,19800,LAC@DAL 01/21/2020 08:30PM ET,DAL,58.20
SF,Kawhi Leonard (14162596),Kawhi Leonard,14162596,CPT,17100,LAC@DAL 01/21/2020 08:30PM ET,LAC,48.33
SG/SF,Paul George (14162597),Paul George,14162597,CPT,13800,LAC@DAL 01/21/2020 08:30PM ET,LAC,40.64
PG,Luka Doncic (14162561),Luka Doncic,14162561,UTIL,13200,LAC@DAL 01/21/2020 08:30PM ET,DAL,58.20
PG/SG,Lou Williams (14162598),Lou Williams,14162598,CPT,12600,LAC@DAL 01/21/2020 08:30PM ET,LAC,34.19
PF/C,Kristaps Porzingis (14162599),Kristaps Porzingis,14162599,CPT,12300,LAC@DAL 01/21/2020 08:30PM ET,DAL,37.39
SF,Kawhi Leonard (14162562),Kawhi Leonard,14162562,UTIL,11400,LAC@DAL 01/21/2020 08:30PM ET,LAC,48.33
C,Montrezl Harrell (14162600),Montrezl Harrell,14162600,CPT,11100,LAC@DAL 01/21/2020 08:30PM ET,LAC,33.61
PG,Patrick Beverley (14162601),Patrick Beverley,14162601,CPT,9900,LAC@DAL 01/21/2020 08:30PM ET,LAC,25.99
SG/SF,Tim Hardaway Jr. (14162602),Tim Hardaway Jr.,14162602,CPT,9600,LAC@DAL 01/21/2020 08:30PM ET,DAL,22.98
C,Dwight Powell (14162603),Dwight Powell,14162603,CPT,9300,LAC@DAL 01/21/2020 08:30PM ET,DAL,21.58
SG/SF,Paul George (14162563),Paul George,14162563,UTIL,9200,LAC@DAL 01/21/2020 08:30PM ET,LAC,40.64
PF/C,Maxi Kleber (14162604),Maxi Kleber,14162604,CPT,9000,LAC@DAL 01/21/2020 08:30PM ET,DAL,20.35
SF/PF,Dorian Finney-Smith (14162605),Dorian Finney-Smith,14162605,CPT,8700,LAC@DAL 01/21/2020 08:30PM ET,DAL,20.60
PG/SG,Lou Williams (14162564),Lou Williams,14162564,UTIL,8400,LAC@DAL 01/21/2020 08:30PM ET,LAC,34.19
PF/C,Kristaps Porzingis (14162565),Kristaps Porzingis,14162565,UTIL,8200,LAC@DAL 01/21/2020 08:30PM ET,DAL,37.39
PF,JaMychal Green (14162606),JaMychal Green,14162606,CPT,8100,LAC@DAL 01/21/2020 08:30PM ET,LAC,18.03
C,Montrezl Harrell (14162566),Montrezl Harrell,14162566,UTIL,7400,LAC@DAL 01/21/2020 08:30PM ET,LAC,33.61
PG/SG,Delon Wright (14162607),Delon Wright,14162607,CPT,7200,LAC@DAL 01/21/2020 08:30PM ET,DAL,19.93
C,Ivica Zubac (14162608),Ivica Zubac,14162608,CPT,6900,LAC@DAL 01/21/2020 08:30PM ET,LAC,20.13
PG,Patrick Beverley (14162567),Patrick Beverley,14162567,UTIL,6600,LAC@DAL 01/21/2020 08:30PM ET,LAC,25.99
SG/SF,Tim Hardaway Jr. (14162568),Tim Hardaway Jr.,14162568,UTIL,6400,LAC@DAL 01/21/2020 08:30PM ET,DAL,22.98
PG/SG,J.J. Barea (14162609),J.J. Barea,14162609,CPT,6300,LAC@DAL 01/21/2020 08:30PM ET,DAL,17.17
C,Dwight Powell (14162569),Dwight Powell,14162569,UTIL,6200,LAC@DAL 01/21/2020 08:30PM ET,DAL,21.58
PF/C,Maxi Kleber (14162570),Maxi Kleber,14162570,UTIL,6000,LAC@DAL 01/21/2020 08:30PM ET,DAL,20.35
SG,Seth Curry (14162610),Seth Curry,14162610,CPT,6000,LAC@DAL 01/21/2020 08:30PM ET,DAL,17.56
SF/PF,Dorian Finney-Smith (14162571),Dorian Finney-Smith,14162571,UTIL,5800,LAC@DAL 01/21/2020 08:30PM ET,DAL,20.60
SF/PF,Moe Harkless (14162611),Moe Harkless,14162611,CPT,5700,LAC@DAL 01/21/2020 08:30PM ET,LAC,15.23
PF,JaMychal Green (14162572),JaMychal Green,14162572,UTIL,5400,LAC@DAL 01/21/2020 08:30PM ET,LAC,18.03
PG/SG,Delon Wright (14162573),Delon Wright,14162573,UTIL,4800,LAC@DAL 01/21/2020 08:30PM ET,DAL,19.93
C,Ivica Zubac (14162574),Ivica Zubac,14162574,UTIL,4600,LAC@DAL 01/21/2020 08:30PM ET,LAC,20.13
SG/SF,Landry Shamet (14162612),Landry Shamet,14162612,CPT,4500,LAC@DAL 01/21/2020 08:30PM ET,LAC,15.62
PG/SG,J.J. Barea (14162575),J.J. Barea,14162575,UTIL,4200,LAC@DAL 01/21/2020 08:30PM ET,DAL,17.17
SG,Seth Curry (14162576),Seth Curry,14162576,UTIL,4000,LAC@DAL 01/21/2020 08:30PM ET,DAL,17.56
SF/PF,Moe Harkless (14162577),Moe Harkless,14162577,UTIL,3800,LAC@DAL 01/21/2020 08:30PM ET,LAC,15.23
C,Boban Marjanovic (14162613),Boban Marjanovic,14162613,CPT,3600,LAC@DAL 01/21/2020 08:30PM ET,DAL,13.46
SG/SF,Landry Shamet (14162578),Landry Shamet,14162578,UTIL,3000,LAC@DAL 01/21/2020 08:30PM ET,LAC,15.62
PF/C,Patrick Patterson (14162614),Patrick Patterson,14162614,CPT,3000,LAC@DAL 01/21/2020 08:30PM ET,LAC,10.51
SF/PF,Justin Jackson (14162615),Justin Jackson,14162615,CPT,3000,LAC@DAL 01/21/2020 08:30PM ET,DAL,11.07
SG,Jerome Robinson (14162616),Jerome Robinson,14162616,CPT,2700,LAC@DAL 01/21/2020 08:30PM ET,LAC,7.63
C,Boban Marjanovic (14162579),Boban Marjanovic,14162579,UTIL,2400,LAC@DAL 01/21/2020 08:30PM ET,DAL,13.46
SG/SF,Rodney McGruder (14162617),Rodney McGruder,14162617,CPT,2100,LAC@DAL 01/21/2020 08:30PM ET,LAC,9.77
PF/C,Patrick Patterson (14162580),Patrick Patterson,14162580,UTIL,2000,LAC@DAL 01/21/2020 08:30PM ET,LAC,10.51
SF/PF,Justin Jackson (14162581),Justin Jackson,14162581,UTIL,2000,LAC@DAL 01/21/2020 08:30PM ET,DAL,11.07
SG,Jerome Robinson (14162582),Jerome Robinson,14162582,UTIL,1800,LAC@DAL 01/21/2020 08:30PM ET,LAC,7.63
SG/SF,Ryan Broekhoff (14162618),Ryan Broekhoff,14162618,CPT,1800,LAC@DAL 01/21/2020 08:30PM ET,DAL,7.05
PG/SG,Jalen Brunson (14162619),Jalen Brunson,14162619,CPT,1800,LAC@DAL 01/21/2020 08:30PM ET,DAL,15.95
SF/PF,Isaiah Roby (14162620),Isaiah Roby,14162620,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,DAL,0
SF,Courtney Lee (14162621),Courtney Lee,14162621,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,DAL,5.02
PG/SF,Amir Coffey (14162622),Amir Coffey,14162622,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,LAC,3.5
C,Mfiondu Kabengele (14162623),Mfiondu Kabengele,14162623,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,LAC,4.7
PG,Derrick Walton Jr. (14162624),Derrick Walton Jr.,14162624,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,LAC,4.99
PG,Terance Mann (14162625),Terance Mann,14162625,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,LAC,5.45
C,Johnathan Motley (14162626),Johnathan Motley,14162626,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,LAC,3.36
SG,Antonius Cleveland (14162627),Antonius Cleveland,14162627,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,DAL,2.42
SG,Josh Reaves (14162628),Josh Reaves,14162628,CPT,1500,LAC@DAL 01/21/2020 08:30PM ET,DAL,0
SG/SF,Rodney McGruder (14162583),Rodney McGruder,14162583,UTIL,1400,LAC@DAL 01/21/2020 08:30PM ET,LAC,9.77
SG/SF,Ryan Broekhoff (14162584),Ryan Broekhoff,14162584,UTIL,1200,LAC@DAL 01/21/2020 08:30PM ET,DAL,7.05
PG/SG,Jalen Brunson (14162585),Jalen Brunson,14162585,UTIL,1200,LAC@DAL 01/21/2020 08:30PM ET,DAL,15.95
SF/PF,Isaiah Roby (14162586),Isaiah Roby,14162586,UTIL,1000,LAC@DAL 01/21/2020 08:30PM ET,DAL,0
