Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kawhi Leonard (14122223),Kawhi Leonard,14122223,CPT,15900,LAC@DEN 01/12/2020 08:00PM ET,LAC,47.23
C,Nikola Jokic (14122224),Nikola Jokic,14122224,CPT,14700,LAC@DEN 01/12/2020 08:00PM ET,DEN,44.72
SG/SF,Paul George (14122225),Paul George,14122225,CPT,14400,LAC@DEN 01/12/2020 08:00PM ET,LAC,40.64
PG/SF,Will Barton (14122226),Will Barton,14122226,CPT,13200,LAC@DEN 01/12/2020 08:00PM ET,DEN,32.77
PG/SG,Lou Williams (14122227),Lou Williams,14122227,CPT,12000,LAC@DEN 01/12/2020 08:00PM ET,LAC,33.96
PG/SG,Jamal Murray (14122228),Jamal Murray,14122228,CPT,11700,LAC@DEN 01/12/2020 08:00PM ET,DEN,33.33
PF/C,Montrezl Harrell (14122229),Montrezl Harrell,14122229,CPT,11100,LAC@DEN 01/12/2020 08:00PM ET,LAC,33.98
SF/PF,Kawhi Leonard (14122190),Kawhi Leonard,14122190,UTIL,10600,LAC@DEN 01/12/2020 08:00PM ET,LAC,47.23
PF/C,Jerami Grant (14122230),Jerami Grant,14122230,CPT,10200,LAC@DEN 01/12/2020 08:00PM ET,DEN,17.57
C,Nikola Jokic (14122191),Nikola Jokic,14122191,UTIL,9800,LAC@DEN 01/12/2020 08:00PM ET,DEN,44.72
SG/SF,Paul George (14122192),Paul George,14122192,UTIL,9600,LAC@DEN 01/12/2020 08:00PM ET,LAC,40.64
PF/C,Paul Millsap (14122231),Paul Millsap,14122231,CPT,9300,LAC@DEN 01/12/2020 08:00PM ET,DEN,24.34
PG/SF,Will Barton (14122193),Will Barton,14122193,UTIL,8800,LAC@DEN 01/12/2020 08:00PM ET,DEN,32.77
PG/SG,Patrick Beverley (14122232),Patrick Beverley,14122232,CPT,8400,LAC@DEN 01/12/2020 08:00PM ET,LAC,25.46
PG/SG,Lou Williams (14122194),Lou Williams,14122194,UTIL,8000,LAC@DEN 01/12/2020 08:00PM ET,LAC,33.96
PG/SG,Jamal Murray (14122195),Jamal Murray,14122195,UTIL,7800,LAC@DEN 01/12/2020 08:00PM ET,DEN,33.33
SG,Gary Harris (14122233),Gary Harris,14122233,CPT,7500,LAC@DEN 01/12/2020 08:00PM ET,DEN,21.16
PF/C,Montrezl Harrell (14122196),Montrezl Harrell,14122196,UTIL,7400,LAC@DEN 01/12/2020 08:00PM ET,LAC,33.98
SF/PF,JaMychal Green (14122234),JaMychal Green,14122234,CPT,6900,LAC@DEN 01/12/2020 08:00PM ET,LAC,18.38
PF/C,Jerami Grant (14122197),Jerami Grant,14122197,UTIL,6800,LAC@DEN 01/12/2020 08:00PM ET,DEN,17.57
PF/C,Mason Plumlee (14122235),Mason Plumlee,14122235,CPT,6600,LAC@DEN 01/12/2020 08:00PM ET,DEN,18.97
C,Ivica Zubac (14122236),Ivica Zubac,14122236,CPT,6300,LAC@DEN 01/12/2020 08:00PM ET,LAC,19.93
PF/C,Paul Millsap (14122198),Paul Millsap,14122198,UTIL,6200,LAC@DEN 01/12/2020 08:00PM ET,DEN,24.34
SF/PF,Moe Harkless (14122237),Moe Harkless,14122237,CPT,6000,LAC@DEN 01/12/2020 08:00PM ET,LAC,15.39
PG/SG,Patrick Beverley (14122199),Patrick Beverley,14122199,UTIL,5600,LAC@DEN 01/12/2020 08:00PM ET,LAC,25.46
SF/PF,Michael Porter Jr. (14122238),Michael Porter Jr.,14122238,CPT,5400,LAC@DEN 01/12/2020 08:00PM ET,DEN,10.73
PG,Monte Morris (14122239),Monte Morris,14122239,CPT,5100,LAC@DEN 01/12/2020 08:00PM ET,DEN,16.09
SG,Gary Harris (14122200),Gary Harris,14122200,UTIL,5000,LAC@DEN 01/12/2020 08:00PM ET,DEN,21.16
SF/PF,JaMychal Green (14122201),JaMychal Green,14122201,UTIL,4600,LAC@DEN 01/12/2020 08:00PM ET,LAC,18.38
SG/SF,Landry Shamet (14122240),Landry Shamet,14122240,CPT,4500,LAC@DEN 01/12/2020 08:00PM ET,LAC,15.26
PF/C,Mason Plumlee (14122202),Mason Plumlee,14122202,UTIL,4400,LAC@DEN 01/12/2020 08:00PM ET,DEN,18.97
C,Ivica Zubac (14122203),Ivica Zubac,14122203,UTIL,4200,LAC@DEN 01/12/2020 08:00PM ET,LAC,19.93
SF/PF,Moe Harkless (14122204),Moe Harkless,14122204,UTIL,4000,LAC@DEN 01/12/2020 08:00PM ET,LAC,15.39
SF/PF,Michael Porter Jr. (14122205),Michael Porter Jr.,14122205,UTIL,3600,LAC@DEN 01/12/2020 08:00PM ET,DEN,10.73
PG/SG,Malik Beasley (14122241),Malik Beasley,14122241,CPT,3600,LAC@DEN 01/12/2020 08:00PM ET,DEN,11.84
PG,Monte Morris (14122206),Monte Morris,14122206,UTIL,3400,LAC@DEN 01/12/2020 08:00PM ET,DEN,16.09
SG/SF,Landry Shamet (14122207),Landry Shamet,14122207,UTIL,3000,LAC@DEN 01/12/2020 08:00PM ET,LAC,15.26
SF/PF,Juancho Hernangomez (14122242),Juancho Hernangomez,14122242,CPT,2700,LAC@DEN 01/12/2020 08:00PM ET,DEN,7.59
PG/SG,Malik Beasley (14122208),Malik Beasley,14122208,UTIL,2400,LAC@DEN 01/12/2020 08:00PM ET,DEN,11.84
SG/SF,Torrey Craig (14122243),Torrey Craig,14122243,CPT,2400,LAC@DEN 01/12/2020 08:00PM ET,DEN,8.04
PG,Derrick Walton Jr. (14122244),Derrick Walton Jr.,14122244,CPT,2100,LAC@DEN 01/12/2020 08:00PM ET,LAC,5.63
SF/PF,Juancho Hernangomez (14122209),Juancho Hernangomez,14122209,UTIL,1800,LAC@DEN 01/12/2020 08:00PM ET,DEN,7.59
PG/SF,Amir Coffey (14122245),Amir Coffey,14122245,CPT,1800,LAC@DEN 01/12/2020 08:00PM ET,LAC,3.5
SG/SF,Torrey Craig (14122210),Torrey Craig,14122210,UTIL,1600,LAC@DEN 01/12/2020 08:00PM ET,DEN,8.04
PF/C,Johnathan Motley (14122246),Johnathan Motley,14122246,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,LAC,3.36
SG/SF,Rodney McGruder (14122247),Rodney McGruder,14122247,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,LAC,9.77
PF/C,Mfiondu Kabengele (14122248),Mfiondu Kabengele,14122248,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,LAC,4.7
PF/C,Patrick Patterson (14122249),Patrick Patterson,14122249,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,LAC,10.98
SF,Vlatko Cancar (14122250),Vlatko Cancar,14122250,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,DEN,1.25
SF/PF,Jarred Vanderbilt (14122251),Jarred Vanderbilt,14122251,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,DEN,1.25
SG,Jerome Robinson (14122252),Jerome Robinson,14122252,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,LAC,7.41
PG/SG,Terance Mann (14122253),Terance Mann,14122253,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,LAC,6.28
SG/SF,PJ Dozier (14122254),PJ Dozier,14122254,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,DEN,0
C,Bol Bol (14122255),Bol Bol,14122255,CPT,1500,LAC@DEN 01/12/2020 08:00PM ET,DEN,0
PG,Derrick Walton Jr. (14122211),Derrick Walton Jr.,14122211,UTIL,1400,LAC@DEN 01/12/2020 08:00PM ET,LAC,5.63
