Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (14027224),Anthony Davis,14027224,CPT,18300,LAC@LAL 12/25/2019 08:00PM ET,LAL,52.79
PG/SF,LeBron James (14027225),LeBron James,14027225,CPT,18000,LAC@LAL 12/25/2019 08:00PM ET,LAL,55.61
SF/PF,Kawhi Leonard (14027226),Kawhi Leonard,14027226,CPT,15900,LAC@LAL 12/25/2019 08:00PM ET,LAC,47.37
SF,Paul George (14027227),Paul George,14027227,CPT,14700,LAC@LAL 12/25/2019 08:00PM ET,LAC,40.95
PG/SG,Lou Williams (14027228),Lou Williams,14027228,CPT,12300,LAC@LAL 12/25/2019 08:00PM ET,LAC,33.43
PF/C,Anthony Davis (14027190),Anthony Davis,14027190,UTIL,12200,LAC@LAL 12/25/2019 08:00PM ET,LAL,52.79
PG/SF,LeBron James (14027191),LeBron James,14027191,UTIL,12000,LAC@LAL 12/25/2019 08:00PM ET,LAL,55.61
PF/C,Montrezl Harrell (14027229),Montrezl Harrell,14027229,CPT,11100,LAC@LAL 12/25/2019 08:00PM ET,LAC,34.33
SF/PF,Kawhi Leonard (14027192),Kawhi Leonard,14027192,UTIL,10600,LAC@LAL 12/25/2019 08:00PM ET,LAC,47.37
PG/SG,Patrick Beverley (14027230),Patrick Beverley,14027230,CPT,10500,LAC@LAL 12/25/2019 08:00PM ET,LAC,24.81
SF,Paul George (14027193),Paul George,14027193,UTIL,9800,LAC@LAL 12/25/2019 08:00PM ET,LAC,40.95
PG,Rajon Rondo (14027231),Rajon Rondo,14027231,CPT,9000,LAC@LAL 12/25/2019 08:00PM ET,LAL,23.08
PG/SG,Lou Williams (14027194),Lou Williams,14027194,UTIL,8200,LAC@LAL 12/25/2019 08:00PM ET,LAC,33.43
C,Dwight Howard (14027232),Dwight Howard,14027232,CPT,7800,LAC@LAL 12/25/2019 08:00PM ET,LAL,19.36
PF/C,Montrezl Harrell (14027195),Montrezl Harrell,14027195,UTIL,7400,LAC@LAL 12/25/2019 08:00PM ET,LAC,34.33
PG/SG,Patrick Beverley (14027196),Patrick Beverley,14027196,UTIL,7000,LAC@LAL 12/25/2019 08:00PM ET,LAC,24.81
