Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kawhi Leonard (14062764),Kawhi Leonard,14062764,CPT,15300,LAC@SAC 12/31/2019 05:00PM ET,LAC,47.52
SF,Paul George (14062765),Paul George,14062765,CPT,13800,LAC@SAC 12/31/2019 05:00PM ET,LAC,40.62
SG/SF,Buddy Hield (14062766),Buddy Hield,14062766,CPT,12300,LAC@SAC 12/31/2019 05:00PM ET,SAC,34
PG,De'Aaron Fox (14062767),De'Aaron Fox,14062767,CPT,12000,LAC@SAC 12/31/2019 05:00PM ET,SAC,34.5
PF/C,Richaun Holmes (14062768),Richaun Holmes,14062768,CPT,11700,LAC@SAC 12/31/2019 05:00PM ET,SAC,29.83
PG/SG,Lou Williams (14062769),Lou Williams,14062769,CPT,11400,LAC@SAC 12/31/2019 05:00PM ET,LAC,33.25
PF,Nemanja Bjelica (14062770),Nemanja Bjelica,14062770,CPT,11100,LAC@SAC 12/31/2019 05:00PM ET,SAC,26.54
SF/PF,Kawhi Leonard (14062730),Kawhi Leonard,14062730,UTIL,10200,LAC@SAC 12/31/2019 05:00PM ET,LAC,47.52
SG/SF,Bogdan Bogdanovic (14062771),Bogdan Bogdanovic,14062771,CPT,10200,LAC@SAC 12/31/2019 05:00PM ET,SAC,27.16
PF/C,Marvin Bagley III (14062772),Marvin Bagley III,14062772,CPT,9900,LAC@SAC 12/31/2019 05:00PM ET,SAC,25.72
PF/C,Montrezl Harrell (14062773),Montrezl Harrell,14062773,CPT,9600,LAC@SAC 12/31/2019 05:00PM ET,LAC,34.06
SF/PF,Harrison Barnes (14062774),Harrison Barnes,14062774,CPT,9300,LAC@SAC 12/31/2019 05:00PM ET,SAC,26.95
SF,Paul George (14062731),Paul George,14062731,UTIL,9200,LAC@SAC 12/31/2019 05:00PM ET,LAC,40.62
PG/SG,Patrick Beverley (14062775),Patrick Beverley,14062775,CPT,8700,LAC@SAC 12/31/2019 05:00PM ET,LAC,24.80
SG/SF,Buddy Hield (14062732),Buddy Hield,14062732,UTIL,8200,LAC@SAC 12/31/2019 05:00PM ET,SAC,34
PG/SG,Cory Joseph (14062776),Cory Joseph,14062776,CPT,8100,LAC@SAC 12/31/2019 05:00PM ET,SAC,17.46
PG,De'Aaron Fox (14062733),De'Aaron Fox,14062733,UTIL,8000,LAC@SAC 12/31/2019 05:00PM ET,SAC,34.5
PF/C,Richaun Holmes (14062734),Richaun Holmes,14062734,UTIL,7800,LAC@SAC 12/31/2019 05:00PM ET,SAC,29.83
C,Ivica Zubac (14062777),Ivica Zubac,14062777,CPT,7800,LAC@SAC 12/31/2019 05:00PM ET,LAC,20.16
PG/SG,Lou Williams (14062735),Lou Williams,14062735,UTIL,7600,LAC@SAC 12/31/2019 05:00PM ET,LAC,33.25
PF,Nemanja Bjelica (14062736),Nemanja Bjelica,14062736,UTIL,7400,LAC@SAC 12/31/2019 05:00PM ET,SAC,26.54
SF/PF,Trevor Ariza (14062778),Trevor Ariza,14062778,CPT,7200,LAC@SAC 12/31/2019 05:00PM ET,SAC,15.97
SG/SF,Bogdan Bogdanovic (14062737),Bogdan Bogdanovic,14062737,UTIL,6800,LAC@SAC 12/31/2019 05:00PM ET,SAC,27.16
PF/C,Marvin Bagley III (14062738),Marvin Bagley III,14062738,UTIL,6600,LAC@SAC 12/31/2019 05:00PM ET,SAC,25.72
PF/C,Montrezl Harrell (14062739),Montrezl Harrell,14062739,UTIL,6400,LAC@SAC 12/31/2019 05:00PM ET,LAC,34.06
SF/PF,Harrison Barnes (14062740),Harrison Barnes,14062740,UTIL,6200,LAC@SAC 12/31/2019 05:00PM ET,SAC,26.95
PG/SG,Patrick Beverley (14062741),Patrick Beverley,14062741,UTIL,5800,LAC@SAC 12/31/2019 05:00PM ET,LAC,24.80
SG/SF,Landry Shamet (14062779),Landry Shamet,14062779,CPT,5700,LAC@SAC 12/31/2019 05:00PM ET,LAC,15.74
PG/SG,Cory Joseph (14062742),Cory Joseph,14062742,UTIL,5400,LAC@SAC 12/31/2019 05:00PM ET,SAC,17.46
PG/SG,Yogi Ferrell (14062780),Yogi Ferrell,14062780,CPT,5400,LAC@SAC 12/31/2019 05:00PM ET,SAC,10.73
C,Ivica Zubac (14062743),Ivica Zubac,14062743,UTIL,5200,LAC@SAC 12/31/2019 05:00PM ET,LAC,20.16
SF/PF,Trevor Ariza (14062744),Trevor Ariza,14062744,UTIL,4800,LAC@SAC 12/31/2019 05:00PM ET,SAC,15.97
SF/PF,JaMychal Green (14062781),JaMychal Green,14062781,CPT,4800,LAC@SAC 12/31/2019 05:00PM ET,LAC,18.07
PF/C,Harry Giles (14062782),Harry Giles,14062782,CPT,4500,LAC@SAC 12/31/2019 05:00PM ET,SAC,8.88
SG/SF,Landry Shamet (14062745),Landry Shamet,14062745,UTIL,3800,LAC@SAC 12/31/2019 05:00PM ET,LAC,15.74
PG/SG,Yogi Ferrell (14062746),Yogi Ferrell,14062746,UTIL,3600,LAC@SAC 12/31/2019 05:00PM ET,SAC,10.73
PF/C,Patrick Patterson (14062783),Patrick Patterson,14062783,CPT,3300,LAC@SAC 12/31/2019 05:00PM ET,LAC,11.51
SF/PF,JaMychal Green (14062747),JaMychal Green,14062747,UTIL,3200,LAC@SAC 12/31/2019 05:00PM ET,LAC,18.07
PF/C,Harry Giles (14062748),Harry Giles,14062748,UTIL,3000,LAC@SAC 12/31/2019 05:00PM ET,SAC,8.88
PG/SG,Kyle Guy (14062784),Kyle Guy,14062784,CPT,2700,LAC@SAC 12/31/2019 05:00PM ET,SAC,0
SF/PF,Moe Harkless (14062785),Moe Harkless,14062785,CPT,2400,LAC@SAC 12/31/2019 05:00PM ET,LAC,15.06
PF/C,Patrick Patterson (14062749),Patrick Patterson,14062749,UTIL,2200,LAC@SAC 12/31/2019 05:00PM ET,LAC,11.51
