Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Paul George (14013315),Paul George,14013315,CPT,19800,LAC@SA 12/21/2019 08:30PM ET,LAC,42.64
SF/PF,Kawhi Leonard (14013316),Kawhi Leonard,14013316,CPT,17400,LAC@SA 12/21/2019 08:30PM ET,LAC,46.99
PF/C,LaMarcus Aldridge (14013317),LaMarcus Aldridge,14013317,CPT,15600,LAC@SA 12/21/2019 08:30PM ET,SA,36.72
SG/SF,DeMar DeRozan (14013318),DeMar DeRozan,14013318,CPT,14400,LAC@SA 12/21/2019 08:30PM ET,SA,36.25
PG/SG,Lou Williams (14013319),Lou Williams,14013319,CPT,13800,LAC@SA 12/21/2019 08:30PM ET,LAC,33.46
SF,Paul George (14013281),Paul George,14013281,UTIL,13200,LAC@SA 12/21/2019 08:30PM ET,LAC,42.64
PF/C,Montrezl Harrell (14013320),Montrezl Harrell,14013320,CPT,13200,LAC@SA 12/21/2019 08:30PM ET,LAC,34.48
PG,Dejounte Murray (14013321),Dejounte Murray,14013321,CPT,12300,LAC@SA 12/21/2019 08:30PM ET,SA,27.40
SF/PF,Kawhi Leonard (14013282),Kawhi Leonard,14013282,UTIL,11600,LAC@SA 12/21/2019 08:30PM ET,LAC,46.99
PG/SG,Patrick Beverley (14013322),Patrick Beverley,14013322,CPT,11100,LAC@SA 12/21/2019 08:30PM ET,LAC,24.75
PF/C,LaMarcus Aldridge (14013283),LaMarcus Aldridge,14013283,UTIL,10400,LAC@SA 12/21/2019 08:30PM ET,SA,36.72
SG/SF,DeMar DeRozan (14013284),DeMar DeRozan,14013284,UTIL,9600,LAC@SA 12/21/2019 08:30PM ET,SA,36.25
PG/SG,Patty Mills (14013323),Patty Mills,14013323,CPT,9300,LAC@SA 12/21/2019 08:30PM ET,SA,19.82
PG/SG,Lou Williams (14013285),Lou Williams,14013285,UTIL,9200,LAC@SA 12/21/2019 08:30PM ET,LAC,33.46
PF/C,Montrezl Harrell (14013286),Montrezl Harrell,14013286,UTIL,8800,LAC@SA 12/21/2019 08:30PM ET,LAC,34.48
PG,Dejounte Murray (14013287),Dejounte Murray,14013287,UTIL,8200,LAC@SA 12/21/2019 08:30PM ET,SA,27.40
SF/PF,Rudy Gay (14013324),Rudy Gay,14013324,CPT,8100,LAC@SA 12/21/2019 08:30PM ET,SA,23.32
SF/PF,JaMychal Green (14013325),JaMychal Green,14013325,CPT,7500,LAC@SA 12/21/2019 08:30PM ET,LAC,18.56
PG/SG,Patrick Beverley (14013288),Patrick Beverley,14013288,UTIL,7400,LAC@SA 12/21/2019 08:30PM ET,LAC,24.75
SF/PF,Moe Harkless (14013326),Moe Harkless,14013326,CPT,7200,LAC@SA 12/21/2019 08:30PM ET,LAC,15.22
PG/SG,Derrick White (14013327),Derrick White,14013327,CPT,6900,LAC@SA 12/21/2019 08:30PM ET,SA,19.75
C,Ivica Zubac (14013328),Ivica Zubac,14013328,CPT,6600,LAC@SA 12/21/2019 08:30PM ET,LAC,19.36
SG/SF,Landry Shamet (14013329),Landry Shamet,14013329,CPT,6300,LAC@SA 12/21/2019 08:30PM ET,LAC,15.64
PG/SG,Patty Mills (14013289),Patty Mills,14013289,UTIL,6200,LAC@SA 12/21/2019 08:30PM ET,SA,19.82
C,Jakob Poeltl (14013330),Jakob Poeltl,14013330,CPT,5700,LAC@SA 12/21/2019 08:30PM ET,SA,19.24
SF/PF,Rudy Gay (14013290),Rudy Gay,14013290,UTIL,5400,LAC@SA 12/21/2019 08:30PM ET,SA,23.32
PG/SG,Bryn Forbes (14013331),Bryn Forbes,14013331,CPT,5100,LAC@SA 12/21/2019 08:30PM ET,SA,19.38
SF/PF,JaMychal Green (14013291),JaMychal Green,14013291,UTIL,5000,LAC@SA 12/21/2019 08:30PM ET,LAC,18.56
