Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Kawhi Leonard (13947359),Kawhi Leonard,13947359,CPT,15600,LAC@TOR 12/11/2019 07:00PM ET,LAC,47.72
SF/PF,Paul George (13947360),Paul George,13947360,CPT,15000,LAC@TOR 12/11/2019 07:00PM ET,LAC,41.27
PF/C,Pascal Siakam (13947361),Pascal Siakam,13947361,CPT,14700,LAC@TOR 12/11/2019 07:00PM ET,TOR,43.91
PG,Kyle Lowry (13947362),Kyle Lowry,13947362,CPT,13500,LAC@TOR 12/11/2019 07:00PM ET,TOR,39.67
PG/SG,Fred VanVleet (13947363),Fred VanVleet,13947363,CPT,12900,LAC@TOR 12/11/2019 07:00PM ET,TOR,37.83
PF/C,Montrezl Harrell (13947364),Montrezl Harrell,13947364,CPT,12600,LAC@TOR 12/11/2019 07:00PM ET,LAC,35.32
PG/SG,Lou Williams (13947365),Lou Williams,13947365,CPT,11100,LAC@TOR 12/11/2019 07:00PM ET,LAC,33.92
PG/SG,Patrick Beverley (13947366),Patrick Beverley,13947366,CPT,10500,LAC@TOR 12/11/2019 07:00PM ET,LAC,24.62
SG/SF,Kawhi Leonard (13947325),Kawhi Leonard,13947325,UTIL,10400,LAC@TOR 12/11/2019 07:00PM ET,LAC,47.72
C,Marc Gasol (13947367),Marc Gasol,13947367,CPT,10200,LAC@TOR 12/11/2019 07:00PM ET,TOR,23.17
SF/PF,Paul George (13947326),Paul George,13947326,UTIL,10000,LAC@TOR 12/11/2019 07:00PM ET,LAC,41.27
PF/C,Serge Ibaka (13947368),Serge Ibaka,13947368,CPT,9900,LAC@TOR 12/11/2019 07:00PM ET,TOR,25.71
PF/C,Pascal Siakam (13947327),Pascal Siakam,13947327,UTIL,9800,LAC@TOR 12/11/2019 07:00PM ET,TOR,43.91
SG/SF,Norman Powell (13947369),Norman Powell,13947369,CPT,9600,LAC@TOR 12/11/2019 07:00PM ET,TOR,23.45
PG,Kyle Lowry (13947328),Kyle Lowry,13947328,UTIL,9000,LAC@TOR 12/11/2019 07:00PM ET,TOR,39.67
SF/PF,OG Anunoby (13947370),OG Anunoby,13947370,CPT,9000,LAC@TOR 12/11/2019 07:00PM ET,TOR,25.78
PG/SG,Fred VanVleet (13947329),Fred VanVleet,13947329,UTIL,8600,LAC@TOR 12/11/2019 07:00PM ET,TOR,37.83
PF/C,Montrezl Harrell (13947330),Montrezl Harrell,13947330,UTIL,8400,LAC@TOR 12/11/2019 07:00PM ET,LAC,35.32
C,Ivica Zubac (13947371),Ivica Zubac,13947371,CPT,7800,LAC@TOR 12/11/2019 07:00PM ET,LAC,20.4
PG/SG,Lou Williams (13947331),Lou Williams,13947331,UTIL,7400,LAC@TOR 12/11/2019 07:00PM ET,LAC,33.92
PG/SG,Patrick Beverley (13947332),Patrick Beverley,13947332,UTIL,7000,LAC@TOR 12/11/2019 07:00PM ET,LAC,24.62
SF/PF,Moe Harkless (13947372),Moe Harkless,13947372,CPT,6900,LAC@TOR 12/11/2019 07:00PM ET,LAC,15.19
C,Marc Gasol (13947333),Marc Gasol,13947333,UTIL,6800,LAC@TOR 12/11/2019 07:00PM ET,TOR,23.17
PF/C,Serge Ibaka (13947334),Serge Ibaka,13947334,UTIL,6600,LAC@TOR 12/11/2019 07:00PM ET,TOR,25.71
SG/SF,Norman Powell (13947335),Norman Powell,13947335,UTIL,6400,LAC@TOR 12/11/2019 07:00PM ET,TOR,23.45
SF/PF,OG Anunoby (13947336),OG Anunoby,13947336,UTIL,6000,LAC@TOR 12/11/2019 07:00PM ET,TOR,25.78
SF/PF,Rondae Hollis-Jefferson (13947373),Rondae Hollis-Jefferson,13947373,CPT,5700,LAC@TOR 12/11/2019 07:00PM ET,TOR,19.59
C,Ivica Zubac (13947337),Ivica Zubac,13947337,UTIL,5200,LAC@TOR 12/11/2019 07:00PM ET,LAC,20.4
SF/PF,Moe Harkless (13947338),Moe Harkless,13947338,UTIL,4600,LAC@TOR 12/11/2019 07:00PM ET,LAC,15.19
SF/PF,JaMychal Green (13947374),JaMychal Green,13947374,CPT,3900,LAC@TOR 12/11/2019 07:00PM ET,LAC,18.56
SF/PF,Rondae Hollis-Jefferson (13947339),Rondae Hollis-Jefferson,13947339,UTIL,3800,LAC@TOR 12/11/2019 07:00PM ET,TOR,19.59
PF/C,Patrick Patterson (13947375),Patrick Patterson,13947375,CPT,3600,LAC@TOR 12/11/2019 07:00PM ET,LAC,10.64
PG/SG,Terence Davis (13947376),Terence Davis,13947376,CPT,3000,LAC@TOR 12/11/2019 07:00PM ET,TOR,14.52
SF/PF,JaMychal Green (13947340),JaMychal Green,13947340,UTIL,2600,LAC@TOR 12/11/2019 07:00PM ET,LAC,18.56
PF/C,Patrick Patterson (13947341),Patrick Patterson,13947341,UTIL,2400,LAC@TOR 12/11/2019 07:00PM ET,LAC,10.64
PG/SG,Terence Davis (13947342),Terence Davis,13947342,UTIL,2000,LAC@TOR 12/11/2019 07:00PM ET,TOR,14.52
SG/SF,Rodney McGruder (13947377),Rodney McGruder,13947377,CPT,1800,LAC@TOR 12/11/2019 07:00PM ET,LAC,9.27
PF/C,Chris Boucher (13947378),Chris Boucher,13947378,CPT,1800,LAC@TOR 12/11/2019 07:00PM ET,TOR,13.94
SG/SF,Landry Shamet (13947379),Landry Shamet,13947379,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,LAC,14.98
PG,Derrick Walton Jr. (13947380),Derrick Walton Jr.,13947380,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,LAC,3.94
SG,Matt Thomas (13947381),Matt Thomas,13947381,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,TOR,7.69
PF/C,Dewan Hernandez (13947382),Dewan Hernandez,13947382,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,TOR,4.75
SF/PF,Stanley Johnson (13947383),Stanley Johnson,13947383,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,TOR,3.25
SG,Jerome Robinson (13947384),Jerome Robinson,13947384,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,LAC,8.55
SG/SF,Malcolm Miller (13947385),Malcolm Miller,13947385,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,TOR,4.25
SG/SF,Terance Mann (13947386),Terance Mann,13947386,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,LAC,6.58
PF/C,Mfiondu Kabengele (13947387),Mfiondu Kabengele,13947387,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,LAC,4.44
PG,Shamorie Ponds (13947388),Shamorie Ponds,13947388,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,TOR,5.12
SF/PF,Oshae Brissett (13947389),Oshae Brissett,13947389,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,TOR,1.94
PG/SF,Patrick McCaw (13947390),Patrick McCaw,13947390,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,TOR,12.5
PF/C,Johnathan Motley (13947391),Johnathan Motley,13947391,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,LAC,4
PG/SF,Amir Coffey (13947392),Amir Coffey,13947392,CPT,1500,LAC@TOR 12/11/2019 07:00PM ET,LAC,0
SG/SF,Rodney McGruder (13947343),Rodney McGruder,13947343,UTIL,1200,LAC@TOR 12/11/2019 07:00PM ET,LAC,9.27
PF/C,Chris Boucher (13947344),Chris Boucher,13947344,UTIL,1200,LAC@TOR 12/11/2019 07:00PM ET,TOR,13.94
SG/SF,Landry Shamet (13947345),Landry Shamet,13947345,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,LAC,14.98
PG,Derrick Walton Jr. (13947346),Derrick Walton Jr.,13947346,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,LAC,3.94
SG,Matt Thomas (13947347),Matt Thomas,13947347,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,TOR,7.69
PF/C,Dewan Hernandez (13947348),Dewan Hernandez,13947348,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,TOR,4.75
SF/PF,Stanley Johnson (13947349),Stanley Johnson,13947349,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,TOR,3.25
SG,Jerome Robinson (13947350),Jerome Robinson,13947350,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,LAC,8.55
SG/SF,Malcolm Miller (13947351),Malcolm Miller,13947351,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,TOR,4.25
SG/SF,Terance Mann (13947352),Terance Mann,13947352,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,LAC,6.58
PF/C,Mfiondu Kabengele (13947353),Mfiondu Kabengele,13947353,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,LAC,4.44
PG,Shamorie Ponds (13947354),Shamorie Ponds,13947354,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,TOR,5.12
SF/PF,Oshae Brissett (13947355),Oshae Brissett,13947355,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,TOR,1.94
PG/SF,Patrick McCaw (13947356),Patrick McCaw,13947356,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,TOR,12.5
PF/C,Johnathan Motley (13947357),Johnathan Motley,13947357,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,LAC,4
PG/SF,Amir Coffey (13947358),Amir Coffey,13947358,UTIL,1000,LAC@TOR 12/11/2019 07:00PM ET,LAC,0
