Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (14110784),Luka Doncic,14110784,CPT,20700,LAL@DAL 01/10/2020 09:45PM ET,DAL,59.18
PG/SF,LeBron James (14110785),LeBron James,14110785,CPT,18000,LAL@DAL 01/10/2020 09:45PM ET,LAL,55.95
PF/C,Anthony Davis (14110786),Anthony Davis,14110786,CPT,16800,LAL@DAL 01/10/2020 09:45PM ET,LAL,51.98
PG/SF,Luka Doncic (14110750),Luka Doncic,14110750,UTIL,13800,LAL@DAL 01/10/2020 09:45PM ET,DAL,59.18
PF/C,Kristaps Porzingis (14110787),Kristaps Porzingis,14110787,CPT,13200,LAL@DAL 01/10/2020 09:45PM ET,DAL,37.39
PG/SF,LeBron James (14110751),LeBron James,14110751,UTIL,12000,LAL@DAL 01/10/2020 09:45PM ET,LAL,55.95
PF/C,Anthony Davis (14110752),Anthony Davis,14110752,UTIL,11200,LAL@DAL 01/10/2020 09:45PM ET,LAL,51.98
PF/C,Maxi Kleber (14110788),Maxi Kleber,14110788,CPT,10500,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.05
C,Dwight Howard (14110789),Dwight Howard,14110789,CPT,10200,LAL@DAL 01/10/2020 09:45PM ET,LAL,19.97
C,Dwight Powell (14110790),Dwight Powell,14110790,CPT,9900,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.82
SF/PF,Kyle Kuzma (14110791),Kyle Kuzma,14110791,CPT,9300,LAL@DAL 01/10/2020 09:45PM ET,LAL,19.28
SG/SF,Tim Hardaway Jr. (14110792),Tim Hardaway Jr.,14110792,CPT,9000,LAL@DAL 01/10/2020 09:45PM ET,DAL,21.75
PF/C,Kristaps Porzingis (14110753),Kristaps Porzingis,14110753,UTIL,8800,LAL@DAL 01/10/2020 09:45PM ET,DAL,37.39
PG/SG,Delon Wright (14110793),Delon Wright,14110793,CPT,8700,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.26
SF/PF,Dorian Finney-Smith (14110794),Dorian Finney-Smith,14110794,CPT,8100,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.49
SG/SF,Danny Green (14110795),Danny Green,14110795,CPT,7500,LAL@DAL 01/10/2020 09:45PM ET,LAL,19.13
C,JaVale McGee (14110796),JaVale McGee,14110796,CPT,7200,LAL@DAL 01/10/2020 09:45PM ET,LAL,19.22
PF/C,Maxi Kleber (14110754),Maxi Kleber,14110754,UTIL,7000,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.05
C,Dwight Howard (14110755),Dwight Howard,14110755,UTIL,6800,LAL@DAL 01/10/2020 09:45PM ET,LAL,19.97
C,Dwight Powell (14110756),Dwight Powell,14110756,UTIL,6600,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.82
PG,Rajon Rondo (14110797),Rajon Rondo,14110797,CPT,6600,LAL@DAL 01/10/2020 09:45PM ET,LAL,21
SF/PF,Kyle Kuzma (14110757),Kyle Kuzma,14110757,UTIL,6200,LAL@DAL 01/10/2020 09:45PM ET,LAL,19.28
SG/SF,Tim Hardaway Jr. (14110758),Tim Hardaway Jr.,14110758,UTIL,6000,LAL@DAL 01/10/2020 09:45PM ET,DAL,21.75
PG/SG,Seth Curry (14110798),Seth Curry,14110798,CPT,6000,LAL@DAL 01/10/2020 09:45PM ET,DAL,16.98
PG/SG,Delon Wright (14110759),Delon Wright,14110759,UTIL,5800,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.26
PG/SG,J.J. Barea (14110799),J.J. Barea,14110799,CPT,5700,LAL@DAL 01/10/2020 09:45PM ET,DAL,17.23
SF/PF,Dorian Finney-Smith (14110760),Dorian Finney-Smith,14110760,UTIL,5400,LAL@DAL 01/10/2020 09:45PM ET,DAL,20.49
SG/SF,Kentavious Caldwell-Pope (14110800),Kentavious Caldwell-Pope,14110800,CPT,5400,LAL@DAL 01/10/2020 09:45PM ET,LAL,16.66
