Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (13993721),Giannis Antetokounmpo,13993721,CPT,20700,LAL@MIL 12/19/2019 08:00PM ET,MIL,61.11
PF/C,Anthony Davis (13993722),Anthony Davis,13993722,CPT,18600,LAL@MIL 12/19/2019 08:00PM ET,LAL,52.24
PG/SF,LeBron James (13993723),LeBron James,13993723,CPT,18000,LAL@MIL 12/19/2019 08:00PM ET,LAL,55.58
SF/PF,Giannis Antetokounmpo (13993686),Giannis Antetokounmpo,13993686,UTIL,13800,LAL@MIL 12/19/2019 08:00PM ET,MIL,61.11
SG/SF,Khris Middleton (13993724),Khris Middleton,13993724,CPT,13500,LAL@MIL 12/19/2019 08:00PM ET,MIL,32.43
PF/C,Anthony Davis (13993687),Anthony Davis,13993687,UTIL,12400,LAL@MIL 12/19/2019 08:00PM ET,LAL,52.24
PG/SF,LeBron James (13993688),LeBron James,13993688,UTIL,12000,LAL@MIL 12/19/2019 08:00PM ET,LAL,55.58
PG/SF,Donte DiVincenzo (13993726),Donte DiVincenzo,13993726,CPT,11100,LAL@MIL 12/19/2019 08:00PM ET,MIL,20.52
PG,Eric Bledsoe (13993725),Eric Bledsoe,13993725,CPT,10800,LAL@MIL 12/19/2019 08:00PM ET,MIL,31.72
C,Dwight Howard (13993727),Dwight Howard,13993727,CPT,9900,LAL@MIL 12/19/2019 08:00PM ET,LAL,19.84
SG/SF,Khris Middleton (13993689),Khris Middleton,13993689,UTIL,9000,LAL@MIL 12/19/2019 08:00PM ET,MIL,32.43
PG,Rajon Rondo (13993728),Rajon Rondo,13993728,CPT,8700,LAL@MIL 12/19/2019 08:00PM ET,LAL,23.72
C,JaVale McGee (13993729),JaVale McGee,13993729,CPT,8400,LAL@MIL 12/19/2019 08:00PM ET,LAL,19.40
PG/SG,George Hill (13993730),George Hill,13993730,CPT,7500,LAL@MIL 12/19/2019 08:00PM ET,MIL,20.40
PG/SF,Donte DiVincenzo (13993691),Donte DiVincenzo,13993691,UTIL,7400,LAL@MIL 12/19/2019 08:00PM ET,MIL,20.52
