Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,LeBron James (13857007),LeBron James,13857007,CPT,18000,LAL@NO 11/27/2019 09:30PM ET,LAL,56.52
PF,Anthony Davis (13857008),Anthony Davis,13857008,CPT,16500,LAL@NO 11/27/2019 09:30PM ET,LAL,50.69
SF,Brandon Ingram (13857009),Brandon Ingram,13857009,CPT,13500,LAL@NO 11/27/2019 09:30PM ET,NO,44.90
PG,Jrue Holiday (13857010),Jrue Holiday,13857010,CPT,12900,LAL@NO 11/27/2019 09:30PM ET,NO,40.6
SF,LeBron James (13856973),LeBron James,13856973,UTIL,12000,LAL@NO 11/27/2019 09:30PM ET,LAL,56.52
PF,Derrick Favors (13857011),Derrick Favors,13857011,CPT,11400,LAL@NO 11/27/2019 09:30PM ET,NO,24.25
SG,JJ Redick (13857012),JJ Redick,13857012,CPT,11100,LAL@NO 11/27/2019 09:30PM ET,NO,23.97
PF,Anthony Davis (13856974),Anthony Davis,13856974,UTIL,11000,LAL@NO 11/27/2019 09:30PM ET,LAL,50.69
SG,Josh Hart (13857013),Josh Hart,13857013,CPT,10200,LAL@NO 11/27/2019 09:30PM ET,NO,27.38
PG,Rajon Rondo (13857014),Rajon Rondo,13857014,CPT,9600,LAL@NO 11/27/2019 09:30PM ET,LAL,23.57
SF,Brandon Ingram (13856975),Brandon Ingram,13856975,UTIL,9000,LAL@NO 11/27/2019 09:30PM ET,NO,44.90
PG,Lonzo Ball (13857015),Lonzo Ball,13857015,CPT,8700,LAL@NO 11/27/2019 09:30PM ET,NO,27.75
PG,Jrue Holiday (13856976),Jrue Holiday,13856976,UTIL,8600,LAL@NO 11/27/2019 09:30PM ET,NO,40.6
SG,Danny Green (13857016),Danny Green,13857016,CPT,8100,LAL@NO 11/27/2019 09:30PM ET,LAL,19.28
SG,E'Twaun Moore (13857017),E'Twaun Moore,13857017,CPT,7800,LAL@NO 11/27/2019 09:30PM ET,NO,18.69
PF,Derrick Favors (13856977),Derrick Favors,13856977,UTIL,7600,LAL@NO 11/27/2019 09:30PM ET,NO,24.25
SG,Kentavious Caldwell-Pope (13857018),Kentavious Caldwell-Pope,13857018,CPT,7500,LAL@NO 11/27/2019 09:30PM ET,LAL,15.09
SG,JJ Redick (13856978),JJ Redick,13856978,UTIL,7400,LAL@NO 11/27/2019 09:30PM ET,NO,23.97
SF,Kyle Kuzma (13857019),Kyle Kuzma,13857019,CPT,7200,LAL@NO 11/27/2019 09:30PM ET,LAL,18.64
SF,Kenrich Williams (13857020),Kenrich Williams,13857020,CPT,6900,LAL@NO 11/27/2019 09:30PM ET,NO,19.98
SG,Josh Hart (13856979),Josh Hart,13856979,UTIL,6800,LAL@NO 11/27/2019 09:30PM ET,NO,27.38
C,JaVale McGee (13857021),JaVale McGee,13857021,CPT,6600,LAL@NO 11/27/2019 09:30PM ET,LAL,18.66
PG,Rajon Rondo (13856980),Rajon Rondo,13856980,UTIL,6400,LAL@NO 11/27/2019 09:30PM ET,LAL,23.57
C,Jaxson Hayes (13857022),Jaxson Hayes,13857022,CPT,6300,LAL@NO 11/27/2019 09:30PM ET,NO,17.34
C,Dwight Howard (13857023),Dwight Howard,13857023,CPT,6000,LAL@NO 11/27/2019 09:30PM ET,LAL,20.22
