Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14184148),LeBron James,14184148,CPT,19500,LAL@PHI 01/25/2020 08:30PM ET,LAL,55.64
C,Joel Embiid (14184149),Joel Embiid,14184149,CPT,18300,LAL@PHI 01/25/2020 08:30PM ET,PHI,48.26
PG/SF,Ben Simmons (14184150),Ben Simmons,14184150,CPT,18000,LAL@PHI 01/25/2020 08:30PM ET,PHI,43.58
PF/C,Anthony Davis (14184151),Anthony Davis,14184151,CPT,17700,LAL@PHI 01/25/2020 08:30PM ET,LAL,50.70
SF/PF,Tobias Harris (14184152),Tobias Harris,14184152,CPT,13800,LAL@PHI 01/25/2020 08:30PM ET,PHI,35.29
PG/SF,LeBron James (14184114),LeBron James,14184114,UTIL,13000,LAL@PHI 01/25/2020 08:30PM ET,LAL,55.64
PF/C,Al Horford (14184153),Al Horford,14184153,CPT,12600,LAL@PHI 01/25/2020 08:30PM ET,PHI,30.87
C,Joel Embiid (14184115),Joel Embiid,14184115,UTIL,12200,LAL@PHI 01/25/2020 08:30PM ET,PHI,48.26
PG/SF,Ben Simmons (14184116),Ben Simmons,14184116,UTIL,12000,LAL@PHI 01/25/2020 08:30PM ET,PHI,43.58
PF/C,Anthony Davis (14184117),Anthony Davis,14184117,UTIL,11800,LAL@PHI 01/25/2020 08:30PM ET,LAL,50.70
SG/SF,Josh Richardson (14184154),Josh Richardson,14184154,CPT,11700,LAL@PHI 01/25/2020 08:30PM ET,PHI,27.09
C,Dwight Howard (14184155),Dwight Howard,14184155,CPT,10200,LAL@PHI 01/25/2020 08:30PM ET,LAL,21.97
SF/PF,Tobias Harris (14184118),Tobias Harris,14184118,UTIL,9200,LAL@PHI 01/25/2020 08:30PM ET,PHI,35.29
SG/SF,Matisse Thybulle (14184156),Matisse Thybulle,14184156,CPT,9000,LAL@PHI 01/25/2020 08:30PM ET,PHI,13.49
PF/C,Al Horford (14184119),Al Horford,14184119,UTIL,8400,LAL@PHI 01/25/2020 08:30PM ET,PHI,30.87
SG,Furkan Korkmaz (14184157),Furkan Korkmaz,14184157,CPT,8100,LAL@PHI 01/25/2020 08:30PM ET,PHI,14.93
SG/SF,Josh Richardson (14184120),Josh Richardson,14184120,UTIL,7800,LAL@PHI 01/25/2020 08:30PM ET,PHI,27.09
SF/PF,Kyle Kuzma (14184158),Kyle Kuzma,14184158,CPT,7800,LAL@PHI 01/25/2020 08:30PM ET,LAL,21.14
C,JaVale McGee (14184159),JaVale McGee,14184159,CPT,7500,LAL@PHI 01/25/2020 08:30PM ET,LAL,19.90
PG,Rajon Rondo (14184160),Rajon Rondo,14184160,CPT,7200,LAL@PHI 01/25/2020 08:30PM ET,LAL,22.02
PG/SG,Shake Milton (14184161),Shake Milton,14184161,CPT,6900,LAL@PHI 01/25/2020 08:30PM ET,PHI,7.48
C,Dwight Howard (14184121),Dwight Howard,14184121,UTIL,6800,LAL@PHI 01/25/2020 08:30PM ET,LAL,21.97
SF,Danny Green (14184162),Danny Green,14184162,CPT,6600,LAL@PHI 01/25/2020 08:30PM ET,LAL,19.31
SG/SF,Matisse Thybulle (14184122),Matisse Thybulle,14184122,UTIL,6000,LAL@PHI 01/25/2020 08:30PM ET,PHI,13.49
SG/SF,Kentavious Caldwell-Pope (14184163),Kentavious Caldwell-Pope,14184163,CPT,6000,LAL@PHI 01/25/2020 08:30PM ET,LAL,17.49
SG,Furkan Korkmaz (14184123),Furkan Korkmaz,14184123,UTIL,5400,LAL@PHI 01/25/2020 08:30PM ET,PHI,14.93
SF/PF,Kyle Kuzma (14184124),Kyle Kuzma,14184124,UTIL,5200,LAL@PHI 01/25/2020 08:30PM ET,LAL,21.14
C,JaVale McGee (14184125),JaVale McGee,14184125,UTIL,5000,LAL@PHI 01/25/2020 08:30PM ET,LAL,19.90
PG,Rajon Rondo (14184126),Rajon Rondo,14184126,UTIL,4800,LAL@PHI 01/25/2020 08:30PM ET,LAL,22.02
SF/PF,Jared Dudley (14184164),Jared Dudley,14184164,CPT,4800,LAL@PHI 01/25/2020 08:30PM ET,LAL,5.02
PG/SG,Shake Milton (14184127),Shake Milton,14184127,UTIL,4600,LAL@PHI 01/25/2020 08:30PM ET,PHI,7.48
SF,Danny Green (14184128),Danny Green,14184128,UTIL,4400,LAL@PHI 01/25/2020 08:30PM ET,LAL,19.31
SG/SF,Kentavious Caldwell-Pope (14184129),Kentavious Caldwell-Pope,14184129,UTIL,4000,LAL@PHI 01/25/2020 08:30PM ET,LAL,17.49
PF,Mike Scott (14184166),Mike Scott,14184166,CPT,3900,LAL@PHI 01/25/2020 08:30PM ET,PHI,12.04
SG,Avery Bradley (14184167),Avery Bradley,14184167,CPT,3300,LAL@PHI 01/25/2020 08:30PM ET,LAL,13.48
SF/PF,Jared Dudley (14184130),Jared Dudley,14184130,UTIL,3200,LAL@PHI 01/25/2020 08:30PM ET,LAL,5.02
PG/SG,Alex Caruso (14184168),Alex Caruso,14184168,CPT,3000,LAL@PHI 01/25/2020 08:30PM ET,LAL,13.02
C,Kyle O'Quinn (14184169),Kyle O'Quinn,14184169,CPT,2700,LAL@PHI 01/25/2020 08:30PM ET,PHI,11.94
PF,Mike Scott (14184132),Mike Scott,14184132,UTIL,2600,LAL@PHI 01/25/2020 08:30PM ET,PHI,12.04
PG,Quinn Cook (14184170),Quinn Cook,14184170,CPT,2400,LAL@PHI 01/25/2020 08:30PM ET,LAL,9.54
SG,Avery Bradley (14184133),Avery Bradley,14184133,UTIL,2200,LAL@PHI 01/25/2020 08:30PM ET,LAL,13.48
PG/SG,Alex Caruso (14184134),Alex Caruso,14184134,UTIL,2000,LAL@PHI 01/25/2020 08:30PM ET,LAL,13.02
C,Kyle O'Quinn (14184135),Kyle O'Quinn,14184135,UTIL,1800,LAL@PHI 01/25/2020 08:30PM ET,PHI,11.94
PF,Devontae Cacok (14184165),Devontae Cacok,14184165,CPT,1800,LAL@PHI 01/25/2020 08:30PM ET,LAL,0
C,Norvel Pelle (14184171),Norvel Pelle,14184171,CPT,1800,LAL@PHI 01/25/2020 08:30PM ET,PHI,10.55
PG,Raul Neto (14184172),Raul Neto,14184172,CPT,1800,LAL@PHI 01/25/2020 08:30PM ET,PHI,8.36
PG,Quinn Cook (14184136),Quinn Cook,14184136,UTIL,1600,LAL@PHI 01/25/2020 08:30PM ET,LAL,9.54
SG,Troy Daniels (14184173),Troy Daniels,14184173,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,LAL,7.63
SF/PF,James Ennis III (14184174),James Ennis III,14184174,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,PHI,13.30
SG/SF,Talen Horton-Tucker (14184175),Talen Horton-Tucker,14184175,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,LAL,2.5
PF/C,Jonah Bolden (14184176),Jonah Bolden,14184176,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,PHI,2.08
PF,Kostas Antetokounmpo (14184177),Kostas Antetokounmpo,14184177,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,LAL,0.92
PG/SG,Trey Burke (14184178),Trey Burke,14184178,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,PHI,12.69
SG/SF,Zhaire Smith (14184179),Zhaire Smith,14184179,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,PHI,0
SG,Marial Shayok (14184180),Marial Shayok,14184180,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,PHI,0
C,DeMarcus Cousins (14184181),DeMarcus Cousins,14184181,CPT,1500,LAL@PHI 01/25/2020 08:30PM ET,LAL,0
PF,Devontae Cacok (14184131),Devontae Cacok,14184131,UTIL,1200,LAL@PHI 01/25/2020 08:30PM ET,LAL,0
C,Norvel Pelle (14184137),Norvel Pelle,14184137,UTIL,1200,LAL@PHI 01/25/2020 08:30PM ET,PHI,10.55
PG,Raul Neto (14184138),Raul Neto,14184138,UTIL,1200,LAL@PHI 01/25/2020 08:30PM ET,PHI,8.36
SG,Troy Daniels (14184139),Troy Daniels,14184139,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,LAL,7.63
SF/PF,James Ennis III (14184140),James Ennis III,14184140,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,PHI,13.30
SG/SF,Talen Horton-Tucker (14184141),Talen Horton-Tucker,14184141,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,LAL,2.5
PF/C,Jonah Bolden (14184142),Jonah Bolden,14184142,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,PHI,2.08
PF,Kostas Antetokounmpo (14184143),Kostas Antetokounmpo,14184143,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,LAL,0.92
PG/SG,Trey Burke (14184144),Trey Burke,14184144,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,PHI,12.69
SG/SF,Zhaire Smith (14184145),Zhaire Smith,14184145,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,PHI,0
SG,Marial Shayok (14184146),Marial Shayok,14184146,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,PHI,0
C,DeMarcus Cousins (14184147),DeMarcus Cousins,14184147,UTIL,1000,LAL@PHI 01/25/2020 08:30PM ET,LAL,0
