Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,LeBron James (13918632),LeBron James,13918632,CPT,18300,LAL@POR 12/06/2019 10:30PM ET,LAL,55.11
PF,Anthony Davis (13918633),Anthony Davis,13918633,CPT,16800,LAL@POR 12/06/2019 10:30PM ET,LAL,50.5
PG,Damian Lillard (13918634),Damian Lillard,13918634,CPT,15600,LAL@POR 12/06/2019 10:30PM ET,POR,47.18
C,Hassan Whiteside (13918635),Hassan Whiteside,13918635,CPT,14400,LAL@POR 12/06/2019 10:30PM ET,POR,37.95
SG,CJ McCollum (13918636),CJ McCollum,13918636,CPT,13800,LAL@POR 12/06/2019 10:30PM ET,POR,37.33
SF,LeBron James (13918599),LeBron James,13918599,UTIL,12200,LAL@POR 12/06/2019 10:30PM ET,LAL,55.11
SF,Carmelo Anthony (13918637),Carmelo Anthony,13918637,CPT,12000,LAL@POR 12/06/2019 10:30PM ET,POR,28.59
PF,Anthony Davis (13918600),Anthony Davis,13918600,UTIL,11200,LAL@POR 12/06/2019 10:30PM ET,LAL,50.5
PG,Rajon Rondo (13918638),Rajon Rondo,13918638,CPT,10500,LAL@POR 12/06/2019 10:30PM ET,LAL,24.44
PG,Damian Lillard (13918601),Damian Lillard,13918601,UTIL,10400,LAL@POR 12/06/2019 10:30PM ET,POR,47.18
C,Hassan Whiteside (13918602),Hassan Whiteside,13918602,UTIL,9600,LAL@POR 12/06/2019 10:30PM ET,POR,37.95
SG,Rodney Hood (13918639),Rodney Hood,13918639,CPT,9300,LAL@POR 12/06/2019 10:30PM ET,POR,20.6
SG,CJ McCollum (13918603),CJ McCollum,13918603,UTIL,9200,LAL@POR 12/06/2019 10:30PM ET,POR,37.33
SF,Kyle Kuzma (13918640),Kyle Kuzma,13918640,CPT,8100,LAL@POR 12/06/2019 10:30PM ET,LAL,17.99
SF,Carmelo Anthony (13918604),Carmelo Anthony,13918604,UTIL,8000,LAL@POR 12/06/2019 10:30PM ET,POR,28.59
C,Dwight Howard (13918641),Dwight Howard,13918641,CPT,7200,LAL@POR 12/06/2019 10:30PM ET,LAL,20.15
PG,Rajon Rondo (13918605),Rajon Rondo,13918605,UTIL,7000,LAL@POR 12/06/2019 10:30PM ET,LAL,24.44
SG,Kent Bazemore (13918642),Kent Bazemore,13918642,CPT,6900,LAL@POR 12/06/2019 10:30PM ET,POR,19.16
C,JaVale McGee (13918643),JaVale McGee,13918643,CPT,6600,LAL@POR 12/06/2019 10:30PM ET,LAL,19.23
SG,Kentavious Caldwell-Pope (13918644),Kentavious Caldwell-Pope,13918644,CPT,6300,LAL@POR 12/06/2019 10:30PM ET,LAL,15.06
SG,Rodney Hood (13918606),Rodney Hood,13918606,UTIL,6200,LAL@POR 12/06/2019 10:30PM ET,POR,20.6
SG,Danny Green (13918645),Danny Green,13918645,CPT,6000,LAL@POR 12/06/2019 10:30PM ET,LAL,18.44
SF,Kyle Kuzma (13918607),Kyle Kuzma,13918607,UTIL,5400,LAL@POR 12/06/2019 10:30PM ET,LAL,17.99
C,Dwight Howard (13918608),Dwight Howard,13918608,UTIL,4800,LAL@POR 12/06/2019 10:30PM ET,LAL,20.15
SG,Avery Bradley (13918646),Avery Bradley,13918646,CPT,4800,LAL@POR 12/06/2019 10:30PM ET,LAL,18.35
SG,Kent Bazemore (13918609),Kent Bazemore,13918609,UTIL,4600,LAL@POR 12/06/2019 10:30PM ET,POR,19.16
C,JaVale McGee (13918610),JaVale McGee,13918610,UTIL,4400,LAL@POR 12/06/2019 10:30PM ET,LAL,19.23
SG,Kentavious Caldwell-Pope (13918611),Kentavious Caldwell-Pope,13918611,UTIL,4200,LAL@POR 12/06/2019 10:30PM ET,LAL,15.06
PF,Skal Labissiere (13918647),Skal Labissiere,13918647,CPT,4200,LAL@POR 12/06/2019 10:30PM ET,POR,16.49
SG,Danny Green (13918612),Danny Green,13918612,UTIL,4000,LAL@POR 12/06/2019 10:30PM ET,LAL,18.44
SG,Anfernee Simons (13918648),Anfernee Simons,13918648,CPT,3600,LAL@POR 12/06/2019 10:30PM ET,POR,15.84
SG,Avery Bradley (13918613),Avery Bradley,13918613,UTIL,3200,LAL@POR 12/06/2019 10:30PM ET,LAL,18.35
PF,Zach Collins (13918649),Zach Collins,13918649,CPT,3000,LAL@POR 12/06/2019 10:30PM ET,POR,17.83
PF,Skal Labissiere (13918614),Skal Labissiere,13918614,UTIL,2800,LAL@POR 12/06/2019 10:30PM ET,POR,16.49
SG,Alex Caruso (13918650),Alex Caruso,13918650,CPT,2700,LAL@POR 12/06/2019 10:30PM ET,LAL,12.9
SG,Anfernee Simons (13918615),Anfernee Simons,13918615,UTIL,2400,LAL@POR 12/06/2019 10:30PM ET,POR,15.84
PG,Quinn Cook (13918651),Quinn Cook,13918651,CPT,2400,LAL@POR 12/06/2019 10:30PM ET,LAL,9.99
PF,Zach Collins (13918616),Zach Collins,13918616,UTIL,2000,LAL@POR 12/06/2019 10:30PM ET,POR,17.83
SG,Alex Caruso (13918617),Alex Caruso,13918617,UTIL,1800,LAL@POR 12/06/2019 10:30PM ET,LAL,12.9
SG,Mario Hezonja (13918652),Mario Hezonja,13918652,CPT,1800,LAL@POR 12/06/2019 10:30PM ET,POR,13.37
C,Moses Brown (13918653),Moses Brown,13918653,CPT,1800,LAL@POR 12/06/2019 10:30PM ET,POR,5.19
PG,Quinn Cook (13918618),Quinn Cook,13918618,UTIL,1600,LAL@POR 12/06/2019 10:30PM ET,LAL,9.99
SG,Troy Daniels (13918654),Troy Daniels,13918654,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,LAL,8.52
SG,Gary Trent Jr. (13918655),Gary Trent Jr.,13918655,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,POR,6.91
SF,Nassir Little (13918656),Nassir Little,13918656,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,POR,11.25
PF,Jared Dudley (13918657),Jared Dudley,13918657,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,LAL,4.25
PF,Jaylen Hoard (13918658),Jaylen Hoard,13918658,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,POR,3.5
PF,Anthony Tolliver (13918659),Anthony Tolliver,13918659,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,POR,9.73
SF,Kostas Antetokounmpo (13918660),Kostas Antetokounmpo,13918660,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,LAL,0.62
PG,Zach Norvell Jr. (13918661),Zach Norvell Jr.,13918661,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,LAL,0.62
PF,DeMarcus Cousins (13918662),DeMarcus Cousins,13918662,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,LAL,0
C,Jusuf Nurkic (13918663),Jusuf Nurkic,13918663,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,POR,0
SF,Talen Horton-Tucker (13918664),Talen Horton-Tucker,13918664,CPT,1500,LAL@POR 12/06/2019 10:30PM ET,LAL,0
SG,Mario Hezonja (13918619),Mario Hezonja,13918619,UTIL,1200,LAL@POR 12/06/2019 10:30PM ET,POR,13.37
C,Moses Brown (13918620),Moses Brown,13918620,UTIL,1200,LAL@POR 12/06/2019 10:30PM ET,POR,5.19
SG,Troy Daniels (13918621),Troy Daniels,13918621,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,LAL,8.52
SG,Gary Trent Jr. (13918622),Gary Trent Jr.,13918622,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,POR,6.91
SF,Nassir Little (13918623),Nassir Little,13918623,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,POR,11.25
PF,Jared Dudley (13918624),Jared Dudley,13918624,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,LAL,4.25
PF,Jaylen Hoard (13918625),Jaylen Hoard,13918625,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,POR,3.5
PF,Anthony Tolliver (13918626),Anthony Tolliver,13918626,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,POR,9.73
SF,Kostas Antetokounmpo (13918627),Kostas Antetokounmpo,13918627,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,LAL,0.62
PG,Zach Norvell Jr. (13918628),Zach Norvell Jr.,13918628,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,LAL,0.62
PF,DeMarcus Cousins (13918629),DeMarcus Cousins,13918629,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,LAL,0
C,Jusuf Nurkic (13918630),Jusuf Nurkic,13918630,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,POR,0
SF,Talen Horton-Tucker (13918631),Talen Horton-Tucker,13918631,UTIL,1000,LAL@POR 12/06/2019 10:30PM ET,LAL,0
